hora,1,2,3,4,5,6,7,8,9,10,11,12
1,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,4,4,4,4,4,4,4,2
3,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,4,4,4,4,4,4,4,4,4,4,4
6,4,4,4,4,4,4,4,4,4,4,4,4
7,6,6,4,6,4,4,4,4,6,6,6,6
8,6,6,6,6,6,6,6,6,6,6,6,6
9,8,8,8,8,6,6,6,6,6,6,8,8
10,8,8,8,8,8,8,8,8,8,8,8,8
11,10,10,10,8,8,8,8,8,8,8,8,8
12,10,10,10,8,8,8,8,8,8,8,10,10
13,10,10,10,10,10,8,8,8,10,10,10,10
14,10,10,10,10,10,10,10,10,10,10,10,10
15,10,10,10,10,10,10,10,10,10,10,10,10
16,10,10,10,10,10,10,10,10,10,10,10,10
17,10,10,12,12,12,12,12,12,12,12,12,12
18,12,12,12,12,12,14,12,12,12,12,12,12
19,12,12,12,14,14,16,14,14,14,14,12,12
20,14,14,14,14,14,16,16,16,14,14,14,14
21,14,14,16,16,16,16,16,16,16,16,14,14
22,16,16,16,16,16,16,16,16,16,16,16,16
23,16,16,16,2,2,2,16,2,2,2,16,16
24,16,16,2,2,2,2,2,2,2,2,2,2
