hora,1,2,3,4,5,6,7,8,9,10,11,12
1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,3,3,3,3,3,3,3,1
3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,3,3,3,3,3,3,3,3,3,3,3
5,3,3,3,3,3,3,3,3,3,3,3,3
6,3,3,3,3,3,3,3,3,3,3,3,3
7,5,5,3,5,3,3,3,3,5,5,5,5
8,5,5,5,5,5,5,5,5,5,5,5,5
9,7,7,7,7,5,5,5,5,5,5,7,7
10,7,7,7,7,7,7,7,7,7,7,7,7
11,9,9,9,7,7,7,7,7,7,7,7,7
12,9,9,9,7,7,7,7,7,7,7,9,9
13,9,9,9,9,9,7,7,7,9,9,9,9
14,9,9,9,9,9,9,9,9,9,9,9,9
15,9,9,9,9,9,9,9,9,9,9,9,9
16,9,9,9,9,9,9,9,9,9,9,9,9
17,9,9,11,11,11,11,11,11,11,11,11,11
18,11,11,11,11,11,13,11,11,11,11,11,11
19,11,11,11,13,13,15,13,13,13,13,11,11
20,13,13,13,13,13,15,15,15,13,13,13,13
21,13,13,15,15,15,15,15,15,15,15,13,13
22,15,15,15,15,15,15,15,15,15,15,15,15
23,15,15,15,1,1,1,15,1,1,1,15,15
24,15,15,1,1,1,1,1,1,1,1,1,1
