SecINum,SecIAnoIni,SecIAnoFin,SecIHid,SecNEta,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,*,*,1,12,1544.131,1586.586,3477.744,3337.597,2975.927,3004.008,4614.775,4956.641,3827.887,2649.556,2194.953,1809.069
2,*,*,2,12,1545.976,1732.089,3443.374,4453.534,4046.514,4945.928,5165.013,5272.709,4415.614,3098.437,2380.973,1715.944
3,*,*,3,12,1260.805,1313.934,2170.376,2167.901,3422.293,3009.951,3322.377,3640.666,2122.876,2207.846,1807.491,1399.812
4,*,*,4,12,1514.086,1749.638,2329.903,3575.54,4025.138,4449.428,4922.066,5319.052,5300.842,3932.002,2837.296,2224.799
5,*,*,5,12,1501.797,1602.037,2206.872,2204.815,2433.836,3406.713,4096.022,4041.129,4080.685,2781.876,2330.207,1768.219
6,*,*,6,12,2957.188,4007.217,4840.755,4895.263,5096.115,3819.785,5116.941,5380.012,5445.425,3959.304,2949.386,2313.192
7,*,*,7,12,2108.513,2913.011,4097.18,4957.96,3320.384,3688.876,4652.307,5158.176,5454.217,4416.117,3238.675,2219.673
8,*,*,8,12,1693,2614.966,2296.447,2425.596,3084.481,3130.416,4618.355,4927.779,4030.699,2477.649,2323.021,1779.778
9,*,*,9,12,1158.178,1299.004,1407.623,1724.996,1947.298,2112.786,2258.73,2765.214,2238.153,2323.665,1750.182,1470.067
10,*,*,10,12,1360.354,2818.84,4777.744,3909.486,4237.391,3972.163,3666.764,4978.55,4760.05,2631.211,2266.184,1535.929
11,*,*,11,12,1583.775,1965.474,2968.514,3118.208,3029.246,3015.334,3952.046,4804.257,4619.492,2800.589,2528.218,1772.283
12,*,*,12,12,1373.065,3168.916,2709.698,4552.152,4323.728,3654.281,4700.917,4984.934,4331.448,2906.219,2189.986,1718.053
13,*,*,13,12,1292.422,5101.494,5294.683,4536.73,5304.905,5007.408,5000.05,5307.307,4958.91,4056.341,2960.219,2451.475
14,*,*,14,12,2026.023,3405.469,3405.587,4096.378,3212.128,2902.824,4087.548,4814.164,3701.149,2936.618,2291.64,1778.161
15,*,*,15,12,1279.489,2473.199,3814.652,3323.595,3083.822,3160.987,4512.605,4795.547,4033.756,2971.671,2390.236,1842.871
