ApeINum,ApeIAnoIni,ApeIAnoFin,ApeEtaNom,ApeIApe,ApeIHid,ApeHidPot
1,1,1,MesOct,1,56,2054.263
2,1,1,MesOct,2,50,2746.362
3,1,1,MesOct,3,38,2823.724
4,1,1,MesOct,4,53,2840.088
5,1,1,MesOct,5,36,2841.966
6,1,1,MesOct,6,51,2858.467
7,1,1,MesOct,7,52,2901.212
8,1,1,MesOct,8,43,3004.776
9,1,1,MesOct,9,19,3019.666
10,1,1,MesOct,10,2,3025.348
11,1,1,MesOct,11,25,3032.196
12,1,1,MesOct,12,18,3038.214
13,1,1,MesOct,13,54,3056.657
14,1,1,MesOct,14,1,3071.51
15,1,1,MesOct,15,23,3108.366
16,1,1,MesOct,16,8,3128.198
17,1,1,MesOct,17,30,3131.748
18,1,1,MesOct,18,39,3135.835
19,1,1,MesOct,19,3,3174.274
20,1,1,MesOct,20,37,3200.35
21,1,1,MesOct,21,40,3216.47
22,1,1,MesOct,22,24,3230.017
23,1,1,MesOct,23,12,3253.784
24,1,1,MesOct,24,41,3264.924
25,1,1,MesOct,25,21,3275.196
26,1,1,MesOct,26,15,3278.451
27,1,1,MesOct,27,17,3287.279
28,1,1,MesOct,28,32,3304.564
29,1,1,MesOct,29,16,3308.339
30,1,1,MesOct,30,14,3317.466
31,1,1,MesOct,31,29,3328.342
32,1,1,MesOct,32,13,3340.786
33,1,1,MesOct,33,45,3344.633
34,1,1,MesOct,34,20,3349.182
35,1,1,MesOct,35,22,3350.973
36,1,1,MesOct,36,33,3376.009
37,1,1,MesOct,37,31,3388.306
38,1,1,MesOct,38,10,3404.149
39,1,1,MesOct,39,49,3418.054
40,1,1,MesOct,40,47,3433.361
41,1,1,MesOct,41,27,3452.781
42,1,1,MesOct,42,11,3460.31
43,1,1,MesOct,43,26,3474.536
44,1,1,MesOct,44,9,3480.571
45,1,1,MesOct,45,44,3505.98
46,1,1,MesOct,46,48,3536.633
47,1,1,MesOct,47,42,3537.007
48,1,1,MesOct,48,28,3541.448
49,1,1,MesOct,49,46,3576.447
50,1,1,MesOct,50,34,3645.816
51,1,1,MesOct,51,5,3657.073
52,1,1,MesOct,52,35,3800.902
53,1,1,MesOct,53,4,3812.991
54,1,1,MesOct,54,6,3829.298
55,1,1,MesOct,55,7,3854.733
56,1,1,MesOct,56,55,4981.331
57,1,1,MesNov,1,56,2591.737
58,1,1,MesNov,2,36,2636.776
59,1,1,MesNov,3,29,2700.882
60,1,1,MesNov,4,50,2722.815
61,1,1,MesNov,5,38,2740.586
62,1,1,MesNov,6,51,2780.648
63,1,1,MesNov,7,54,2831.818
64,1,1,MesNov,8,30,2843.411
65,1,1,MesNov,9,8,2845.454
66,1,1,MesNov,10,39,2905.016
67,1,1,MesNov,11,19,2974.463
68,1,1,MesNov,12,52,3014.775
69,1,1,MesNov,13,46,3040.528
70,1,1,MesNov,14,37,3054.792
71,1,1,MesNov,15,25,3058.18
72,1,1,MesNov,16,2,3087.551
73,1,1,MesNov,17,23,3092.077
74,1,1,MesNov,18,1,3097.087
75,1,1,MesNov,19,43,3111.608
76,1,1,MesNov,20,41,3112.98
77,1,1,MesNov,21,31,3130.037
78,1,1,MesNov,22,53,3130.372
79,1,1,MesNov,23,20,3142.41
80,1,1,MesNov,24,3,3147.241
81,1,1,MesNov,25,9,3166.427
82,1,1,MesNov,26,4,3167.168
83,1,1,MesNov,27,47,3183.853
84,1,1,MesNov,28,16,3198
85,1,1,MesNov,29,24,3198.578
86,1,1,MesNov,30,48,3226.716
87,1,1,MesNov,31,18,3229.433
88,1,1,MesNov,32,15,3301.55
89,1,1,MesNov,33,22,3383.855
90,1,1,MesNov,34,40,3385.995
91,1,1,MesNov,35,45,3389.729
92,1,1,MesNov,36,26,3400.348
93,1,1,MesNov,37,44,3421.103
94,1,1,MesNov,38,5,3445.737
95,1,1,MesNov,39,21,3527.603
96,1,1,MesNov,40,17,3530.688
97,1,1,MesNov,41,32,3560.86
98,1,1,MesNov,42,42,3584.157
99,1,1,MesNov,43,49,3660.034
100,1,1,MesNov,44,11,3735.118
101,1,1,MesNov,45,10,3844.331
102,1,1,MesNov,46,13,3864.014
103,1,1,MesNov,47,33,3873.228
104,1,1,MesNov,48,14,3875.989
105,1,1,MesNov,49,35,3893.185
106,1,1,MesNov,50,27,3955.518
107,1,1,MesNov,51,12,3985.657
108,1,1,MesNov,52,34,4099.126
109,1,1,MesNov,53,28,4226.763
110,1,1,MesNov,54,6,4230.295
111,1,1,MesNov,55,7,4263.999
112,1,1,MesNov,56,55,5036.871
113,1,1,MesDic,1,50,2008.655
114,1,1,MesDic,2,51,2165.922
115,1,1,MesDic,3,23,2305.784
116,1,1,MesDic,4,53,2361.197
117,1,1,MesDic,5,52,2427.786
118,1,1,MesDic,6,25,2440.441
119,1,1,MesDic,7,54,2484.929
120,1,1,MesDic,8,18,2570.358
121,1,1,MesDic,9,36,2602.99
122,1,1,MesDic,10,46,2617.622
123,1,1,MesDic,11,2,2618.354
124,1,1,MesDic,12,20,2677.199
125,1,1,MesDic,13,13,2770.034
126,1,1,MesDic,14,43,2780.622
127,1,1,MesDic,15,38,2799.844
128,1,1,MesDic,16,19,2826.222
129,1,1,MesDic,17,41,2908.859
130,1,1,MesDic,18,39,2928.306
131,1,1,MesDic,19,3,2936.574
132,1,1,MesDic,20,56,2957.208
133,1,1,MesDic,21,30,2962.496
134,1,1,MesDic,22,1,2995.204
135,1,1,MesDic,23,12,3043.918
136,1,1,MesDic,24,37,3051.18
137,1,1,MesDic,25,16,3060.588
138,1,1,MesDic,26,31,3061.088
139,1,1,MesDic,27,22,3076.835
140,1,1,MesDic,28,4,3083.824
141,1,1,MesDic,29,17,3084.43
142,1,1,MesDic,30,21,3105.397
143,1,1,MesDic,31,8,3113.902
144,1,1,MesDic,32,47,3125.37
145,1,1,MesDic,33,10,3125.955
146,1,1,MesDic,34,48,3127.71
147,1,1,MesDic,35,29,3144.269
148,1,1,MesDic,36,26,3144.895
149,1,1,MesDic,37,9,3146.835
150,1,1,MesDic,38,49,3164.565
151,1,1,MesDic,39,42,3168.904
152,1,1,MesDic,40,24,3181.385
153,1,1,MesDic,41,40,3236.514
154,1,1,MesDic,42,11,3251.676
155,1,1,MesDic,43,14,3272.606
156,1,1,MesDic,44,15,3290.715
157,1,1,MesDic,45,27,3302.736
158,1,1,MesDic,46,44,3317.625
159,1,1,MesDic,47,33,3361.461
160,1,1,MesDic,48,45,3394.275
161,1,1,MesDic,49,5,3439.021
162,1,1,MesDic,50,32,3453.863
163,1,1,MesDic,51,6,3510.38
164,1,1,MesDic,52,28,3517.465
165,1,1,MesDic,53,35,3521.538
166,1,1,MesDic,54,34,3523.491
167,1,1,MesDic,55,7,3584.187
168,1,1,MesDic,56,55,5140.813
169,1,1,MesEne,1,52,2094.812
170,1,1,MesEne,2,50,2171.607
171,1,1,MesEne,3,51,2194.791
172,1,1,MesEne,4,53,2232.776
173,1,1,MesEne,5,54,2514.05
174,1,1,MesEne,6,39,2919.081
175,1,1,MesEne,7,23,2954.158
176,1,1,MesEne,8,38,2967.921
177,1,1,MesEne,9,20,2969.563
178,1,1,MesEne,10,37,2980.89
179,1,1,MesEne,11,21,3019.461
180,1,1,MesEne,12,36,3020.94
181,1,1,MesEne,13,15,3025.15
182,1,1,MesEne,14,2,3037.864
183,1,1,MesEne,15,3,3049.103
184,1,1,MesEne,16,9,3056.629
185,1,1,MesEne,17,46,3061.455
186,1,1,MesEne,18,31,3103.226
187,1,1,MesEne,19,43,3109.037
188,1,1,MesEne,20,47,3110.511
189,1,1,MesEne,21,10,3112.829
190,1,1,MesEne,22,16,3154.939
191,1,1,MesEne,23,56,3157.264
192,1,1,MesEne,24,11,3164.825
193,1,1,MesEne,25,12,3166.119
