SecNum,SecAnoIni,SecAnoFin,SecTip,SecISim,SecNEta,1,2,3,4,5,6,7,8,9,10,11,12
1,1,*,SimEta,*,12,MesAbr,MesMay,MesJun,MesJul,MesAgo,MesSep,MesOct,MesNov,MesDic,MesEne,MesFeb,MesMar
2,1,1,SimSec,1,12,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,SimSec,2,12,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,SimSec,3,12,3,3,3,3,3,3,3,3,3,3,3,3
5,1,1,SimSec,4,12,4,4,4,4,4,4,4,4,4,4,4,4
6,1,1,SimSec,5,12,5,5,5,5,5,5,5,5,5,5,5,5
7,1,1,SimSec,6,12,6,6,6,6,6,6,6,6,6,6,6,6
8,1,1,SimSec,7,12,7,7,7,7,7,7,7,7,7,7,7,7
9,1,1,SimSec,8,12,8,8,8,8,8,8,8,8,8,8,8,8
10,1,1,SimSec,9,12,9,9,9,9,9,9,9,9,9,9,9,9
11,1,1,SimSec,10,12,10,10,10,10,10,10,10,10,10,10,10,10
12,1,1,SimSec,11,12,11,11,11,11,11,11,11,11,11,11,11,11
13,1,1,SimSec,12,12,12,12,12,12,12,12,12,12,12,12,12,12
14,1,1,SimSec,13,12,13,13,13,13,13,13,13,13,13,13,13,13
15,1,1,SimSec,14,12,14,14,14,14,14,14,14,14,14,14,14,14
16,1,1,SimSec,15,12,15,15,15,15,15,15,15,15,15,15,15,15
17,1,1,SimSec,16,12,16,16,16,16,16,16,16,16,16,16,16,16
18,1,1,SimSec,17,12,17,17,17,17,17,17,17,17,17,17,17,17
19,1,1,SimSec,18,12,18,18,18,18,18,18,18,18,18,18,18,18
20,1,1,SimSec,19,12,19,19,19,19,19,19,19,19,19,19,19,19
21,1,1,SimSec,20,12,20,20,20,20,20,20,20,20,20,20,20,20
22,1,1,SimSec,21,12,21,21,21,21,21,21,21,21,21,21,21,21
23,1,1,SimSec,22,12,22,22,22,22,22,22,22,22,22,22,22,22
24,1,1,SimSec,23,12,23,23,23,23,23,23,23,23,23,23,23,23
25,1,1,SimSec,24,12,24,24,24,24,24,24,24,24,24,24,24,24
26,1,1,SimSec,25,12,25,25,25,25,25,25,25,25,25,25,25,25
27,1,1,SimSec,26,12,26,26,26,26,26,26,26,26,26,26,26,26
28,1,1,SimSec,27,12,27,27,27,27,27,27,27,27,27,27,27,27
29,1,1,SimSec,28,12,28,28,28,28,28,28,28,28,28,28,28,28
30,1,1,SimSec,29,12,29,29,29,29,29,29,29,29,29,29,29,29
31,1,1,SimSec,30,12,30,30,30,30,30,30,30,30,30,30,30,30
32,1,1,SimSec,31,12,31,31,31,31,31,31,31,31,31,31,31,31
33,1,1,SimSec,32,12,32,32,32,32,32,32,32,32,32,32,32,32
34,1,1,SimSec,33,12,33,33,33,33,33,33,33,33,33,33,33,33
35,1,1,SimSec,34,12,34,34,34,34,34,34,34,34,34,34,34,34
36,1,1,SimSec,35,12,35,35,35,35,35,35,35,35,35,35,35,35
37,1,1,SimSec,36,12,36,36,36,36,36,36,36,36,36,36,36,36
38,1,1,SimSec,37,12,37,37,37,37,37,37,37,37,37,37,37,37
39,1,1,SimSec,38,12,38,38,38,38,38,38,38,38,38,38,38,38
40,1,1,SimSec,39,12,39,39,39,39,39,39,39,39,39,39,39,39
41,1,1,SimSec,40,12,40,40,40,40,40,40,40,40,40,40,40,40
42,1,1,SimSec,41,12,41,41,41,41,41,41,41,41,41,41,41,41
43,1,1,SimSec,42,12,42,42,42,42,42,42,42,42,42,42,42,42
44,1,1,SimSec,43,12,43,43,43,43,43,43,43,43,43,43,43,43
45,1,1,SimSec,44,12,44,44,44,44,44,44,44,44,44,44,44,44
46,1,1,SimSec,45,12,45,45,45,45,45,45,45,45,45,45,45,45
47,1,1,SimSec,46,12,46,46,46,46,46,46,46,46,46,46,46,46
48,1,1,SimSec,47,12,47,47,47,47,47,47,47,47,47,47,47,47
49,1,1,SimSec,48,12,48,48,48,48,48,48,48,48,48,48,48,48
50,1,1,SimSec,49,12,49,49,49,49,49,49,49,49,49,49,49,49
51,1,1,SimSec,50,12,50,50,50,50,50,50,50,50,50,50,50,50
52,1,1,SimSec,51,12,51,51,51,51,51,51,51,51,51,51,51,51
53,1,1,SimSec,52,12,52,52,52,52,52,52,52,52,52,52,52,52
54,1,1,SimSec,53,12,53,53,53,53,53,53,53,53,53,53,53,53
55,1,1,SimSec,54,12,54,54,54,54,54,54,54,54,54,54,54,54
56,1,1,SimSec,55,12,55,55,55,55,55,55,55,55,55,55,55,55
57,1,1,SimSec,56,12,56,56,56,56,56,56,56,56,56,56,56,56
58,1,1,SimSec,57,12,57,57,57,57,57,57,57,57,57,57,57,57
59,1,1,SimSec,58,12,58,58,58,58,58,58,58,58,58,58,58,58
59,1,1,SimSec,59,12,59,59,59,59,59,59,59,59,59,59,59,59
60,2,2,SimSec,1,12,2,2,2,2,2,2,2,2,2,2,2,2
61,2,2,SimSec,2,12,3,3,3,3,3,3,3,3,3,3,3,3
62,2,2,SimSec,3,12,4,4,4,4,4,4,4,4,4,4,4,4
63,2,2,SimSec,4,12,5,5,5,5,5,5,5,5,5,5,5,5
64,2,2,SimSec,5,12,6,6,6,6,6,6,6,6,6,6,6,6
65,2,2,SimSec,6,12,7,7,7,7,7,7,7,7,7,7,7,7
66,2,2,SimSec,7,12,8,8,8,8,8,8,8,8,8,8,8,8
67,2,2,SimSec,8,12,9,9,9,9,9,9,9,9,9,9,9,9
68,2,2,SimSec,9,12,10,10,10,10,10,10,10,10,10,10,10,10
69,2,2,SimSec,10,12,11,11,11,11,11,11,11,11,11,11,11,11
70,2,2,SimSec,11,12,12,12,12,12,12,12,12,12,12,12,12,12
71,2,2,SimSec,12,12,13,13,13,13,13,13,13,13,13,13,13,13
72,2,2,SimSec,13,12,14,14,14,14,14,14,14,14,14,14,14,14
73,2,2,SimSec,14,12,15,15,15,15,15,15,15,15,15,15,15,15
74,2,2,SimSec,15,12,16,16,16,16,16,16,16,16,16,16,16,16
75,2,2,SimSec,16,12,17,17,17,17,17,17,17,17,17,17,17,17
76,2,2,SimSec,17,12,18,18,18,18,18,18,18,18,18,18,18,18
77,2,2,SimSec,18,12,19,19,19,19,19,19,19,19,19,19,19,19
78,2,2,SimSec,19,12,20,20,20,20,20,20,20,20,20,20,20,20
79,2,2,SimSec,20,12,21,21,21,21,21,21,21,21,21,21,21,21
80,2,2,SimSec,21,12,22,22,22,22,22,22,22,22,22,22,22,22
81,2,2,SimSec,22,12,23,23,23,23,23,23,23,23,23,23,23,23
82,2,2,SimSec,23,12,24,24,24,24,24,24,24,24,24,24,24,24
83,2,2,SimSec,24,12,25,25,25,25,25,25,25,25,25,25,25,25
84,2,2,SimSec,25,12,26,26,26,26,26,26,26,26,26,26,26,26
85,2,2,SimSec,26,12,27,27,27,27,27,27,27,27,27,27,27,27
