SalINum,SalNom,SalFPrt,SalFBlo,SalFAno,SalFRlt,SalNAno,SalFSis,SalFNul,SalFRel,SalFAll,SalArcFmt
1,MsgCrt,T,F,F,F,2,F,F,T,F,*
2,MsgPrg,T,F,F,F,2,F,F,T,F,*
3,MsgOsl,T,F,F,F,2,F,F,T,F,*
4,CosIteSim,F,F,F,F,2,F,F,T,F,*
5,CenSisEtaSim,T,F,T,F,1,F,F,T,F,*
6,CenFalEtaSim,T,F,F,F,12,F,F,T,F,*
7,LinSisEtaSim,F,F,T,F,1,F,T,T,F,*
8,LinPriEtaSim,F,F,T,F,1,F,T,T,F,*
9,LinSecEtaSim,F,F,T,F,1,F,T,T,F,*
10,EmbDatEtaSim,F,F,F,F,2,F,F,T,F,*
11,CenSerEtaSim,F,F,F,F,2,F,F,T,F,*
12,CenPasEtaSim,F,F,F,F,2,F,F,T,F,*
13,CenVirEtaSim,F,F,F,F,2,F,F,T,F,*
14,CosOpeEtaSim,F,F,F,F,12,F,F,T,F,*
15,CosInvSis,F,F,F,F,2,F,F,T,F,*
16,CosInvEle,F,F,F,F,2,F,F,T,F,*
17,RieLajEtaSim,F,F,F,F,2,F,F,T,F,*
18,RieMauEtaSim,F,F,F,F,2,F,F,T,F,*
19,BarBalOpeEtaSim,F,F,T,F,1,F,F,T,F,*
20,BalInyRetEtaSim,F,F,T,F,1,F,F,T,F,*
21,SecOpeSisEta,F,F,F,F,2,F,F,T,F,*
22,BarSisDemEta,T,F,F,F,2,F,F,T,F,Fmt\BarSisDemEta.csv
23,BarSisDemEtaOpt,F,F,F,F,2,F,F,T,F,Fmt\BarSisDemEtaOpt.csv
24,BarSisBloEtaOpt,F,F,F,F,2,F,F,T,F,Fmt\BarSisBloEtaOpt.csv
25,BarSisCMgEta,T,F,F,F,2,F,T,T,F,Fmt\BarSisCMgEta.csv
26,BarSisCMgEtaBlo,T,T,F,F,12,F,T,T,F,Fmt\BarSisCMgEtaBlo.csv
27,BarSisCMgEtaSim,T,F,F,F,12,F,T,T,F,Fmt\BarSisCMgEtaSim.csv
28,BarSisCMgEtaBloSim,F,F,T,F,1,F,T,T,F,Fmt\BarSisCMgEtaBloSim.csv
29,BarSisCMgEtaBloSimSec,F,F,F,F,1,F,T,T,F,Fmt\BarSisCMgEtaBloSimSec.csv
30,BarSisCMgAño,F,F,F,F,1,F,T,T,F,Fmt\BarSisCMgAño.csv
31,BarSisCMgAñoBlo,F,T,F,F,1,F,T,T,F,Fmt\BarSisCMgAñoBlo.csv
32,BarSisCMgAñoSim,F,F,F,F,1,F,T,T,F,Fmt\BarSisCMgAñoSim.csv
33,BarSisCMgAñoBloSim,F,F,T,F,1,F,T,T,F,Fmt\BarSisCMgAñoBloSim.csv
34,BarSisCMgPNdPotAño,T,F,F,F,1,F,T,T,F,Fmt\BarSisCMgPNdPotAño.csv
35,BarSisCMgPNdEneAño,T,F,F,F,1,F,T,T,F,Fmt\BarSisCMgPNdEneAño.csv
36,BarSisCMgPNdEneAñoBlo,F,F,F,F,1,F,T,T,F,Fmt\BarSisCMgPNdEneAñoBlo.csv
37,EmbBenCorEtaSim,F,F,F,F,1,F,F,T,F,*
38,CenResEtaSim,F,F,F,F,1,F,F,T,F,*
39,ApeHidOptEta,F,F,F,F,1,F,F,T,F,*
40,EneHidEtaPrb,F,F,F,F,1,F,F,T,F,*
41,EneHidEtaPrbCnd,F,F,F,F,1,F,F,T,F,*
42,EneHidEtaApeCnd,F,F,F,F,1,F,F,T,F,*
43,CenEmiEtaSimMetCnsDet,F,F,T,F,5,F,T,T,F,*
44,CenEmiEtaSimMetCnsRes,F,F,F,F,5,F,T,T,F,*
45,CenEmiEtaSimMetChqDet,F,F,T,F,5,F,T,T,F,*
46,CenEmiEtaSimMetChqRes,F,F,F,F,5,F,T,T,F,*
47,LinSisHisFluAño,F,F,F,F,4,F,T,T,F,*
48,LinSisHisFluAñoSec,F,F,F,F,4,F,T,T,F,*
49,LinSisHisITAño,F,F,F,F,1,F,T,T,F,*
50,LinSisHisPrdAño,F,F,F,F,1,F,T,T,F,*
51,LinSisHidAño,F,F,F,F,4,F,T,T,F,*
52,LinIndEtaSim,F,F,F,F,1,F,T,T,F,*
