AflNum,AflNom,AflAnoIni,AflAnoFin,AflIBlo,AflHid,AflEtaTip,AflDatTip,Sem01,Sem02,Sem03,Sem04,Sem05,Sem06,Sem07,Sem08,Sem09,Sem10,Sem11,Sem12,Sem13,Sem14,Sem15,Sem16,Sem17,Sem18,Sem19,Sem20,Sem21,Sem22,Sem23,Sem24,Sem25,Sem26,Sem27,Sem28,Sem29,Sem30,Sem31,Sem32,Sem33,Sem34,Sem35,Sem36,Sem37,Sem38,Sem39,Sem40,Sem41,Sem42,Sem43,Sem44,Sem45,Sem46,Sem47,Sem48
1960,Embalse Ralco,*,*,*,1,EtaSem,DatCau,96.04968693,83.10908415,66.96398717,59.87724175,58.67303486,64.52655637,159.5001555,108.1002533,115.6530813,194.5956268,461.885326,327.865966,271.0785366,216.3079999,270.5359207,330.0775428,282.5668102,243.4905392,209.2704746,252.6721761,270.600733,282.174673,251.7714368,259.4531572,372.3564975,782.024868,627.9288364,473.6897982,590.7294728,575.2774362,480.3629058,469.6301852,366.1742975,283.2625544,206.3938128,164.1693352,160.8238873,164.5852629,175.6896271,150.9012228,127.5191316,104.9650363,93.50860312,82.00722891,73.65488442,111.3305048,85.6430965,71.37151429
1961,Embalse Ralco,*,*,*,2,EtaSem,DatCau,84.15523199,100.9977254,81.29240342,72.35463921,67.66587408,97.87551088,79.4853731,310.9732419,493.5674618,387.3329645,221.1963675,237.9032062,223.5592909,276.6921356,709.9648265,1205.783747,606.7513328,347.4301778,430.1402852,419.6782041,361.6973834,374.3831061,382.3657674,657.553743,484.7928738,622.1980835,611.2920351,613.7170075,649.4036108,499.5305446,449.8882163,397.1776283,326.1205602,297.0523967,242.8633126,197.9637306,173.2906021,154.0964454,129.6797607,122.9331919,120.7136954,96.14565041,89.15664612,77.18400804,72.53927436,71.76789432,64.89592341,62.39690792
1962,Embalse Ralco,*,*,*,3,EtaSem,DatCau,57.27057413,52.43339931,57.56164148,53.13438508,70.06361155,58.07452511,50.79713053,55.4647328,59.39082773,74.57062032,162.1788249,239.8597271,126.6741107,144.4656417,113.1599974,99.70025009,161.6968935,215.6360155,558.4081383,368.2589527,414.9434299,266.2270577,206.055031,220.7744814,234.2170044,238.722462,260.5683416,266.492192,240.8264783,187.9904331,150.9606289,160.2224597,124.0311087,105.067939,93.41285086,81.48810142,75.55789423,72.7428552,66.54299749,62.35625308,61.30644485,72.1232594,63.42682456,59.14347118,52.74950769,51.49566251,59.62996639,48.52486341
1963,Embalse Ralco,*,*,*,4,EtaSem,DatCau,44.30806843,56.48814417,52.69729268,63.30649472,61.42676066,58.37460483,83.6977377,100.9008968,127.2815177,166.0091537,103.7148542,266.9944744,201.7177146,332.4410466,276.5006894,257.3405493,215.8748779,190.847226,303.4506974,801.8271987,604.3330845,351.7099089,555.8357515,424.1212551,384.2971807,414.9648713,518.4567125,818.2812355,888.3262863,568.4271799,416.0444447,435.2020891,425.8363826,476.9986648,383.9288624,361.2360902,254.951338,202.8683981,185.1655634,157.0147005,143.2812854,127.4324199,105.4647167,99.82157791,90.39096827,78.8993918,71.69479538,65.01484454
1964,Embalse Ralco,*,*,*,5,EtaSem,DatCau,65.86804617,65.29669761,62.59525515,57.84000107,58.80859158,59.62986554,107.672905,107.4886378,172.8489271,222.51618,137.2749125,115.3599804,106.986852,140.9559916,139.3181219,112.7390345,112.4045469,141.9485218,151.4126308,270.2343005,413.1460356,325.3457292,330.7614342,370.7468011,334.6503413,480.795023,489.3965067,471.1581291,483.6177972,403.8412837,333.0736563,363.4672628,348.5360272,523.0813722,332.3928145,487.989786,270.3306717,200.2563881,169.058747,140.3541932,208.1027132,135.7498499,116.7805467,119.3668903,117.1976279,93.05758122,80.48903802,75.25575287
1965,Embalse Ralco,*,*,*,6,EtaSem,DatCau,75.32553219,216.8372143,180.1677346,159.6695188,135.3415909,177.2030056,193.4410794,782.0143241,437.3635858,407.5606844,1365.389878,1165.685852,608.8610641,401.1579085,443.1663261,638.8147012,554.9258362,945.1544454,552.8222629,363.0974555,385.3959878,378.1302888,351.5323728,328.9413506,354.1617367,444.2301061,503.3359683,490.2721889,577.9121866,592.1315725,612.3296162,865.6266246,773.1393662,791.9236353,501.5375629,389.3994357,310.1954974,257.1780979,201.2334816,171.3929231,171.0193852,137.3515741,125.9812713,109.6477694,101.7598405,95.87500573,106.2409616,93.72419215
1966,Embalse Ralco,*,*,*,7,EtaSem,DatCau,108.9957517,118.5337671,159.3105074,125.1599739,131.9457296,109.7028013,205.6622645,464.6892046,222.9403944,313.8899155,304.3620064,346.8076838,309.7233387,790.3782029,462.8046307,281.0938277,261.8133765,214.9377494,201.489573,285.759301,324.6776729,267.6527576,258.606961,325.0626085,354.6044919,366.7864955,366.7543502,535.8546625,535.9877925,545.5004979,493.1027039,421.4090058,392.6900121,755.3549599,519.963834,391.991194,300.7736462,252.1760151,263.9364798,219.1138589,170.3501842,207.0118194,139.8779304,126.760066,115.2900983,99.58200313,104.3366204,85.64335314
1967,Embalse Ralco,*,*,*,8,EtaSem,DatCau,79.21972798,78.76737051,66.47230549,65.82903138,58.82827699,89.82922755,221.5485829,313.9793062,181.200771,134.1866231,144.5078691,128.1047367,133.3452199,140.825363,194.5911471,247.23827,203.9751242,326.0298578,329.6018315,256.3931864,230.7819044,293.0612976,305.2093479,278.9474501,465.6732356,644.215489,531.9354482,554.1758272,588.3012349,572.5113326,491.7922936,411.3951388,326.5321441,335.7874736,250.5400499,199.1403324,169.3095857,136.6593839,113.2859302,100.7451002,121.6346669,134.1044768,100.1613834,92.3021233,93.51370082,93.6914833,82.54755356,81.42664383
1968,Embalse Ralco,*,*,*,9,EtaSem,DatCau,66.0041573,59.99024749,64.40702333,63.99857187,54.24254882,79.39083164,59.22503207,69.14158747,86.67130159,87.14257434,100.1194352,105.6666889,129.2234294,138.5205185,114.4031887,125.8528635,104.6239768,110.8856431,218.7034105,157.7869696,141.1704353,196.3874479,188.3122502,310.1298666,260.0734631,201.6535514,179.4318222,174.8411633,178.2773626,222.6380568,232.7019437,198.3826369,148.9423664,192.0141368,172.5992901,158.4442066,148.7484262,120.7367262,105.0277693,93.48707827,85.36391407,86.37429298,77.32740806,71.73438489,69.98375043,63.98326136,58.24591583,58.18707238
1969,Embalse Ralco,*,*,*,10,EtaSem,DatCau,54.32777726,55.86382767,76.5116533,112.4967418,154.0917967,157.9061093,257.9589955,310.0430985,393.726343,958.3641914,397.170265,462.7392006,287.8939567,243.8201647,375.6575066,508.628372,448.9381302,514.4614734,474.4979544,314.1024419,379.8295289,342.2895371,373.4738389,452.4070951,364.7599831,347.4121374,329.8708887,385.9569908,415.4831403,463.4115014,524.6479301,504.4574281,417.0767177,370.4116876,265.9700315,214.5415632,189.56419,156.9781529,137.9099116,115.5477455,109.1600149,98.99648353,94.46777494,87.77572659,79.86694185,77.03837282,67.75659165,68.13809368
1970,Embalse Ralco,*,*,*,11,EtaSem,DatCau,64.17550154,92.18683069,79.30765167,88.3300161,86.23424514,107.5934965,81.71600902,196.876381,134.6627774,256.5902714,504.187342,264.5596092,206.2894485,251.6268827,222.1730992,315.9105696,278.2782891,237.872253,294.2976926,217.5517653,207.3088277,247.5396974,287.4401856,273.7112892,297.6886878,277.444858,363.7376643,465.1287899,441.8427815,486.681652,389.160112,354.3154545,339.7291663,339.1030617,327.25063,349.917142,240.9067169,185.7507766,181.2831928,152.0593137,201.5438604,165.6733533,137.4246209,115.3581654,104.3879856,90.60655909,80.15492239,77.25053291
1971,Embalse Ralco,*,*,*,12,EtaSem,DatCau,69.82830404,71.85632768,75.22452294,71.89084535,71.02976164,77.68705822,568.6533892,314.629791,219.385903,171.5041722,151.0476557,246.0622691,224.3007181,302.6277736,661.1695103,619.901998,553.8415959,438.8372538,340.8324481,266.4887022,300.8824801,343.7878123,327.4282138,275.9014938,307.5370169,280.7857141,385.0892685,578.5880004,476.1643419,423.9564943,347.9291459,287.9500179,248.5902817,214.2467,345.4653358,299.6976826,203.9608978,188.0219174,173.699062,142.3181228,134.3053309,109.4594617,99.08577072,89.1494366,80.28674527,73.99762628,90.25878268,69.85684577
