AflNum,AflNom,AflAnoIni,AflAnoFin,AflIBlo,AflHid,AflEtaTip,AflDatTip,Sem01,Sem02,Sem03,Sem04,Sem05,Sem06,Sem07,Sem08,Sem09,Sem10,Sem11,Sem12,Sem13,Sem14,Sem15,Sem16,Sem17,Sem18,Sem19,Sem20,Sem21,Sem22,Sem23,Sem24,Sem25,Sem26,Sem27,Sem28,Sem29,Sem30,Sem31,Sem32,Sem33,Sem34,Sem35,Sem36,Sem37,Sem38,Sem39,Sem40,Sem41,Sem42,Sem43,Sem44,Sem45,Sem46,Sem47,Sem48
1960,Lago Chapo,*,*,*,1,EtaSem,DatCau,202.0901005,27.57651543,63.02427843,18.34910569,20.77015931,27.42368162,134.4101894,72.99596962,70.73504376,64.31699925,67.86740685,70.12055014,80.9649,91.1385,58.99275,51.50385,57.08428089,60.11842713,49.06474162,45.49255035,42.81407396,42.65702928,29.04799037,47.84090639,54.66649511,65.75794186,80.24715538,16.72840765,45.80569951,46.93337417,28.31693645,17.50398987,16.01173483,31.76445602,51.93121359,16.09259557,63.78302779,106.4222604,88.88466065,22.83005117,34.59626792,26.28531413,13.47276669,31.36565126,13.65733927,20.01264476,22.63415946,44.69585651
1961,Lago Chapo,*,*,*,2,EtaSem,DatCau,62.77936956,53.9750858,24.79906475,25.56647989,54.1161322,42.11212409,16.34925439,107.1024893,127.4122858,25.52075382,233.6845471,101.7824133,50.80515478,72.87100075,192.9017531,34.02209137,53.37815529,22.9750869,99.55928858,80.68746922,78.93833388,94.73150042,104.0835674,71.24659829,39.32907489,63.99730174,50.05869578,67.37492758,26.47994378,23.65797525,29.33966624,31.04241473,16.89921831,10.4193523,18.00146152,9.639967873,17.41550161,27.87003124,11.18850016,7.605966995,5.247718063,6.036231981,3.932831736,3.983218221,3.339382898,5.768240054,6.465125541,23.26725151
1962,Lago Chapo,*,*,*,3,EtaSem,DatCau,14.85589827,6.886944633,22.35792831,35.33922878,73.29956431,45.94091803,19.78945949,10.49005817,35.56384314,46.01268997,101.8088539,87.81461297,23.81076863,101.7925471,23.05392795,23.14275631,167.3005044,69.01772451,69.97929496,129.7024762,116.9408545,34.32724524,17.03009462,31.50180569,41.15877672,22.5300265,15.51049222,10.00070457,14.6390885,11.56531097,24.12406867,69.67153185,26.52849885,11.56822582,14.43674384,22.34653149,78.3171566,39.04865879,10.10416215,16.53002245,7.287932548,10.22918682,6.319094808,4.203785819,7.214507717,17.77290394,59.79785475,26.4947336
1963,Lago Chapo,*,*,*,4,EtaSem,DatCau,101.936352,45.22548214,92.34350365,91.89466224,39.66857628,56.39317065,60.76925732,71.96899576,145.3135165,73.63559563,23.30308426,142.1478036,82.55628066,78.48435102,136.3332957,93.02607261,36.19364078,59.08948712,54.94314601,78.97372609,73.85593733,33.12605845,76.8688383,35.34916592,18.23128459,40.15572344,18.17559272,43.43739925,55.04261288,28.05681466,22.96889828,61.13167418,33.48139412,27.11502025,58.03126134,14.77232429,25.26812331,15.75579364,22.07772721,48.69835583,75.18967311,49.0076051,25.51545743,29.28726437,42.78696021,18.68027052,16.0836247,49.64914457
1964,Lago Chapo,*,*,*,5,EtaSem,DatCau,18.14332409,36.31079609,69.97322831,16.37265151,119.3241265,86.34034589,76.5648139,61.37071373,123.9636273,99.10128589,25.26102512,37.27406173,32.78933771,83.04366981,65.44502873,31.52196375,59.12733073,106.6368736,32.95580612,132.4799896,93.13919953,43.84755761,65.15230267,33.46094019,12.75173922,21.0299347,11.02077168,88.3975544,17.9387114,13.19118369,19.79353859,36.51656632,52.12455646,70.47688073,18.21685012,21.38171269,59.85811797,11.31825393,24.83877509,12.38485301,56.73479254,27.93544951,98.22402034,47.70573761,12.04381978,19.64223507,5.204762281,6.309182869
1965,Lago Chapo,*,*,*,6,EtaSem,DatCau,24.52368721,70.29040484,62.3750009,14.41090705,35.01652264,42.93763223,25.64786893,77.9979762,16.85968356,90.233277,220.9126998,128.3943397,45.22333781,16.24660928,81.3328627,208.3971902,108.5949232,147.9256448,62.98740527,15.69202675,32.37550306,46.17287501,31.29670801,27.15491392,70.28770124,65.49097758,44.94376688,75.27755429,21.49531924,21.48117269,32.11246692,114.1110412,73.82932475,44.50669676,28.06905863,17.79491986,11.86051315,13.15987968,15.1859953,24.83361187,110.5018343,20.4988419,10.3139641,7.285359736,31.6405488,23.10710249,91.73697151,24.71537719
1966,Lago Chapo,*,*,*,7,EtaSem,DatCau,20.83546802,32.27738152,34.32786394,26.55928652,45.42626995,89.50280613,161.205781,174.2651429,67.01481212,120.384116,82.14582879,195.9352431,208.6507256,73.01801606,57.35678177,26.89447658,66.18856199,26.563399,43.30223702,54.265802,41.64197141,57.53272417,18.16568372,27.1396207,32.88383354,38.23411668,27.65462489,45.54742489,30.08820901,23.28960046,19.59975234,27.26243819,118.6909232,108.8020488,56.27346461,17.91356335,15.20426337,60.11738722,95.97079384,24.98755558,17.84611615,65.60867259,15.133808,13.37140325,13.5872383,26.3749375,63.46082646,17.21699774
1967,Lago Chapo,*,*,*,8,EtaSem,DatCau,17.55333784,23.7991958,19.84652073,17.00094563,28.33108059,102.9962089,232.6960506,57.29665997,19.87045535,45.92481626,129.6399937,42.16473471,52.25541709,79.98852041,142.5930457,50.08301681,52.03795382,99.76499218,61.50967051,109.6473835,47.30528966,163.546917,44.12178672,27.06600662,81.84682793,82.95954539,42.52225043,54.75137625,34.2797278,80.98920525,53.46170129,36.82936566,35.01341458,24.90542848,31.17004136,58.11111558,19.44284875,19.35976602,17.98543238,14.93195285,31.58533935,50.11627863,31.41427058,62.00411144,21.30842365,21.27836914,63.32017792,28.77302929
1968,Lago Chapo,*,*,*,9,EtaSem,DatCau,11.84816696,18.61102673,23.33530571,39.6455006,47.75925041,170.1274183,24.65974568,63.17358565,66.73320942,21.05970404,81.26379299,37.58329355,132.2563904,95.64523337,86.13860785,44.71976837,32.86433719,113.7181095,94.57689291,25.76066035,48.64527413,53.94290566,39.51148204,32.62033817,36.11579341,25.85714413,106.754542,47.51252051,42.53271117,94.29549445,60.26294472,32.18884966,25.05454327,112.6402145,38.35274791,36.27249435,29.88774304,15.16053378,7.847718642,7.544004532,20.17115515,105.5778116,49.02119414,20.26983908,13.75424461,11.71449428,11.96595769,10.08530342
1969,Lago Chapo,*,*,*,10,EtaSem,DatCau,9.918038161,33.17133684,48.01865829,115.0919667,107.0538803,75.960947,49.51659879,69.46857395,32.65845037,149.5764836,46.38933568,100.0157303,52.90300303,116.9889845,86.06246148,250.845551,127.4736648,152.3883829,40.48938081,41.40857149,59.14102629,65.92620356,126.6315437,56.86122648,87.63565473,70.7871744,31.71622586,59.78094502,74.37934025,39.32831314,22.81732868,72.91501794,22.35349353,27.61100613,14.61154954,37.38395081,18.05380721,15.13479781,25.89683545,18.31455952,36.07103185,15.02150361,10.00810532,12.09935922,9.612717072,25.7593867,6.157033703,27.83086253
