AflNum,AflNom,AflAnoIni,AflAnoFin,AflIBlo,AflHid,AflEtaTip,AflDatTip,Sem01,Sem02,Sem03,Sem04,Sem05,Sem06,Sem07,Sem08,Sem09,Sem10,Sem11,Sem12,Sem13,Sem14,Sem15,Sem16,Sem17,Sem18,Sem19,Sem20,Sem21,Sem22,Sem23,Sem24,Sem25,Sem26,Sem27,Sem28,Sem29,Sem30,Sem31,Sem32,Sem33,Sem34,Sem35,Sem36,Sem37,Sem38,Sem39,Sem40,Sem41,Sem42,Sem43,Sem44,Sem45,Sem46,Sem47,Sem48
1960,Riego Tucapel,*,*,*,1,EtaSem,DatCau,79.99241754,53.94426561,46.18074559,52.04257127,52.41453631,52.56767474,66.81839474,62.51939421,70.18951307,157.3167998,588.2772234,180.9764637,227.4566475,154.1177551,188.307887,168.7577104,142.8017317,149.4817439,126.1204775,131.756047,116.2441535,124.9888902,122.5520807,209.7348757,251.1098791,416.0429137,276.3184812,219.0487259,340.3056967,326.0039485,280.3783604,114.7519945,232.6191595,184.0865591,125.0979205,109.7963609,112.9386917,117.22293,116.6225834,105.3757949,94.10945906,90.10430414,87.30134501,80.84489179,77.18777669,115.1190398,92.3058673,73.54731621
1961,Riego Tucapel,*,*,*,2,EtaSem,DatCau,65.86818181,60.27454908,54.02105201,51.1962171,53.47936116,55.2646699,50.56696094,74.049008,214.5084646,175.484703,75.8551789,83.39165352,86.40459952,95.53009117,463.0100963,627.455213,250.8631343,193.7203031,195.6203081,204.7162545,177.1471248,199.1421394,187.6130823,606.3376534,298.1497964,365.194497,338.8673089,401.7483977,432.0625484,323.8344934,327.9563489,316.1466093,276.4751055,263.9808114,202.041954,177.542129,134.0929693,116.6076024,104.8582248,93.0012035,94.2366601,81.10139943,76.69031553,73.65162494,74.52691637,75.01646723,68.22324535,59.19337105
1962,Riego Tucapel,*,*,*,3,EtaSem,DatCau,44.849416,39.65113369,40.98027226,42.79917805,62.79807936,58.85408153,55.76392499,55.94391413,49.17137673,49.39494875,70.73686776,234.3368068,94.10488766,111.7233657,79.89261701,68.35912961,118.6799932,156.2099971,254.3664854,176.9035244,203.8926184,132.5906828,104.6109096,127.9457892,168.8124141,182.5478302,197.8814958,222.1982599,209.705224,164.031731,129.0482708,127.7747742,106.5203723,96.54612221,89.09754725,84.63595821,85.88086174,85.15001254,87.4192607,83.38986501,80.27606404,82.6117066,75.78969261,79.40253675,76.48750469,75.04474679,77.60452752,67.143221
1963,Riego Tucapel,*,*,*,4,EtaSem,DatCau,63.5414906,80.45749075,69.12094646,56.20007219,56.28238886,54.95195182,80.08348666,76.28217266,86.53209084,107.189842,62.06626582,170.1318013,150.2529567,338.540758,177.3094445,176.6968408,145.4896405,121.1983213,208.8581056,433.0139326,355.2709283,185.128253,256.5203901,219.0404286,178.7095544,212.1457259,254.1556404,537.4690793,594.5288045,386.229904,293.1591473,318.8421442,290.8923283,371.7802345,338.3241499,342.3632873,234.8471632,183.1361203,176.1936373,133.5030792,106.0250158,90.41939738,80.66529008,78.37029678,98.67888312,90.97198441,85.75207719,73.15705527
1964,Riego Tucapel,*,*,*,5,EtaSem,DatCau,57.9045329,51.79340961,50.23717199,49.6248855,58.77805394,63.30941634,78.23024367,69.84228606,77.80235678,106.5118635,66.64186294,60.20391674,78.07353375,122.181049,101.6208101,76.76460712,77.32102026,91.16971173,104.640752,148.7085161,183.4429474,149.2526311,162.0048184,201.419603,178.4784983,261.1820621,265.9685974,230.8908422,259.6527406,234.0235287,193.8848079,212.9189229,187.4468727,175.1407946,191.5429182,214.8294145,142.9264526,110.1112238,96.64789117,73.91443251,103.2397773,55.20637963,49.48998833,51.66385476,64.89878788,61.24301016,56.12878087,48.00942108
1965,Riego Tucapel,*,*,*,6,EtaSem,DatCau,43.16764311,219.1765985,150.5356678,96.24009067,66.96797708,79.16837047,117.9602058,571.0234466,307.4066334,255.9372282,391.5867081,511.7094303,247.5490939,162.6617091,302.9553208,475.5138763,273.1134165,624.8445192,286.7426241,176.4194401,153.6576615,141.8703636,167.3670499,211.624925,208.0314468,325.6798424,310.9297429,264.5989678,322.5375853,352.7312731,402.6714106,391.3797309,433.4229976,476.3198591,297.7826582,236.9144851,186.2212053,148.2438137,107.7773344,96.2776466,94.53038812,82.85722614,78.99727211,77.29511363,68.25112778,68.70499013,66.18662023,62.61726186
1966,Riego Tucapel,*,*,*,7,EtaSem,DatCau,65.88988111,75.80904654,90.20906387,73.73200849,61.59971926,49.35938997,95.5994701,241.7614207,102.3446455,179.5964681,244.5542726,217.9046137,219.4641375,681.4040811,307.9227023,200.2890792,187.7561222,157.510963,150.0106613,232.8422534,203.7733093,169.5516174,166.9533374,229.8817359,226.9937264,225.7290058,228.9697033,274.3475644,299.6898847,286.3614164,295.1327432,302.6159557,317.3400912,621.4753508,374.9861466,318.9184114,251.1079083,203.0971226,227.644282,196.1906872,155.7220197,146.3268687,116.1406524,105.4504592,105.4197397,87.56445075,87.78286928,79.63294022
1967,Riego Tucapel,*,*,*,8,EtaSem,DatCau,77.56760768,77.67102329,74.57373583,68.0676332,55.49591592,64.4409039,131.7409824,283.0821977,147.2365911,109.3484203,107.3137,99.02128858,98.85991871,95.32431522,114.941374,150.394392,126.4727046,303.7955965,251.8238038,168.0678952,161.038035,222.0084753,223.7593983,208.5140913,344.3110655,383.475175,291.4980923,297.7156672,326.6321971,306.7627787,285.6349575,251.6500666,203.0713064,219.6489158,146.3617726,130.7180053,105.9738974,86.67678165,73.70795929,70.80136165,72.54080779,84.49478572,69.91336868,65.7310378,65.93707688,68.91924483,58.94394184,57.43973646
1968,Riego Tucapel,*,*,*,9,EtaSem,DatCau,56.50964881,55.37228302,61.53150948,65.0265587,62.31414735,72.87028571,62.82552782,60.15003912,58.73353431,66.73492019,62.88765534,59.48389016,66.88421034,68.99487806,69.72882015,83.75209145,69.25201286,69.98947488,192.4309288,108.0875835,85.24833291,84.65526946,99.71139123,138.4250064,142.9942884,108.4494775,89.61036346,103.5058707,135.3599253,137.1910017,145.2269901,120.2620829,93.23825829,117.5314662,96.81511209,97.09516344,108.1437819,86.98427019,73.04537483,68.38657305,68.59202583,67.84249488,61.14142976,57.74404953,55.50734164,57.03550034,55.76583806,55.93131997
1969,Riego Tucapel,*,*,*,10,EtaSem,DatCau,50.84048082,49.43549031,77.63571141,135.2083175,158.886717,178.7372102,249.3189837,216.337089,435.5893354,825.6677648,246.1665121,323.4163878,178.0127521,133.9299262,269.6577857,310.399536,272.251001,358.0941687,311.7120012,188.8628291,263.133965,221.0768663,218.479884,228.3492848,182.762,173.7306827,165.3300122,187.0973051,201.1249767,225.8368932,248.606298,243.5518322,221.0137887,213.225302,162.735709,124.5052003,137.9880353,116.6404612,95.73340753,76.83809597,66.88983695,59.89878852,58.76393766,52.92743687,52.44612971,56.50473078,51.22011287,46.78902664
