AflNum,AflNom,AflAnoIni,AflAnoFin,AflIBlo,AflHid,AflEtaTip,AflDatTip,Sem01,Sem02,Sem03,Sem04,Sem05,Sem06,Sem07,Sem08,Sem09,Sem10,Sem11,Sem12,Sem13,Sem14,Sem15,Sem16,Sem17,Sem18,Sem19,Sem20,Sem21,Sem22,Sem23,Sem24,Sem25,Sem26,Sem27,Sem28,Sem29,Sem30,Sem31,Sem32,Sem33,Sem34,Sem35,Sem36,Sem37,Sem38,Sem39,Sem40,Sem41,Sem42,Sem43,Sem44,Sem45,Sem46,Sem47,Sem48
1960,Laguna Invernada,*,*,*,1,EtaSem,DatCau,38.48558299,22.92123124,19.54841155,18.64477421,22.72116469,22.32583307,24.92523113,20.82777111,18.52868241,19.27064064,46.05929698,23.74137996,21.16673911,21.35577132,24.33931595,22.73817363,22.61483279,25.14162975,21.79559805,20.84793942,18.72772912,17.59779588,22.56477105,25.10970395,31.92452229,19.26607658,29.77786791,49.43153322,60.24648806,54.97746843,56.54605814,59.02998537,59.60580239,46.37722434,34.51951033,33.09746293,31.20158239,27.60473984,26.4262461,25.96743168,25.19521946,23.52568768,21.59484826,18.0842446,13.34899502,40.33597811,19.07519488,18.83983199
1961,Laguna Invernada,*,*,*,2,EtaSem,DatCau,21.73399277,19.28129069,18.08923839,17.69547815,19.27978453,19.19705965,18.05090244,23.07225337,27.03399946,20.52444674,16.2398859,16.6016679,18.3324214,17.52905402,21.88680025,25.85172433,23.50628905,22.46867602,16.9613841,23.86365082,19.36576355,14.43195813,15.52493842,50.6773399,36.58169793,40.2448584,34.42342252,61.95002115,70.03061441,53.25887309,75.09430163,95.21621087,112.9263628,113.0091795,84.13217841,88.7322793,79.94232777,71.718477,67.51923478,56.81996044,46.31264627,37.57569158,34.31033904,32.20132311,32.47785568,32.03312366,30.86698206,29.0220386
1962,Laguna Invernada,*,*,*,3,EtaSem,DatCau,24.12104029,24.05070149,23.8473483,22.78090992,29.24732317,20.76047723,19.80525345,22.18694616,20.94648074,18.02053921,19.49594374,24.73703632,22.397093,20.76924474,20.39703227,21.23662999,24.03496598,19.6399028,20.04766568,18.67746554,23.33669343,17.97035648,19.21553785,25.07741224,18.65373781,18.68004695,32.66598453,48.40023071,59.69534338,52.77668097,39.90685898,50.02111667,43.76280263,40.00952129,32.08660335,28.14107274,25.29735858,25.62658238,24.4099528,19.06610624,19.08975575,21.07835161,18.53735085,18.49454179,15.06005886,17.38059868,23.34389349,16.61544897
1963,Laguna Invernada,*,*,*,4,EtaSem,DatCau,17.32904519,20.78033266,18.97492985,17.7156923,18.36307841,17.75010479,19.51628409,20.77053271,18.24749882,15.40545818,13.51528408,15.63175891,22.13653451,22.1414102,14.99523562,13.12681968,9.15346651,8.649693171,19.34299517,35.65384515,34.38657317,11.95852409,22.61840942,15.43649332,14.28886174,13.92674475,17.3400591,47.24433441,58.92368425,43.74922625,36.97793456,52.34915494,49.01079554,83.92857602,97.31554361,132.5450848,117.2762227,91.56534682,94.30147799,80.05695248,63.09890082,56.41246796,50.22534385,48.66328736,42.54668431,35.78122699,34.60665019,32.2654385
1964,Laguna Invernada,*,*,*,5,EtaSem,DatCau,28.328115,27.79758847,26.97916726,25.29512927,24.80433188,23.26492864,22.16551918,20.9652203,21.43581331,23.94078364,19.81364198,19.20976108,21.52067999,22.2260314,20.4739126,20.17937601,21.57746746,22.53362259,20.13304029,18.55586966,17.60481112,21.75395619,22.7750963,32.26613639,29.85043116,36.89918469,33.36225449,27.88812965,43.98837144,44.02290524,43.16210425,40.82661907,36.24018473,31.71256136,33.78101544,48.66623846,37.08820833,33.63497364,28.93712091,22.73969711,23.81869484,22.95402051,22.91150618,25.11577848,29.86709987,19.3746316,16.82650346,13.13176507
1965,Laguna Invernada,*,*,*,6,EtaSem,DatCau,9.759934884,36.02763068,30.82014247,26.19229196,21.04281067,19.06957809,21.85562595,40.43198528,37.21562452,25.84378066,29.2606796,37.67991522,26.99846357,22.98673349,27.48274608,38.13205686,29.37138791,43.96903921,29.89487264,22.36470025,21.63443495,21.92569552,29.69384463,34.3460249,33.58354686,30.82075143,34.80579969,39.98990202,54.45992893,80.50791613,116.4392519,67.79290308,81.14560991,79.53461999,64.9772497,119.5425204,109.7666786,92.72723593,75.36345356,72.54263195,63.19363688,52.28147629,54.16548547,49.15940136,47.76119348,45.54033772,39.56312617,33.93534264
1966,Laguna Invernada,*,*,*,7,EtaSem,DatCau,28.63935325,25.93199289,36.64860678,27.58004709,26.87460079,22.23667591,21.64137008,48.44735321,28.96259084,38.20966753,29.53027532,24.89746631,27.53078647,41.90849962,27.04545512,23.91525879,24.52087764,26.35909941,24.36429029,27.95573266,19.68908477,23.63577626,27.8323141,34.04282487,25.11428684,32.05178817,41.0037637,38.23016129,49.11045025,49.33459346,79.67990267,98.27505362,64.37773926,45.08934588,64.44201537,114.4908995,103.2339591,85.36168251,65.9705367,69.43382168,67.35125722,60.05407626,52.19418382,46.0004827,42.55588177,39.37886068,36.02391372,33.24134383
1967,Laguna Invernada,*,*,*,8,EtaSem,DatCau,32.43893456,29.89189669,29.0356756,27.83349315,17.76594414,26.01902382,31.38092896,30.43410308,25.9122833,25.3686684,24.52294402,22.99610428,23.25155041,20.01142255,19.45302008,19.28400696,24.74782756,28.75193747,19.37072743,17.12950753,16.92984244,19.54841864,20.09285943,31.42887949,29.75016141,26.14779624,26.0100817,43.29196066,46.53018436,39.43228999,53.92529624,56.11222942,56.60157678,57.93686114,43.69838,38.56318208,33.62610492,31.15649713,29.53323639,26.88416156,24.710002,24.51282012,25.331917,23.84526088,22.33159376,25.14370677,22.89219332,19.63250615
1968,Laguna Invernada,*,*,*,9,EtaSem,DatCau,18.74427102,17.5484804,24.30516084,25.40208774,17.20808579,15.57500863,18.09517234,19.52173324,20.39198895,17.9924744,16.08242906,15.93310758,15.84437367,15.25922072,15.4124612,15.4839444,14.18022943,15.69110035,17.37917693,15.5494933,15.23471602,14.32917857,15.84229774,17.39380767,17.4790615,16.79598988,14.34189619,14.18305243,16.98441622,21.42737923,23.60345348,19.18475107,13.14981152,18.78836183,15.71742353,17.54440312,15.02998159,13.66585075,13.97297874,13.73118891,13.19514677,12.82459425,12.54630713,12.23395186,12.13441713,11.88631139,11.60733368,12.37193779
1969,Laguna Invernada,*,*,*,10,EtaSem,DatCau,9.872633107,10.24233973,12.26148719,17.62353997,14.57692803,16.70424235,15.47777675,9.641052874,16.13242684,33.97778489,17.61821577,15.07157251,14.84705282,14.68862343,24.13135824,21.13296552,17.23126605,20.39472329,22.75711655,18.41689411,17.09192797,22.49775566,23.93322497,26.4770914,20.67118148,21.27898866,27.58960106,32.06022881,38.23886405,47.16469658,66.1200287,53.27641067,71.95020562,75.51669047,64.70721198,53.82589193,51.3685919,41.51296117,37.85259991,34.46584703,33.19307543,31.28628589,33.14967351,28.77096518,25.91801488,26.67008499,23.54609847,22.66580166
