AflNum,AflNom,AflAnoIni,AflAnoFin,AflIBlo,AflHid,AflEtaTip,AflDatTip,Sem01,Sem02,Sem03,Sem04,Sem05,Sem06,Sem07,Sem08,Sem09,Sem10,Sem11,Sem12,Sem13,Sem14,Sem15,Sem16,Sem17,Sem18,Sem19,Sem20,Sem21,Sem22,Sem23,Sem24,Sem25,Sem26,Sem27,Sem28,Sem29,Sem30,Sem31,Sem32,Sem33,Sem34,Sem35,Sem36,Sem37,Sem38,Sem39,Sem40,Sem41,Sem42,Sem43,Sem44,Sem45,Sem46,Sem47,Sem48
1960,Lago Rapel,*,*,*,1,EtaSem,DatCau,66.278,62.496,60.636,58.59,55.512,58.104,84.168,90.216,95.41585396,112.140035,125.3433358,371.1007752,239.58,179.982,207.108,165.33,129.024,172.944,150.624,123.408,117.5173793,120.9902476,113.9324831,95.55988997,56.58,61.56,65.94,55.92,44.88,58.74,58.08,78.3,109.9294824,115.4688672,52.42910728,34.17254314,33.15,33.57,22.89,30.39,23.331,22.386,20.412,17.871,27.37115721,42.73331667,155.9610097,85.93451637
1961,Lago Rapel,*,*,*,2,EtaSem,DatCau,44,44,44,44,43,43,43,43,284,360.25,151.5,204.25,151.2,199.35,339.3,210.15,165.0112528,142.9157289,137.0392598,495.0337584,621.53,507.78,350.805,339.885,233.308,196.836,161.68,160.176,256.9292323,186.5966492,200.1300325,176.344086,194.145,252.84,205.755,207.26,164.64,116.256,91.728,75.376,88.55,73.36,64.89,53.2,48.7948013,48.43789053,52.61884529,54.14846288
1962,Lago Rapel,*,*,*,3,EtaSem,DatCau,56.65,52.855,52.855,57.64,71.89,68.39,64.75,74.97,97.41564609,102.6643339,106.4433892,533.4766308,180.96,158.184,158.028,126.828,126.392,179.376,164.576,121.656,99.66991748,66.3815954,47.78694674,46.16154039,75.48,86.836,55.896,53.788,91.18220445,79.88002999,79.88002999,89.05773557,78.386,81.62,80.157,67.837,45.747,16.606,15.203,14.444,11.928,15.778,12.348,15.946,30.08,38.36,51.48,40.08
1963,Lago Rapel,*,*,*,4,EtaSem,DatCau,38.221,38.628,38.628,32.523,33.855,37.454,83.143,89.548,78.4,87.696,80.528,201.376,190.92,972.23,295.41,261.44,300.39,245.31,843.54,650.76,816.3,383.85,267.3,332.55,185.0642661,148.5571393,119.31983,179.0587647,343.3341665,195.9710072,170.6773307,170.0174956,250.8,330.99,332.64,405.57,360.5498625,329.1977006,297.2056986,293.0467383,193.875,128.75,108.125,69.25,67.51812047,61.34466383,65.6335916,65.50362409
1964,Lago Rapel,*,*,*,5,EtaSem,DatCau,69.07073232,66.21544614,67.09922519,69.61459635,83.25781445,76.63415854,73.86146537,74.24656164,107.9189797,131.3608402,91.93098275,100.7891973,181.744,170.496,128.316,111.444,101.824,103.028,271.072,212.076,200.011997,139.9950012,115.7470632,80.24593852,53.82654336,40.22994251,33.75156211,32.19195201,24.0779805,25.37365659,25.85953512,32.68882779,68.38290427,72.12596851,68.45488628,79.03624094,42.471,32.538,29.106,27.885,25.91852037,25.41864534,24.69382654,23.96900775,18.873,22.383,26.136,40.608
1965,Lago Rapel,*,*,*,6,EtaSem,DatCau,70.992,309.024,178.524,137.46,117.068,124.468,192.696,157.768,161.88,154.736,132.392,158.992,301.872,251.56,489.88,1604.688,394.9,2641.1,951.5,412.5,240.192,211.248,211.248,201.312,170.556,183.915,195.444,182.085,216.855,202.635,291.273,237.237,236.918,330.572,207.152,193.358,249.4943736,249.4943736,213.2333083,199.7779445,159.479,99.687,84.335,60.499,71.04223944,75.2211947,77.95651087,79.78005499
1966,Lago Rapel,*,*,*,7,EtaSem,DatCau,101.422,105.975,162.966,257.637,145.9555111,131.4391402,114.9432642,135.6620845,181.6405899,920.0859785,1458.217446,836.055986,362.512,842.34,625.5,393.648,287.92,230.824,207.156,250.1,262.7363159,196.4968758,180.5428643,168.223944,162.352,140.16,138.846,142.642,152.564,153.08,167.356,215,203.4031492,160.3379155,163.3631592,184.8957761,202.9457364,164.1860465,136.744186,116.124031,145.1627093,110.7173207,91.89002749,80.22994251,95.312,90.804,92.276,89.608
1967,Lago Rapel,*,*,*,8,EtaSem,DatCau,84.47311828,86.96774194,85.93548387,86.62365591,88.74418605,93.93948487,115.0387597,126.2775694,114.26,113.216,117.624,118.9,204.267,195.534,235.578,216.621,133.9894974,127.0337584,118.8577144,108.1190298,107.95999,131.1707927,139.6219055,97.24731183,95.694,93.644,74.21,64.452,74.04051013,81.6084021,82.15453863,74.19654914,91.504,129.808,122.08,104.608,92.98875281,74.4323919,57.94551362,50.63334166,56.64516129,38.58064516,37.93548387,38.83870968,33.09,25.83,33.96,27.12
1968,Lago Rapel,*,*,*,9,EtaSem,DatCau,42.24756189,49.54538635,63.28582146,72.92123031,72.51087228,64.15596101,56.53286678,50.80029993,49.94851287,46.23644089,42.3364159,49.47863034,40.342,42.09,59.018,42.55,38.3775944,40.57814454,56.46611653,40.57814454,29.899,30.45,28.826,26.825,27.44313922,16.51087228,7.903024244,8.142964259,3.579,3.255,2.685,2.481,1.227,1,0.864,0.909,2.109472632,2.529367658,3.314171457,12.04698825,15.488,7.2,3.856,5.456,5.150712322,6.536365909,7.404148963,8.908772807
1969,Lago Rapel,*,*,*,10,EtaSem,DatCau,11.32583146,11.24781195,10.62365591,18.80270068,78.84,91.98,94.5,94.68,182.614,477.888,176.326,211.172,158.9,144.55,202.825,193.725,284.548,232.589,209.397,165.466,88.332,81.464,66.504,35.7,9.020744814,3.499125219,5.990502374,9.489627593,17.91552112,26.07348163,45.58860285,70.4223944,144.5,203.83,191.08,140.59,141.2769192,78.93543386,56.09972493,28.08792198,21.273,11.676,25.095,25.956,29.66778305,17.86593352,31.13621595,30.13006748
