AflNum,AflNom,AflAnoIni,AflAnoFin,AflIBlo,AflHid,AflEtaTip,AflDatTip,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ENE,FEB,MAR
1960,Juncal-Juncalito,*,*,*,1,EtaMes,DatCau,4.623878214,2.710205856,3.669564436,2.961872712,3.291901042,3.887130182,6.896978409,12.99718985,16.98907275,13.86957492,11.52704952,10.45848208
1961,Juncal-Juncalito,*,*,*,2,EtaMes,DatCau,5.407449315,3.63820863,4.202470414,3.626884027,3.523213492,3.924016235,8.170109293,14.54256826,17.53895131,14.27913305,13.52492911,9.344710529
1962,Juncal-Juncalito,*,*,*,3,EtaMes,DatCau,5.823669873,4.312639102,3.887846298,3.815789454,3.487692855,3.466112116,5.878242721,12.71975436,12.51453702,10.97487176,9.612267531,6.865343122
1963,Juncal-Juncalito,*,*,*,4,EtaMes,DatCau,4.729976367,3.451580389,3.357603979,2.810070706,2.758513987,3.176970045,5.050105477,10.04970115,24.13242065,26.67682361,18.44785044,9.528708126
1964,Juncal-Juncalito,*,*,*,5,EtaMes,DatCau,5.609655623,4.176948598,3.3003342,2.568308475,2.221237224,2.919497138,3.796486932,5.164837532,6.701068631,9.307224337,8.339215963,7.119519265
1965,Juncal-Juncalito,*,*,*,6,EtaMes,DatCau,4.660045286,2.431300383,2.814630581,2.674910151,3.136753556,3.42044431,6.773428569,15.28551617,16.3316902,22.53884944,14.50116768,8.997499922
1966,Juncal-Juncalito,*,*,*,7,EtaMes,DatCau,5.026174248,3.379007767,3.002711432,2.842946481,2.742926644,3.440125714,5.804802583,10.83519541,13.68738468,13.80747131,11.3180687,7.127670337
1967,Juncal-Juncalito,*,*,*,8,EtaMes,DatCau,4.679458322,1.928415031,1.610786135,1.473118025,1.812134954,2.078408137,3.83266593,5.587581623,10.81849704,10.17419488,8.721580646,5.17847155
1968,Juncal-Juncalito,*,*,*,9,EtaMes,DatCau,3.411428626,1.523016961,1.540905929,1.310587628,1.41029651,2.009668708,2.480271893,4.246772234,6.111350044,8.635793599,7.415791097,4.982922518
1969,Juncal-Juncalito,*,*,*,10,EtaMes,DatCau,3.015955435,1.78267471,2.227257102,1.836430201,2.019506062,2.414945085,2.941758462,6.736336506,15.16753392,12.20951376,11.16978561,7.400650551
1970,Juncal-Juncalito,*,*,*,11,EtaMes,DatCau,4.548610356,2.984526289,2.496960365,2.139026369,2.801328694,2.804984345,4.225412366,7.754684972,10.24631664,7.228884403,7.170151114,4.973224053
1971,Juncal-Juncalito,*,*,*,12,EtaMes,DatCau,3.044532299,2.268274399,1.984327461,2.253765824,2.590024224,3.310521049,6.1634348,11.83298274,10.98975068,11.41158163,9.225488637,5.311292263
1972,Juncal-Juncalito,*,*,*,13,EtaMes,DatCau,3.775601612,3.102876561,3.133265401,2.923308021,3.051252092,3.64416735,4.914606114,8.752038952,21.39449977,26.3064978,22.33361529,15.44554565
1973,Juncal-Juncalito,*,*,*,14,EtaMes,DatCau,8.507279793,4.911557199,4.071885235,3.191908998,2.511047082,3.004888642,4.577778847,10.71989597,13.6135537,13.88428483,11.74741901,8.697667664
1974,Juncal-Juncalito,*,*,*,15,EtaMes,DatCau,5.952950266,3.824076568,2.775416193,2.109697981,1.985941893,1.760625051,7.093010567,13.23748032,14.76862178,17.85796626,13.49146435,8.666817976
1975,Juncal-Juncalito,*,*,*,16,EtaMes,DatCau,4.510571765,3.167243089,2.443916645,2.405610994,2.4024837,3.009299219,4.240995056,5.941001104,11.34487341,11.61806126,9.084523777,6.307466543
1976,Juncal-Juncalito,*,*,*,17,EtaMes,DatCau,4.348999128,2.881947045,2.966238734,2.486973116,2.526779751,3.016093462,3.320439426,8.754462614,11.88601181,14.16263403,10.8504468,7.73076934
1977,Juncal-Juncalito,*,*,*,18,EtaMes,DatCau,4.505610974,3.260813134,3.036619617,3.738912757,4.012318707,4.777350059,11.51169422,14.25352917,19.55129853,17.0556114,13.4416048,9.171221239
1978,Juncal-Juncalito,*,*,*,19,EtaMes,DatCau,6.636691794,4.516617821,3.520753057,4.442881018,4.292940715,4.212926614,6.802886462,12.29699151,22.17431452,28.97047201,18.19519477,10.75009863
1979,Juncal-Juncalito,*,*,*,20,EtaMes,DatCau,5.69255609,4.038869874,3.195347435,2.838602994,2.83664107,2.72666048,4.972047807,7.43496039,13.35693721,18.74858432,11.36955627,9.592293582
1980,Juncal-Juncalito,*,*,*,21,EtaMes,DatCau,6.451613886,5.267760616,4.005703148,3.606766191,3.791904947,5.052944162,5.993005257,10.55162755,22.44977314,19.19832307,16.42059307,9.072468042
1981,Juncal-Juncalito,*,*,*,22,EtaMes,DatCau,5.014555582,4.088102371,3.120656285,2.746961104,3.389307216,3.849805678,5.247610894,8.542682741,9.518917721,10.81819325,8.613682287,6.398858058
1982,Juncal-Juncalito,*,*,*,23,EtaMes,DatCau,4.333129446,3.633282309,2.396787017,4.402685748,3.525901145,4.458772475,6.408657056,13.38261991,28.50976817,33.27505874,27.710625,13.5004145
1983,Juncal-Juncalito,*,*,*,24,EtaMes,DatCau,8.513340504,5.632873269,4.839955116,4.517949463,4.70554466,4.412221931,5.994988025,12.68673758,20.52517597,20.19831042,13.28716814,7.518066359
1984,Juncal-Juncalito,*,*,*,25,EtaMes,DatCau,4.996677171,3.212046757,2.686777543,3.646852871,3.154885065,3.706604713,9.184128122,13.00159024,18.60940559,17.82673519,14.98781966,12.85674414
1985,Juncal-Juncalito,*,*,*,26,EtaMes,DatCau,7.12820776,4.783887285,4.384211827,3.71009665,3.361375625,3.073421983,4.45489993,10.68891974,15.56133392,13.58096961,10.91423613,8.00637785
1986,Juncal-Juncalito,*,*,*,27,EtaMes,DatCau,4.457288446,3.640194731,8.644010695,5.680768314,4.921899917,4.763756674,7.188646929,11.131202,20.33904147,25.45024999,18.0215341,13.51708037
1987,Juncal-Juncalito,*,*,*,28,EtaMes,DatCau,6.362695175,3.845530052,3.909416145,5.542961386,4.772810887,4.202323511,6.258637857,16.8946703,27.86041397,26.00663529,21.40232792,14.49995581
1988,Juncal-Juncalito,*,*,*,29,EtaMes,DatCau,8.508629111,4.898193,3.437171466,2.476783235,2.599584984,2.592588108,5.039664428,9.373937195,11.11974127,9.796799263,9.267963697,6.426625553
1989,Juncal-Juncalito,*,*,*,30,EtaMes,DatCau,4.303884541,2.790122966,2.06487688,1.990732249,2.57729676,3.541338057,6.72947903,14.56613445,14.36370418,12.10944317,8.780583927,5.896644658
1990,Juncal-Juncalito,*,*,*,31,EtaMes,DatCau,3.686626297,2.474213103,2.320205033,2.27881596,2.314614643,2.372962239,4.446277595,8.968010452,9.001390675,7.440141829,6.495863353,5.801859092
1991,Juncal-Juncalito,*,*,*,32,EtaMes,DatCau,3.437889389,3.152078825,3.398269441,3.783880629,2.969625708,4.013822212,6.116823285,11.17776801,15.7850174,17.20252486,14.26688973,11.01212216
1992,Juncal-Juncalito,*,*,*,33,EtaMes,DatCau,6.137253807,4.586832318,3.826834736,3.470759318,3.334737457,3.970489623,7.099160515,12.02137449,14.73996257,14.89242069,12.34898265,9.989159323
1993,Juncal-Juncalito,*,*,*,34,EtaMes,DatCau,6.354151279,9.185505465,4.454810423,4.143257288,4.182108522,3.341596755,4.879897742,8.479449479,11.72745666,13.40594009,8.900687562,7.033478051
1994,Juncal-Juncalito,*,*,*,35,EtaMes,DatCau,3.741950442,3.456336379,2.856661881,2.799108723,2.876453117,3.778021626,5.178652584,11.02860965,14.27650412,11.56993517,8.758853268,6.393839331
1995,Juncal-Juncalito,*,*,*,36,EtaMes,DatCau,4.280279231,3.354785025,2.787435538,2.410428473,2.333858635,3.571960029,4.62029793,10.12462665,10.27327678,7.778274358,7.781068449,6.641279247
1996,Juncal-Juncalito,*,*,*,37,EtaMes,DatCau,3.496692246,2.680615069,1.900978808,1.77532801,1.814692434,1.980466509,2.702520442,4.100672312,5.108950121,7.046546581,5.71673674,4.526490303
1997,Juncal-Juncalito,*,*,*,38,EtaMes,DatCau,3.177587316,2.17395564,3.827849743,2.338240409,3.483656595,5.283517928,6.319015302,11.53330121,17.40506506,23.88712718,15.95816414,8.938376248
1998,Juncal-Juncalito,*,*,*,39,EtaMes,DatCau,7.053009784,4.308557446,3.241197648,2.562563168,2.150633257,2.12005181,4.860555939,7.080115258,9.261711811,8.898623329,8.931887009,5.61823823
1999,Juncal-Juncalito,*,*,*,40,EtaMes,DatCau,3.197418587,2.748458854,2.19965185,2.102595354,2.414647084,3.700447112,7.108146314,10.99787468,11.99724782,11.19372019,7.592698783,5.476033481
2000,Juncal-Juncalito,*,*,*,41,EtaMes,DatCau,3.857020145,2.414722341,2.479673229,2.981228852,2.970216316,3.464377153,9.13039054,11.73741252,21.51102535,17.64741801,16.15410501,9.801351597
2001,Juncal-Juncalito,*,*,*,42,EtaMes,DatCau,5.452097421,3.225215273,2.537323395,2.532659622,3.072570969,3.53203803,8.31530895,11.83318989,21.7893583,14.85745417,11.27863109,7.360900223
2002,Juncal-Juncalito,*,*,*,43,EtaMes,DatCau,4.124328111,3.364527607,3.352866274,3.252098963,4.151799482,4.0712737,7.240866121,14.05771727,20.74181903,27.33357773,19.20252038,12.13399647
2003,Juncal-Juncalito,*,*,*,44,EtaMes,DatCau,6.949044798,4.451182917,3.959037536,3.600004557,3.465089717,4.007406956,5.911001561,10.99314909,12.78702002,12.86723824,11.17623087,7.666154002
2004,Juncal-Juncalito,*,*,*,45,EtaMes,DatCau,4.517618711,2.94158445,2.516216577,2.31493058,2.546106282,3.562455649,3.692715517,5.910808722,8.759358499,10.23829853,9.497654389,6.131342375
2005,Juncal-Juncalito,*,*,*,46,EtaMes,DatCau,3.279215058,2.63011956,3.441606514,3.080696622,3.841038753,4.151877609,7.146400642,12.08567523,22.91118606,25.07080733,17.99572175,12.01078763
2006,Juncal-Juncalito,*,*,*,47,EtaMes,DatCau,6.429357724,4.375803586,3.469598804,4.503672834,4.061818256,4.699769875,7.692738991,15.88267887,20.77229699,18.18526081,12.65703385,9.260883534
2007,Juncal-Juncalito,*,*,*,48,EtaMes,DatCau,5.248624444,3.661402399,3.05259713,1.872293901,2.615248214,3.388317169,5.746327112,9.067085799,10.0291028,10.4567744,8.777577053,5.892299476
2008,Juncal-Juncalito,*,*,*,49,EtaMes,DatCau,5.033136103,5.638306714,4.56201632,3.467224771,4.056903495,4.716685036,8.125179899,18.204738,20.13463406,14.62641523,11.52760606,8.41082957
2009,Juncal-Juncalito,*,*,*,50,EtaMes,DatCau,7.178209185,4.399458127,3.264086052,2.941535475,2.786048577,3.492392569,4.989371744,8.115772394,13.89818306,13.88096164,10.58147993,8.341171935
2010,Juncal-Juncalito,*,*,*,51,EtaMes,DatCau,6.108633499,4.335567755,3.354216962,2.940436383,2.811875698,2.895164346,3.844608267,5.60163399,7.550290927,7.648542913,7.348776558,5.771143227
2011,Juncal-Juncalito,*,*,*,52,EtaMes,DatCau,3.490172303,2.546744128,2.0968073,1.986059323,2.027834434,2.693117859,4.24491983,7.578610444,9.825341402,9.194578996,8.191312963,6.549730145
2012,Juncal-Juncalito,*,*,*,53,EtaMes,DatCau,3.838796495,3.328719707,2.963869888,2.88085668,2.549131055,3.436441035,4.072161726,8.49743555,9.756163131,10.48500039,8.238616627,5.113855101
2013,Juncal-Juncalito,*,*,*,54,EtaMes,DatCau,3.727657804,5.05460399,2.969834187,2.485919841,3.090285032,2.812383068,4.483287473,9.455087484,11.51415446,9.835669919,6.883942574,4.44627155
2014,Juncal-Juncalito,*,*,*,55,EtaMes,DatCau,3.7433187,2.728505096,2.394395142,2.242900889,2.381157615,2.490845799,5.500234762,7.639237818,6.761996817,5.601590574,5.881265622,5.145163672
2015,Juncal-Juncalito,*,*,*,56,EtaMes,DatCau,3.536215489,2.458047953,1.401603847,1.89510772,1.88941348,2.636254317,3.828171232,6.172130293,14.75741373,14.42809688,12.00256992,8.807913122
5000,Juncal-Juncalito,*,*,*,57,EtaMes,DatCau,5.642407827,3.446845957,2.592958119,2.050050534,1.621103726,1.696041448,3.888444751,5.664092206,7.409369449,7.118898663,7.145509607,4.494590584
6000,Juncal-Juncalito,*,*,*,58,EtaMes,DatCau,5.007320469,4.198584211,2.769702783,5.087699027,3.977448991,5.152512279,7.405779138,15.46481993,32.94559914,38.45232062,32.02211738,15.60094215
7000,Juncal-Juncalito,*,*,*,59,EtaMes,DatCau,3.070285763,1.370715265,1.386815336,1.179528865,1.240271998,1.808701837,2.232244703,3.822095011,5.50021504,7.772214239,6.674211987,4.484630266
1960,Blanco,*,*,*,1,EtaMes,DatCau,3.33085688,2.12399614,1.740044952,2.202652905,2.490924122,2.820324679,5.395315957,17.84374942,17.66836696,12.37344616,9.087975,6.818911583
1961,Blanco,*,*,*,2,EtaMes,DatCau,3.495570842,2.70625794,2.657424044,2.05132205,3.033126456,3.275568971,7.872697413,15.93806527,17.30655464,16.05369418,11.7648587,7.313831901
1962,Blanco,*,*,*,3,EtaMes,DatCau,3.206947061,1.600900327,1.364554513,2.5809434,2.684437854,2.764888193,5.671866414,14.62683105,19.02539729,12.74202425,9.704493536,6.295386565
1963,Blanco,*,*,*,4,EtaMes,DatCau,3.250192299,1.878521921,1.523127313,2.541729435,2.291289466,3.908261339,5.64706624,6.601792827,27.11587037,28.92916566,16.16254138,10.29764511
1964,Blanco,*,*,*,5,EtaMes,DatCau,4.957300843,2.76869829,2.303032647,2.241120344,1.866881353,2.394795251,3.098311507,5.301283953,6.507993821,9.562477645,8.990549518,7.11313408
