BarINum,BarNom,BarFOpe,BarFecOpeIni,BarFecOpeFin,BarFacPen,BarVtjOpe,BarVtjBas,BarSis,BarTip,BarSTxPNdEne,BarSTxPNdPot,BarEmp,BarAux,CenFalFBarAlt,CenFalBarAlt,BarFPri,BarPriAso,BarCliTip,BarFOpt,BarOptAso
1,Diego de Almagro 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Diego de Almagro 220,T,Diego de Almagro 220,CliCmn,T,Diego de Almagro 220
2,Diego de Almagro 220 Aux,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,T,Diego de Almagro 220 Aux,F,Diego de Almagro 220,CliCmn,T,Diego de Almagro 220 Aux
3,Diego de Almagro 110,T,*,*,1,110,110,SIC TxT Norte,STx,50,6,CNE,CNE,F,Diego de Almagro 110,F,Diego de Almagro 220,CliCmn,F,Diego de Almagro 220
4,Paposo 220,T,*,*,1,220,220,SIC TxT Norte,TxA,50,6,CNE,CNE,F,Paposo 220,F,Diego de Almagro 220,CliCmn,F,Diego de Almagro 220
5,Carrera Pinto 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Carrera Pinto 220,T,Carrera Pinto 220,CliCmn,T,Carrera Pinto 220
6,Cardones 500,T,MesAgo-2017,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Cardones 500,T,Cardones 500,CliCmn,T,Cardones 500
7,Cardones 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Cardones 220,T,Cardones 220,CliCmn,T,Cardones 220
8,Cardones 110,T,*,*,1,110,110,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Cardones 110,F,Cardones 220,CliCmn,F,Cardones 220
9,Maitencillo 500,T,MesDic-2017,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Maitencillo 500,T,Maitencillo 500,CliCmn,T,Maitencillo 500
10,Maitencillo 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Maitencillo 220,T,Maitencillo 220,CliCmn,T,Maitencillo 220
11,Punta Colorada 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Punta Colorada 220,T,Punta Colorada 220,CliCmn,T,Punta Colorada 220
12,Don Hector 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Don Hector 220,T,Don Hector 220,CliCmn,T,Don Hector 220
13,Don Hector 220 Aux,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Don Hector 220 Aux,F,Don Hector 220,CliCmn,T,Don Hector 220
14,Maitencillo 110,T,*,*,1,110,110,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Maitencillo 110,F,Maitencillo 220,CliCmn,F,Maitencillo 220
15,Huasco 110,T,*,*,1,110,110,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Huasco 110,F,Maitencillo 220,CliCmn,F,Maitencillo 220
16,Guacolda 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Guacolda 220,F,Maitencillo 220,CliCmn,F,Maitencillo 220
17,Pan de Azucar 500,T,MesDic-2017,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Pan de Azucar 500,T,Pan de Azucar 500,CliCmn,T,Pan de Azucar 500
18,Pan de Azucar 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Pan de Azucar 220,T,Pan de Azucar 220,CliCmn,T,Pan de Azucar 220
19,Pan de Azucar 110,T,*,*,1,110,110,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Pan de Azucar 110,F,Pan de Azucar 220,CliCmn,F,Pan de Azucar 220
20,Las Palmas 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Las Palmas 220,T,Las Palmas 220,CliCmn,T,Las Palmas 220
21,EI Indio 110,T,*,*,1,110,110,SIC TxT Norte,TxT,50,6,CNE,CNE,F,EI Indio 110,F,Pan de Azucar 220,CliCmn,F,Pan de Azucar 220
22,Los Vilos 500,F,MesOct-2012,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Los Vilos 500,T,Los Vilos 500,CliCmn,T,Los Vilos 500
23,Los Vilos 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Los Vilos 220,T,Los Vilos 220,CliCmn,T,Los Vilos 220
24,Nogales 220,T,MesOct-2009,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Nogales 220,T,Nogales 220,CliCmn,T,Nogales 220
25,Nogales 500,F,MesOct-2012,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Nogales 500,T,Nogales 500,CliCmn,T,Nogales 500
26,Quillota 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Quillota 220,T,Quillota 220,CliCmn,T,Quillota 220
