BarINum,BarNom,BarFOpe,BarFecOpeIni,BarFecOpeFin,BarFacPen,BarVtjOpe,BarVtjBas,BarSis,BarTip,BarSTxPNdEne,BarSTxPNdPot,BarEmp,BarAux,CenFalFBarAlt,CenFalBarAlt,BarFPri,BarPriAso,BarCliTip,BarFOpt,BarOptAso
1,Diego de Almagro 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Diego de Almagro 220,T,Diego de Almagro 220,CliCmn,T,Diego de Almagro 220
2,Diego de Almagro 220 Aux,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,T,Diego de Almagro 220 Aux,F,Diego de Almagro 220,CliCmn,T,Diego de Almagro 220 Aux
3,Carrera Pinto 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Carrera Pinto 220,T,Carrera Pinto 220,CliCmn,T,Carrera Pinto 220
4,Cardones 500,T,MesAgo-2017,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Cardones 500,T,Cardones 500,CliCmn,T,Cardones 500
5,Cardones 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Cardones 220,T,Cardones 220,CliCmn,T,Cardones 220
6,Maitencillo 500,T,MesDic-2017,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Maitencillo 500,T,Maitencillo 500,CliCmn,T,Maitencillo 500
7,Maitencillo 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Maitencillo 220,T,Maitencillo 220,CliCmn,T,Maitencillo 220
8,Punta Colorada 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Punta Colorada 220,T,Punta Colorada 220,CliCmn,T,Punta Colorada 220
9,Don Hector 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Don Hector 220,T,Don Hector 220,CliCmn,T,Don Hector 220
10,Don Hector 220 Aux,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Don Hector 220 Aux,F,Don Hector 220,CliCmn,T,Don Hector 220
11,Pan de Azucar 500,T,MesDic-2017,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Pan de Azucar 500,T,Pan de Azucar 500,CliCmn,T,Pan de Azucar 500
12,Pan de Azucar 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Pan de Azucar 220,T,Pan de Azucar 220,CliCmn,T,Pan de Azucar 220
13,Las Palmas 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Las Palmas 220,T,Las Palmas 220,CliCmn,T,Las Palmas 220
14,Los Vilos 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Los Vilos 220,T,Los Vilos 220,CliCmn,T,Los Vilos 220
15,Nogales 220,T,MesOct-2009,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Nogales 220,T,Nogales 220,CliCmn,T,Nogales 220
16,Quillota 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Quillota 220,T,Quillota 220,CliCmn,T,Quillota 220
17,San Luis 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,San Luis 220,F,Quillota 220,CliCmn,T,San Luis 220
18,Agua Santa 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Agua Santa 220,F,Quillota 220,CliCmn,T,Agua Santa 220
19,Agua Santa 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Agua Santa 110,F,Quillota 220,CliCmn,T,Agua Santa 110
20,Quillota 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Quillota 110,F,Quillota 220,CliCmn,T,Quillota 110
21,Las Vegas 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Las Vegas 110,F,Quillota 220,CliCmn,T,Las Vegas 110
22,Polpaico 500,T,MesJun-2008,*,1,500,500,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Polpaico 500,T,Polpaico 500,CliCmn,T,Polpaico 500
23,Polpaico 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Polpaico 220,T,Polpaico 220,CliCmn,T,Polpaico 220
24,Polpaico Desf 220,T,MesAgo-2010,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Polpaico Desf 220,F,Polpaico 220,CliCmn,T,Polpaico Desf 220
25,Lampa 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Lampa 220,T,Lampa 220,CliCmn,T,Lampa 220
26,Cerro Navia 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Cerro Navia 220,T,Cerro Navia 220,CliCmn,T,Cerro Navia 220
