CenManINum,CenManFOpe,CenManFecIni,CenManFecFin,CenManFTip,CenManNom,CenBar,CenPotMax,CenTurRen,CenDisEne,CenFacCol,CenConPro%,SisRegPot
1,T,SemAgo01-2017,SemAgo04-2017,F,Alfalfal,*,98.29214286,*,*,*,*,*
2,T,SemMay04-2017,SemJul04-2017,F,Alfalfal,*,101.4628571,*,*,*,*,*
3,T,SemMay04-2017,SemJul04-2017,F,Alto Renaico,*,0,*,*,*,*,*
4,T,SemMar04-2018,SemMar04-2018,F,Blanco,*,30.22857143,*,*,*,*,*
5,T,SemSep02-2017,SemSep02-2017,F,Blanco,*,30.22857143,*,*,*,*,*
6,T,SemMar02-2018,SemMar02-2018,F,Capullo,*,6.742857143,*,*,*,*,*
7,T,SemDic01-2017,SemDic01-2017,F,Capullo,*,6.742857143,*,*,*,*,*
8,T,SemAgo04-2017,SemAgo04-2017,F,Carena,*,7.5,*,*,*,*,*
10,T,SemAgo01-2017,SemAgo03-2017,F,Carena,*,0.4,*,*,*,*,*
12,T,SemNov04-2017,SemNov04-2017,F,Chacabuquito,*,23.80857143,*,*,*,*,*
13,T,SemNov03-2017,SemNov03-2017,F,Chacabuquito,*,23.80857143,*,*,*,*,*
15,T,SemNov02-2017,SemNov02-2017,F,Chacabuquito,*,23.80857143,*,*,*,*,*
17,T,SemAgo04-2017,SemAgo04-2017,F,Chacabuquito,*,10.98857143,*,*,*,*,*
19,T,SemAgo02-2017,SemAgo03-2017,F,Chacabuquito,*,21.06142857,*,*,*,*,*
20,T,SemJul03-2017,SemJul04-2017,F,Chacabuquito,*,21.06142857,*,*,*,*,*
21,T,SemJun03-2017,SemJun04-2017,F,Chacabuquito,*,21.06142857,*,*,*,*,*
22,T,SemAbr01-2018,SemMay01-2018,F,Chacayes,*,65.38285714,*,*,*,*,*
23,T,SemMar04-2018,SemMar04-2018,F,Chacayes,*,55.8,*,*,*,*,*
24,T,SemOct02-2017,SemOct02-2017,F,Chacayes,*,95.72857143,*,*,*,*,*
26,T,SemOct01-2017,SemOct01-2017,F,Chacayes,*,95.72857143,*,*,*,*,*
27,T,SemAgo01-2017,SemAgo03-2017,F,Confluencia,*,104.6571429,*,*,*,*,*
28,T,SemJun04-2017,SemJul01-2017,F,Confluencia,*,34.88571429,*,*,*,*,*
29,T,SemJun02-2017,SemJun03-2017,F,Confluencia,*,46.51428571,*,*,*,*,*
30,T,SemMar02-2018,SemMar02-2018,F,Coya,*,0,*,*,*,*,*
31,T,SemSep02-2017,SemSep02-2017,F,Coya,*,8.571428571,*,*,*,*,*
32,T,SemOct03-2017,SemOct03-2017,F,El Llano,*,0,*,*,*,*,*
33,T,SemOct01-2017,SemOct02-2017,F,El Llano,*,0.271428571,*,*,*,*,*
34,T,SemAgo01-2017,SemAgo02-2017,F,El Llano,*,0.542857143,*,*,*,*,*
35,T,SemAgo01-2017,SemAgo02-2017,F,El Paso,*,17.14285714,*,*,*,*,*
36,T,SemJul03-2017,SemJul03-2017,F,El Paso,*,0,*,*,*,*,*
37,T,SemJul01-2017,SemJul01-2017,F,El Paso,*,40.3,*,*,*,*,*
38,T,SemJun04-2017,SemJun04-2017,F,El Paso,*,39.8,*,*,*,*,*
39,T,SemJun02-2017,SemJun02-2017,F,El Paso,*,39.8,*,*,*,*,*
40,T,SemAbr01-2018,SemAbr01-2018,F,El Rincón,*,0.121999286,*,*,*,*,*
41,T,SemJun03-2017,SemJul01-2017,F,Eyzaguirre,*,0.180952381,*,*,*,*,*
42,T,SemJul01-2017,SemAgo01-2017,F,Guayacan,*,0.685714286,*,*,*,*,*
43,T,SemOct01-2017,SemOct01-2017,F,Hornitos,*,43.46428571,*,*,*,*,*
44,T,SemSep01-2017,SemSep02-2017,F,Hornitos,*,17.38571429,*,*,*,*,*
46,T,SemEne04-2018,SemEne04-2018,F,Itata,*,10,*,*,*,*,*
47,T,SemEne03-2018,SemEne03-2018,F,Itata,*,10,*,*,*,*,*
48,T,SemSep04-2017,SemSep04-2017,F,Juncal-Juncalito,*,21.83571429,*,*,*,*,*
49,T,SemJun02-2017,SemJun03-2017,F,Juncal-Juncalito,*,8.734285714,*,*,*,*,*
50,T,SemSep03-2017,SemOct01-2017,F,La Higuera,*,99.38571429,*,*,*,*,*
51,T,SemAgo03-2017,SemSep01-2017,F,La Higuera,*,99.38571429,*,*,*,*,*
52,T,SemAbr03-2018,SemAbr04-2018,F,La Mina,*,19.42857143,*,*,*,*,*
53,T,SemAbr01-2018,SemAbr02-2018,F,La Mina,*,19.42857143,*,*,*,*,*
54,T,SemNov02-2017,SemNov03-2017,F,Las Vertientes,*,0,*,*,*,*,*
55,T,SemMar03-2018,SemMar03-2018,F,Lican,*,12.85714286,*,*,*,*,*
57,T,SemMar02-2018,SemMar02-2018,F,Lican,*,7.714285714,*,*,*,*,*
58,T,SemAgo04-2017,SemAgo04-2017,F,Lircay,*,5.428571429,*,*,*,*,*
59,T,SemOct01-2017,SemDic01-2017,F,Los Molles,*,0.854761905,*,*,*,*,*
61,T,SemAgo01-2017,SemAgo02-2017,F,Los Molles,*,6.410714286,*,*,*,*,*
62,T,SemSep02-2017,SemOct01-2017,F,Los Quilos,*,28.04657143,*,*,*,*,*
63,T,SemAgo02-2017,SemSep01-2017,F,Los Quilos,*,28.04657143,*,*,*,*,*
64,T,SemJul01-2017,SemAgo01-2017,F,Los Quilos,*,28.04657143,*,*,*,*,*
65,T,SemAbr02-2018,SemMay02-2018,F,Maitenes,*,19.23142857,*,*,*,*,*
66,T,SemMar01-2018,SemAbr01-2018,F,Maitenes,*,19.23142857,*,*,*,*,*
67,T,SemSep04-2017,SemNov04-2017,F,Maitenes,*,19.23142857,*,*,*,*,*
68,T,SemJun04-2017,SemAgo04-2017,F,Maitenes,*,19.23142857,*,*,*,*,*
69,T,SemMar04-2018,SemAbr01-2018,F,Mampil,*,23.52857143,*,*,*,*,*
70,T,SemAgo04-2017,SemAgo04-2017,F,Mariposas,*,1.8,*,*,*,*,*
71,T,SemMar02-2018,SemMar03-2018,F,Peuchen,*,30.32142857,*,*,*,*,*
72,T,SemAbr02-2018,SemAbr03-2018,F,Pilmaiquen,*,30.44,*,*,*,*,*
73,T,SemMar04-2018,SemMar04-2018,F,Pilmaiquen,*,36.71428571,*,*,*,*,*
74,T,SemMar03-2018,SemMar03-2018,F,Pilmaiquen,*,36.71428571,*,*,*,*,*
75,T,SemMar01-2018,SemMar01-2018,F,Pilmaiquen,*,36.71428571,*,*,*,*,*
76,T,SemFeb01-2018,SemFeb04-2018,F,Pilmaiquen,*,29.585,*,*,*,*,*
77,T,SemAgo04-2017,SemAgo04-2017,F,Providencia,*,4.028571429,*,*,*,*,*
78,T,SemMar04-2018,SemMar04-2018,F,Pulelfu,*,5.12,*,*,*,*,*
80,T,SemMar02-2018,SemMar02-2018,F,Pulelfu,*,5.76,*,*,*,*,*
81,T,SemDic01-2017,SemDic01-2017,F,Pulelfu,*,5.12,*,*,*,*,*
82,T,SemMay01-2018,SemMay02-2018,F,Pullinque,*,36.56857143,*,*,*,*,*
83,T,SemEne01-2018,SemEne04-2018,F,Pullinque,*,35.95892857,*,*,*,*,*
84,T,SemDic01-2017,SemDic02-2017,F,Pullinque,*,36.56857143,*,*,*,*,*
85,T,SemAgo01-2017,SemAgo02-2017,F,Puntilla,*,14.15714286,*,*,*,*,*
87,T,SemAgo03-2017,SemAgo03-2017,F,Puntilla,*,18.48571429,*,*,*,*,*
89,T,SemJul02-2017,SemJul04-2017,F,Puntilla,*,15.52857143,*,*,*,*,*
90,T,SemMay04-2017,SemJul04-2017,F,Renaico Hidro,*,0,*,*,*,*,*
91,T,SemFeb04-2018,SemMar01-2018,F,Rucatayo,*,8.471428571,*,*,*,*,*
92,T,SemJul04-2017,SemAgo01-2017,F,San Andres_220,*,14.28571429,*,*,*,*,*
93,T,SemJun04-2017,SemJun04-2017,F,San Clemente,*,1.685714286,*,*,*,*,*
94,T,SemJul01-2017,SemSep01-2017,F,Sauce Andes,*,0.123214286,*,*,*,*,*
95,T,SemAgo02-2017,SemAgo02-2017,F,Sauzalito,*,0,*,*,*,*,*
96,T,SemMay04-2018,SemJun02-*,T,Alfalfal,*,88.78,*,*,*,*,*
97,T,SemAgo03-2020,SemSep01-*,T,Alfalfal 02,*,0,*,*,*,*,*
98,T,SemEne03-2017,SemEne03-*,T,Allipén,*,0,*,*,*,*,*
99,T,SemMar04-2018,SemAbr01-*,T,Alto Renaico,*,0,*,*,*,*,*
100,T,SemSep01-2017,SemSep01-*,T,Ancoa,*,0,*,*,*,*,*
101,T,SemAbr01-2017,SemAbr01-*,T,Auxiliar del Maipo,*,0,*,*,*,*,*
102,T,SemAbr01-2019,SemAbr02-*,T,Blanco,*,0,*,*,*,*,*
103,T,SemFeb01-2017,SemFeb01-*,T,Boquiamargo,*,0,*,*,*,*,*
