CenINum,CenNom,CenFOpe,CenFecOpeIni,CenFecOpeFin,CenEmiFMDL,CenEmiFDpz,CenEmiDpz [tCO2e/GWh],CenFERNC,CenUbc,CenBar,CenPMax,CenTurRen,CenDisEne,CenFacCol,CenConPro%,CenFReg,SisRegPot,CenFInv,CenVI,CenCOMA,CenVidUti,CenEmp,CenCmr,CenAux
1,CH Rio Huasco,T,*,*,F,F,0,T,SIC,Maitencillo 220,5.1,1,1,1,0,T,SIC,F,0,0,50,Plan de Obra,Plan de Obra,Pasada
2,Los Molles,T,*,*,F,F,0,F,SIC,Pan de Azucar 220,17.95,8.8,1,1,0,T,SIC,F,0,0,50,Endesa,Endesa,Pasada
3,Puclaro,T,*,*,T,F,0,T,SIC,Pan de Azucar 220,5.38,1,1,1,0,T,SIC,F,0,0,50,Plan de Obra,Plan de Obra,Pasada
4,La Paloma,T,*,*,F,F,0,T,SIC,Pan de Azucar 220,4.42,1,1,1,0,T,SIC,F,0,0,50,Plan de Obra,Plan de Obra,Pasada
5,Sauce Andes,T,*,*,F,F,0,F,SIC,Las Vegas 110,1.38,1,1,1,0,F,SIC,F,0,0,50,Generadora Sauce Andes,Generadora Sauce Andes,Pasada
6,Hornitos,T,*,*,T,F,0,F,SIC,Las Vegas 110,60.85,5,1,1,0,T,SIC,F,0,0,50,Plan de Obra,Plan de Obra,Pasada
7,Juncal-Juncalito,T,*,*,F,F,0,F,SIC,Polpaico 220,30.57,2.2,1,1,0,T,SIC,F,0,0,50,Hidroeléctrica Aconcagua S.A.,Hidroeléctrica Aconcagua S.A.,Pasada
8,Blanco,T,*,*,F,F,0,F,SIC,Polpaico 220,52.9,5.76,1,1,0,T,SIC,F,0,0,50,Hidroeléctrica Aconcagua S.A.,Hidroeléctrica Aconcagua S.A.,Pasada
9,Chacabuquito,T,*,*,T,F,0,F,SIC,Polpaico 220,25.64,1.22,1,1,0,T,SIC,F,0,0,50,Obras y Desarrollo S.A.,Obras y Desarrollo S.A.,Pasada
10,Los Quilos,T,*,*,F,F,0,F,SIC,Polpaico 220,39.8,1.9,1,1,0,T,SIC,F,0,0,50,HGV,HGV,Pasada
