CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,*,Andes_TG,CenCosVar,EtaMes,378.162,378.162,378.162,378.162,378.162,378.162,378.162,378.162,378.162,448.412,448.412,448.412
2,F,2018,2018,*,Andes_TG,CenCosVar,EtaMes,448.412,448.412,448.412,448.412,448.412,448.412,448.412,448.412,448.412,551.433,551.433,551.433
3,F,2019,2019,*,Andes_TG,CenCosVar,EtaMes,551.433,551.433,551.433,551.433,551.433,551.433,551.433,551.433,551.433,602.206,602.206,602.206
4,F,2020,2020,*,Andes_TG,CenCosVar,EtaMes,602.206,602.206,602.206,602.206,602.206,602.206,602.206,602.206,602.206,638.3,638.3,638.3
5,F,2021,2021,*,Andes_TG,CenCosVar,EtaMes,638.3,638.3,638.3,638.3,638.3,638.3,638.3,638.3,638.3,665.776,665.776,665.776
6,F,2022,2022,*,Andes_TG,CenCosVar,EtaMes,665.776,665.776,665.776,665.776,665.776,665.776,665.776,665.776,665.776,685.074,685.074,685.074
7,F,2023,2023,*,Andes_TG,CenCosVar,EtaMes,685.074,685.074,685.074,685.074,685.074,685.074,685.074,685.074,685.074,701.13,701.13,701.13
8,F,2024,2024,*,Andes_TG,CenCosVar,EtaMes,701.13,701.13,701.13,701.13,701.13,701.13,701.13,701.13,701.13,720.336,720.336,720.336
9,F,2025,2025,*,Andes_TG,CenCosVar,EtaMes,720.336,720.336,720.336,720.336,720.336,720.336,720.336,720.336,720.336,744.277,744.277,744.277
10,F,2026,2026,*,Andes_TG,CenCosVar,EtaMes,744.277,744.277,744.277,744.277,744.277,744.277,744.277,744.277,744.277,764.333,764.333,764.333
11,F,2027,2027,*,Andes_TG,CenCosVar,EtaMes,764.333,764.333,764.333,764.333,764.333,764.333,764.333,764.333,764.333,781.222,781.222,781.222
12,F,2028,2028,*,Andes_TG,CenCosVar,EtaMes,781.222,781.222,781.222,781.222,781.222,781.222,781.222,781.222,781.222,803.985,803.985,803.985
13,F,2029,2029,*,Andes_TG,CenCosVar,EtaMes,803.985,803.985,803.985,803.985,803.985,803.985,803.985,803.985,803.985,817.908,817.908,817.908
14,F,2030,2030,*,Andes_TG,CenCosVar,EtaMes,817.908,817.908,817.908,817.908,817.908,817.908,817.908,817.908,817.908,843.31,843.31,843.31
15,F,2031,*,*,Andes_TG,CenCosVar,EtaMes,843.31,843.31,843.31,843.31,843.31,843.31,843.31,843.31,843.31,843.31,843.31,843.31
16,F,2017,2017,*,Antilhue TG,CenCosVar,EtaMes,530.838,530.838,530.838,530.838,530.838,530.838,530.838,530.838,530.838,629.449,629.449,629.449
17,F,2018,2018,*,Antilhue TG,CenCosVar,EtaMes,629.449,629.449,629.449,629.449,629.449,629.449,629.449,629.449,629.449,774.064,774.064,774.064
18,F,2019,2019,*,Antilhue TG,CenCosVar,EtaMes,774.064,774.064,774.064,774.064,774.064,774.064,774.064,774.064,774.064,845.335,845.335,845.335
19,F,2020,2020,*,Antilhue TG,CenCosVar,EtaMes,845.335,845.335,845.335,845.335,845.335,845.335,845.335,845.335,845.335,896.002,896.002,896.002
20,F,2021,2021,*,Antilhue TG,CenCosVar,EtaMes,896.002,896.002,896.002,896.002,896.002,896.002,896.002,896.002,896.002,934.571,934.571,934.571
21,F,2022,2022,*,Antilhue TG,CenCosVar,EtaMes,934.571,934.571,934.571,934.571,934.571,934.571,934.571,934.571,934.571,961.659,961.659,961.659
22,F,2023,2023,*,Antilhue TG,CenCosVar,EtaMes,961.659,961.659,961.659,961.659,961.659,961.659,961.659,961.659,961.659,984.198,984.198,984.198
23,F,2024,2024,*,Antilhue TG,CenCosVar,EtaMes,984.198,984.198,984.198,984.198,984.198,984.198,984.198,984.198,984.198,1011.158,1011.158,1011.158
24,F,2025,2025,*,Antilhue TG,CenCosVar,EtaMes,1011.158,1011.158,1011.158,1011.158,1011.158,1011.158,1011.158,1011.158,1011.158,1044.765,1044.765,1044.765
25,F,2026,2026,*,Antilhue TG,CenCosVar,EtaMes,1044.765,1044.765,1044.765,1044.765,1044.765,1044.765,1044.765,1044.765,1044.765,1072.918,1072.918,1072.918
26,F,2027,2027,*,Antilhue TG,CenCosVar,EtaMes,1072.918,1072.918,1072.918,1072.918,1072.918,1072.918,1072.918,1072.918,1072.918,1096.625,1096.625,1096.625
27,F,2028,2028,*,Antilhue TG,CenCosVar,EtaMes,1096.625,1096.625,1096.625,1096.625,1096.625,1096.625,1096.625,1096.625,1096.625,1128.579,1128.579,1128.579
28,F,2029,2029,*,Antilhue TG,CenCosVar,EtaMes,1128.579,1128.579,1128.579,1128.579,1128.579,1128.579,1128.579,1128.579,1128.579,1148.123,1148.123,1148.123
29,F,2030,2030,*,Antilhue TG,CenCosVar,EtaMes,1148.123,1148.123,1148.123,1148.123,1148.123,1148.123,1148.123,1148.123,1148.123,1183.781,1183.781,1183.781
30,F,2031,*,*,Antilhue TG,CenCosVar,EtaMes,1183.781,1183.781,1183.781,1183.781,1183.781,1183.781,1183.781,1183.781,1183.781,1183.781,1183.781,1183.781
31,F,2017,2017,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
32,F,2018,2018,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
33,F,2019,2019,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
34,F,2020,2020,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
35,F,2021,2021,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
36,F,2022,2022,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
37,F,2023,2023,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
38,F,2024,2024,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
39,F,2025,2025,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
40,F,2026,2026,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
41,F,2027,2027,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
42,F,2028,2028,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
43,F,2029,2029,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
44,F,2030,2030,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
45,F,2031,*,*,Arauco 01,CenCosVar,EtaMes,40,40,40,40,40,40,40,40,40,40,40,40
46,F,2017,2017,*,Arauco 02,CenCosVar,EtaMes,70,70,70,70,70,70,70,70,70,70,70,70
