CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,abr,may,jun,jul,ago,sep,oct,nov,dic,ene,feb,mar
1,F,*,*,1,Eolica Canela 01,CenPotMax,EtaMes,0,2.9,2.93,1.8,0.9,2.67,2.97,4.85,3.5,0.85,0.1,0.07
1,F,*,*,2,Eolica Canela 01,CenPotMax,EtaMes,0,2.9,2.93,1.8,0.9,2.67,2.97,4.85,3.5,0.85,0.1,0.07
1,F,*,*,3,Eolica Canela 01,CenPotMax,EtaMes,0,0,3.63,1.43,0.82,0.24,2.46,2.52,2.28,0.45,0.07,0
1,F,*,*,4,Eolica Canela 01,CenPotMax,EtaMes,0,0,3.63,1.43,0.82,0.24,2.46,2.52,2.28,0.45,0.07,0
1,F,*,*,5,Eolica Canela 01,CenPotMax,EtaMes,0,0,2,2.2,0.1,0.43,0.1,0.2,1.7,0,0,0
1,F,*,*,6,Eolica Canela 01,CenPotMax,EtaMes,0,0,2,2.2,0.1,0.43,0.1,0.2,1.7,0,0,0
1,F,*,*,7,Eolica Canela 01,CenPotMax,EtaMes,0,0.87,2.65,2.55,0.53,0.33,0.2,1.27,1.27,0,0,0
1,F,*,*,8,Eolica Canela 01,CenPotMax,EtaMes,0,0.87,2.65,2.55,0.53,0.33,0.2,1.27,1.27,0,0,0
1,F,*,*,9,Eolica Canela 01,CenPotMax,EtaMes,0,3.82,6.67,4.67,2.63,2.6,0.3,5.66,4.02,2.07,2.93,0.08
1,F,*,*,10,Eolica Canela 01,CenPotMax,EtaMes,0,3.82,6.67,4.67,2.63,2.6,0.3,5.66,4.02,2.07,2.93,0.08
1,F,*,*,11,Eolica Canela 01,CenPotMax,EtaMes,0,7.25,5.9,4.3,2.85,7.2,3.5,5.5,6.73,3.95,7.55,0
1,F,*,*,12,Eolica Canela 01,CenPotMax,EtaMes,0,7.25,5.9,4.3,2.85,7.2,3.5,5.5,6.73,3.95,7.55,0
1,F,*,*,13,Eolica Canela 01,CenPotMax,EtaMes,0,4.6,4.5,3.5,3,9.8,3.5,4.7,5.6,2.45,4.45,0
1,F,*,*,14,Eolica Canela 01,CenPotMax,EtaMes,0,4.6,4.5,3.5,3,9.8,3.5,4.7,5.6,2.45,4.45,0
1,F,*,*,15,Eolica Canela 01,CenPotMax,EtaMes,0.2,3.6,5.12,1.98,1.67,8.4,2.2,4.5,6.6,1.37,2.5,0.2
1,F,*,*,16,Eolica Canela 01,CenPotMax,EtaMes,0.2,3.6,5.12,1.98,1.67,8.4,2.2,4.5,6.6,1.37,2.5,0.2
2,F,*,*,1,Eolica Canela 02,CenPotMax,EtaMes,0,13.63,20.6,11.5,7.13,23.33,13.53,14.9,17.27,7.65,7.8,0.6
2,F,*,*,2,Eolica Canela 02,CenPotMax,EtaMes,0,13.63,20.6,11.5,7.13,23.33,13.53,14.9,17.27,7.65,7.8,0.6
2,F,*,*,3,Eolica Canela 02,CenPotMax,EtaMes,0,0,24.67,8.5,2.97,5.48,9.76,9.4,16.5,4.13,2.95,0.02
2,F,*,*,4,Eolica Canela 02,CenPotMax,EtaMes,0,0,24.67,8.5,2.97,5.48,9.76,9.4,16.5,4.13,2.95,0.02
2,F,*,*,5,Eolica Canela 02,CenPotMax,EtaMes,0,0,13.45,26,1.35,8.67,2.6,1.65,13.55,3.6,0.4,0.1
2,F,*,*,6,Eolica Canela 02,CenPotMax,EtaMes,0,0,13.45,26,1.35,8.67,2.6,1.65,13.55,3.6,0.4,0.1
2,F,*,*,7,Eolica Canela 02,CenPotMax,EtaMes,0,4.23,24.03,25.25,3.63,7.6,5,8.73,11.77,1.95,1.2,0
2,F,*,*,8,Eolica Canela 02,CenPotMax,EtaMes,0,4.23,24.03,25.25,3.63,7.6,5,8.73,11.77,1.95,1.2,0
2,F,*,*,9,Eolica Canela 02,CenPotMax,EtaMes,0,18.8,40.97,38.67,10.27,32.08,6.27,16.9,17.1,8.94,11.71,0.13
2,F,*,*,10,Eolica Canela 02,CenPotMax,EtaMes,0,18.8,40.97,38.67,10.27,32.08,6.27,16.9,17.1,8.94,11.71,0.13
2,F,*,*,11,Eolica Canela 02,CenPotMax,EtaMes,0,35.05,31.7,37.5,15.4,51.2,15.45,30.5,26.2,12.35,30.65,1.4
2,F,*,*,12,Eolica Canela 02,CenPotMax,EtaMes,0,35.05,31.7,37.5,15.4,51.2,15.45,30.5,26.2,12.35,30.65,1.4
2,F,*,*,13,Eolica Canela 02,CenPotMax,EtaMes,0,28.75,26.4,12,18.7,53.3,18.7,22.8,34,14.8,21.7,2.2
2,F,*,*,14,Eolica Canela 02,CenPotMax,EtaMes,0,28.75,26.4,12,18.7,53.3,18.7,22.8,34,14.8,21.7,2.2
2,F,*,*,15,Eolica Canela 02,CenPotMax,EtaMes,2.93,17.95,28.83,21.75,16.4,43.87,16.6,18.4,37.15,6.1,15.4,2.93
2,F,*,*,16,Eolica Canela 02,CenPotMax,EtaMes,2.93,17.95,28.83,21.75,16.4,43.87,16.6,18.4,37.15,6.1,15.4,2.93
3,F,*,*,1,Eólica Lebu,CenPotMax,EtaMes,2.42,1,1,0,0,0,0.33,0.35,0,1.05,4.45,0.57
3,F,*,*,2,Eólica Lebu,CenPotMax,EtaMes,2.42,1,1,0,0,0,0.33,0.35,0,1.05,4.45,0.57
3,F,*,*,3,Eólica Lebu,CenPotMax,EtaMes,2.2,1.17,1.17,0,0,0,1.54,0,0,0.8,3.15,0.22
3,F,*,*,4,Eólica Lebu,CenPotMax,EtaMes,2.2,1.17,1.17,0,0,0,1.54,0,0,0.8,3.15,0.22
3,F,*,*,5,Eólica Lebu,CenPotMax,EtaMes,3.55,1,1,0,0,0,1.17,0,0,0.2,3,0
3,F,*,*,6,Eólica Lebu,CenPotMax,EtaMes,3.55,1,1,0,0,0,1.17,0,0,0.2,3,0
3,F,*,*,7,Eólica Lebu,CenPotMax,EtaMes,2.15,1,1,0,0,0,0.53,0.07,0.27,0,3.3,0
3,F,*,*,8,Eólica Lebu,CenPotMax,EtaMes,2.15,1,1,0,0,0,0.53,0.07,0.27,0,3.3,0
3,F,*,*,9,Eólica Lebu,CenPotMax,EtaMes,2.3,0.75,0.67,0,0,0,1.37,1.18,2.96,0.07,2.83,0
3,F,*,*,10,Eólica Lebu,CenPotMax,EtaMes,2.3,0.75,0.67,0,0,0,1.37,1.18,2.96,0.07,2.83,0
3,F,*,*,11,Eólica Lebu,CenPotMax,EtaMes,1.5,0.5,0,0,0,0,1.25,1.23,2.43,0.45,1.35,0.2
3,F,*,*,12,Eólica Lebu,CenPotMax,EtaMes,1.5,0.5,0,0,0,0,1.25,1.23,2.43,0.45,1.35,0.2
3,F,*,*,13,Eólica Lebu,CenPotMax,EtaMes,0.3,1,1,0,0,0,0.5,1.1,0.75,0.1,1.3,0.3
3,F,*,*,14,Eólica Lebu,CenPotMax,EtaMes,0.3,1,1,0,0,0,0.5,1.1,0.75,0.1,1.3,0.3
3,F,*,*,15,Eólica Lebu,CenPotMax,EtaMes,0.07,0.5,0.75,0,0,0,0.43,0.8,0,0.07,1.67,0.07
3,F,*,*,16,Eólica Lebu,CenPotMax,EtaMes,0.07,0.5,0.75,0,0,0,0.43,0.8,0,0.07,1.67,0.07
4,F,*,*,1,Eolica Totoral,CenPotMax,EtaMes,3.92,13.2,13.07,12.35,5.67,20.93,16.97,24.95,14.37,3.4,5.55,1.57
4,F,*,*,2,Eolica Totoral,CenPotMax,EtaMes,3.92,13.2,13.07,12.35,5.67,20.93,16.97,24.95,14.37,3.4,5.55,1.57
4,F,*,*,3,Eolica Totoral,CenPotMax,EtaMes,2.48,0,17.1,10.28,5.87,7.08,14.94,12.06,7.85,2,1.62,0
4,F,*,*,4,Eolica Totoral,CenPotMax,EtaMes,2.48,0,17.1,10.28,5.87,7.08,14.94,12.06,7.85,2,1.62,0
4,F,*,*,5,Eolica Totoral,CenPotMax,EtaMes,0.6,0,9.3,13.95,1,8.47,1.7,1.5,9.9,0,0,0
4,F,*,*,6,Eolica Totoral,CenPotMax,EtaMes,0.6,0,9.3,13.95,1,8.47,1.7,1.5,9.9,0,0,0
4,F,*,*,7,Eolica Totoral,CenPotMax,EtaMes,0.22,1.6,5.55,6.63,2.12,2.13,1.13,1.7,1.67,0,0,0
4,F,*,*,8,Eolica Totoral,CenPotMax,EtaMes,0.22,1.6,5.55,6.63,2.12,2.13,1.13,1.7,1.67,0,0,0
4,F,*,*,9,Eolica Totoral,CenPotMax,EtaMes,0.57,9.3,12.23,7.2,5.83,19.5,3.28,17.08,10.9,5.97,7.27,0.58
4,F,*,*,10,Eolica Totoral,CenPotMax,EtaMes,0.57,9.3,12.23,7.2,5.83,19.5,3.28,17.08,10.9,5.97,7.27,0.58
4,F,*,*,11,Eolica Totoral,CenPotMax,EtaMes,3.1,18.55,14.1,8.85,9.45,40.15,5.55,25.2,18.67,9.6,17.05,0.47
4,F,*,*,12,Eolica Totoral,CenPotMax,EtaMes,3.1,18.55,14.1,8.85,9.45,40.15,5.55,25.2,18.67,9.6,17.05,0.47
4,F,*,*,13,Eolica Totoral,CenPotMax,EtaMes,1.35,20.85,11.9,8.6,10.4,39.5,5.8,18.7,27.1,10.35,10.9,0
4,F,*,*,14,Eolica Totoral,CenPotMax,EtaMes,1.35,20.85,11.9,8.6,10.4,39.5,5.8,18.7,27.1,10.35,10.9,0
