CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,SemAbr01,SemAbr02,SemAbr03,SemAbr04,SemMay01,SemMay02,SemMay03,SemMay04,SemJun01,SemJun02,SemJun03,SemJun04,SemJul01,SemJul02,SemJul03,SemJul04,SemAgo01,SemAgo02,SemAgo03,SemAgo04,SemSep01,SemSep02,SemSep03,SemSep04,SemOct01,SemOct02,SemOct03,SemOct04,SemNov01,SemNov02,SemNov03,SemNov04,SemDic01,SemDic02,SemDic03,SemDic04,SemEne01,SemEne02,SemEne03,SemEne04,SemFeb01,SemFeb02,SemFeb03,SemFeb04,SemMar01,SemMar02,SemMar03,SemMar04
1,F,2017,2017,*,Taltal 01 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,3.637443702,3.637443702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.476162201,2.476162201,2.476162201,2.476162201
2,F,2017,2017,*,Taltal 02 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,12.87147561,12.87147561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,F,2017,2017,*,Taltal CC GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,F,2017,2017,*,Nehuenco 01 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,F,2017,2017,*,Nehuenco 01 FA GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,F,2017,2017,*,Nehuenco 01 GNL CP,CenPotMax,EtaSem,286.1206939,286.1206939,286.1206939,286.1206939,0,0,0,0,318.7967046,318.7967046,312.5304303,312.5304303,312.5304303,312.5304303,312.5304303,312.5304303,320.7549153,320.7549153,320.7549153,320.7549153,320.7549153,148.8240144,148.8240144,148.8240144,148.8240144,148.8240144,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,131.5917601,98.69382011,98.69382011,98.69382011,98.69382011
7,F,2017,2017,*,Nehuenco 02 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,F,2017,2017,*,Nehuenco 02 GNL CP,CenPotMax,EtaSem,309.7834492,309.7834492,309.7834492,309.7834492,320.1095641,320.1095641,320.1095641,320.1095641,351.7502561,351.7502561,344.8362461,344.8362461,344.8362461,344.8362461,344.8362461,344.8362461,353.9108842,353.9108842,353.9108842,353.9108842,353.9108842,164.2077362,164.2077362,164.2077362,164.2077362,164.2077362,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,145.1942089,181.4927611,181.4927611,181.4927611,181.4927611
9,F,2017,2017,*,San Isidro GNL,CenPotMax,EtaSem,312.4589026,312.4589026,312.4589026,312.4589026,322.8741993,322.8741993,322.8741993,322.8741993,347.63,347.63,347.63,347.63,347.63,347.63,347.63,347.63,347.63,347.63,347.63,347.63,347.63,301.1430542,301.1430542,301.1430542,301.1430542,301.1430542,304.0808367,304.0808367,304.0808367,304.0808367,304.0808367,304.0808367,257.8037048,257.8037048,257.8037048,257.8037048,257.8037048,257.8037048,257.8037048,257.8037048,257.8037048,257.8037048,257.8037048,257.8037048,347.63,347.63,347.63,347.63
10,F,2017,2017,*,San Isidro FA GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,F,2017,2017,*,San Isidro 02 GNL,CenPotMax,EtaSem,354.9430819,354.9430819,354.9430819,354.9430819,366.774518,366.774518,366.774518,366.774518,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,393.3741,372.2655042,372.2655042,372.2655042,372.2655042,372.2655042,372.2655042,372.2655042,372.2655042,372.2655042,372.2655042,372.2655042,372.2655042,270.1919529,270.1919529,270.1919529,270.1919529
12,F,2017,2017,*,San Isidro 02 FA GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,F,2017,2017,*,Quintero 01 CA GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,59.96002543,59.96002543,56.47779635,56.47779635,56.47779635,56.47779635,56.47779635,56.47779635,78.79302599,78.79302599,78.79302599,78.79302599,78.79302599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,F,2017,2017,*,Quintero 02 CA GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,58.7179758,58.7179758,55.3078798,55.3078798,55.3078798,55.3078798,55.3078798,55.3078798,19.68573457,19.68573457,19.68573457,19.68573457,19.68573457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,F,2017,2017,*,Quintero CC FA GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,F,2017,2017,*,Quintero CC GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
