CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,SemAbr01,SemAbr02,SemAbr03,SemAbr04,SemMay01,SemMay02,SemMay03,SemMay04,SemJun01,SemJun02,SemJun03,SemJun04,SemJul01,SemJul02,SemJul03,SemJul04,SemAgo01,SemAgo02,SemAgo03,SemAgo04,SemSep01,SemSep02,SemSep03,SemSep04,SemOct01,SemOct02,SemOct03,SemOct04,SemNov01,SemNov02,SemNov03,SemNov04,SemDic01,SemDic02,SemDic03,SemDic04,SemEne01,SemEne02,SemEne03,SemEne04,SemFeb01,SemFeb02,SemFeb03,SemFeb04,SemMar01,SemMar02,SemMar03,SemMar04
1,F,2017,2017,*,Taltal 01 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,2.476162201,7.074749145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,F,2017,2017,*,Taltal 02 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,F,2017,2017,*,Taltal CC GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,F,2017,2017,*,Nehuenco 01 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,F,2017,2017,*,Nehuenco 01 FA GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,F,2017,2017,*,Nehuenco 01 GNL CP,CenPotMax,EtaSem,286.1206939,286.1206939,286.1206939,286.1206939,0,0,0,0,148.8240144,131.5917601,131.5917601,98.69382011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.1837989,314.1837989,314.1837989,314.1837989,314.1837989,314.1837989,314.1837989,314.1837989,314.1837989,314.1837989,314.1837989,314.1837989
7,F,2017,2017,*,Nehuenco 02 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,F,2017,2017,*,Nehuenco 02 GNL CP,CenPotMax,EtaSem,309.7834492,309.7834492,309.7834492,309.7834492,320.1095641,320.1095641,320.1095641,320.1095641,164.2077362,145.1942089,145.1942089,181.4927611,290.3884178,314.5874526,338.7864874,307.1386828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.4456602,325.4456602,325.4456602,325.4456602,325.4456602,325.4456602,325.4456602,325.4456602,304.449166,304.449166,304.449166,304.449166
9,F,2017,2017,*,San Isidro GNL,CenPotMax,EtaSem,312.4589026,312.4589026,312.4589026,312.4589026,322.8741993,322.8741993,322.8741993,322.8741993,301.1430542,304.0808367,257.8037048,0,84.09330395,183.9541024,0,217.26875,347.63,347.63,347.63,347.63,347.63,347.63,347.63,347.63,347.63,347.63,347.63,347.63,208.578,208.578,208.578,208.578,347.63,347.63,347.63,347.63,346.0703198,346.0703198,346.0703198,346.0703198,346.0703198,346.0703198,346.0703198,346.0703198,346.0703198,346.0703198,346.0703198,346.0703198
10,F,2017,2017,*,San Isidro FA GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,F,2017,2017,*,San Isidro 02 GNL,CenPotMax,EtaSem,354.9430819,354.9430819,354.9430819,354.9430819,366.774518,366.774518,366.774518,366.774518,393.3741,393.3741,372.2655042,270.1919529,358.0540455,333.3677867,200.8880672,309.1100994,337.3070032,0,245.9530232,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371,393.5248371
