CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,abr,may,jun,jul,ago,sep,oct,nov,dic,ene,feb,mar
1,F,*,*,1,Lalackama,CenPotMax,EtaMes,0,0,0.003333333,0,0,0,0,0,0,0,0,0
2,F,*,*,2,Lalackama,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
3,F,*,*,3,Lalackama,CenPotMax,EtaMes,0,0.11956,0,0,0,0,0,0,0,0,0,0
4,F,*,*,4,Lalackama,CenPotMax,EtaMes,0,0.164789683,0,0,0,0,0,0,0,0,0,0
5,F,*,*,5,Lalackama,CenPotMax,EtaMes,0,10.11911,13.40734,8.554133333,7.0585,4.866111111,11.07851852,3.706,2.504545455,0.788888889,0.30625,0
6,F,*,*,6,Lalackama,CenPotMax,EtaMes,0,9.968709524,16.5943175,7.259931818,5.035714286,4.373333333,11.30787879,3.5005,2.3575,0.734090909,0.2625,0.06
7,F,*,*,7,Lalackama,CenPotMax,EtaMes,32.653125,43.08659,38.5075,36.5752,42.361,44.5425,43.4,40.80833333,34.88181818,30.88333333,27.96875,20.76818182
8,F,*,*,8,Lalackama,CenPotMax,EtaMes,29.51704545,44.30723651,37.84343,36.00438182,37.2227381,44.13722222,44.40878788,38.7335,35.99,29.67727273,28.4125,24.8975
9,F,*,*,9,Lalackama,CenPotMax,EtaMes,47.909375,48.2775,42.90333333,36.50555556,45.08366667,47.54895833,47.11916667,43.7746,27.18727273,31.24603175,43.17142857,38.53636364
10,F,*,*,10,Lalackama,CenPotMax,EtaMes,43.96590909,50.35595238,43.275,38.2275303,42.24666667,45.92236111,42.03909091,39.7653,31.17,36.16883117,44.91285714,46.9225
11,F,*,*,11,Lalackama,CenPotMax,EtaMes,44.725,42.905,41.98,35.03833333,40.882,46.40125,45.06111111,36.10833333,28.69393939,27.70555556,37.775,34.74242424
12,F,*,*,12,Lalackama,CenPotMax,EtaMes,40.96363636,43.95714286,43.585,34.92931818,38.74571429,45.83194444,40.42977273,36.47016667,31.97,31.06363636,39.95,43.30333333
13,F,*,*,13,Lalackama,CenPotMax,EtaMes,13.40625,7.27,33.94,14.57777778,23.458,18.31625,22.24611111,5.41,11.9,12.77222222,12.8625,10.17272727
14,F,*,*,14,Lalackama,CenPotMax,EtaMes,14.20681818,6.723809524,34.465,14.05,21.30333333,19.31722222,19.39431818,7.44725,11.345,14.275,12.0825,12.52
15,F,*,*,15,Lalackama,CenPotMax,EtaMes,0,0,2.545,0.136111111,0.740333333,0,0,0,0,0,0,0.045454545
16,F,*,*,16,Lalackama,CenPotMax,EtaMes,0.004545455,0,2.50875,0.114772727,0.712380952,0,0,0,0,0,0,0.035
17,F,*,*,1,Lalackama 2,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
18,F,*,*,2,Lalackama 2,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
19,F,*,*,3,Lalackama 2,CenPotMax,EtaMes,0,0.054745,0,0,0,0,0,0,0,0,0,0
20,F,*,*,4,Lalackama 2,CenPotMax,EtaMes,0,0.066150794,0,0,0,0,0,0,0,0,0,0
21,F,*,*,5,Lalackama 2,CenPotMax,EtaMes,0,2.96733,4.82494,3.409,2.1595,1.778888889,3.265925926,1.2755,0.831818182,0.277777778,0.03125,0
22,F,*,*,6,Lalackama 2,CenPotMax,EtaMes,0,3.029371429,5.5891275,2.817454545,2.03547619,1.547222222,3.517878788,1.165,0.8425,0.277272727,0.025,0
23,F,*,*,7,Lalackama 2,CenPotMax,EtaMes,8.234375,9.074683333,7.0866275,9.979641667,11.67925,13.51861111,12.78814815,12.175,10.21818182,9.283333333,7.65,5.05
24,F,*,*,8,Lalackama 2,CenPotMax,EtaMes,7.156818182,8.745950794,7.72914,8.7088375,11.12630952,13.37092593,13.52060606,11.18833333,10.995,8.925,6.7525,6.335
25,F,*,*,9,Lalackama 2,CenPotMax,EtaMes,10.140625,8.370995,6.734713333,9.762514815,12.95966667,14.41291667,14.265,12.6914,7.034545455,11.40793651,10.34285714,10.49090909
26,F,*,*,10,Lalackama 2,CenPotMax,EtaMes,10.28295455,8.982183333,7.336661667,8.464180303,12.00396825,14.01597222,12.84806818,11.484,9.762,11.36298701,10.63428571,13.215
27,F,*,*,11,Lalackama 2,CenPotMax,EtaMes,10.2875,6.565335,5.02776,5.765238889,10.351,13.75541667,13.335,10.19033333,7.981818182,10.19444444,9,8.803030303
28,F,*,*,12,Lalackama 2,CenPotMax,EtaMes,9.802272727,5.739742857,5.08862,4.713636364,9.871428571,13.68611111,11.94636364,10.32466667,9.688333333,10.03409091,9.365,11.75166667
29,F,*,*,13,Lalackama 2,CenPotMax,EtaMes,3.08125,0.85531,1.18933,0.013422222,2.944,4.9575,5.864444444,1.4955,3.295454545,3.666666667,3.4375,2.6
30,F,*,*,14,Lalackama 2,CenPotMax,EtaMes,3.325,0.631045238,1.06202,0.006695455,3.2,5.505833333,5.370681818,2.038,3.2025,3.868181818,3.11,3.335
31,F,*,*,15,Lalackama 2,CenPotMax,EtaMes,0,0,0,0,0.037333333,0,0,0,0,0,0,0.012121212
32,F,*,*,16,Lalackama 2,CenPotMax,EtaMes,0,0,0,0,0.039365079,0,0,0,0,0,0,0.01
33,F,*,*,1,Diego de Almagro FV,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
34,F,*,*,2,Diego de Almagro FV,CenPotMax,EtaMes,0.009090909,0,0,0,0,0,0,0,0,0,0,0
35,F,*,*,3,Diego de Almagro FV,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
36,F,*,*,4,Diego de Almagro FV,CenPotMax,EtaMes,0,0,0,0.136363636,0,0,0,0,0,0,0,0
37,F,*,*,5,Diego de Almagro FV,CenPotMax,EtaMes,0,1.47509,1.947835,2.76175,3.5315,1.499722222,2.81,0.7585,0.622727273,0.355555556,0.01875,0
38,F,*,*,6,Diego de Almagro FV,CenPotMax,EtaMes,0,1.08877619,1.7465525,2.882725,3.301666667,1.835,2.200151515,0.75075,0.6075,0.245454545,0.07,0
39,F,*,*,7,Diego de Almagro FV,CenPotMax,EtaMes,8.1875,11.25315,10.994585,15.12785,15.96275,17.00111111,17.76222222,13.95966667,13.98181818,9.416666667,7.6875,5.613636364
40,F,*,*,8,Diego de Almagro FV,CenPotMax,EtaMes,7.243181818,9.6548,11.11711625,14.29101705,15.71452381,17.35407407,18.085,14.12416667,14.11333333,8.259090909,7.9025,5.6925
41,F,*,*,9,Diego de Almagro FV,CenPotMax,EtaMes,17.415625,14.313835,11.56060667,15.96300741,19.36233333,22.764375,22.59833333,23.3148,26.50909091,23.70793651,26.07857143,21.79242424
42,F,*,*,10,Diego de Almagro FV,CenPotMax,EtaMes,15.30909091,13.12534762,12.473665,15.68407576,18.66730159,22.89166667,22.87977273,23.1892,25.836,25.48961039,24.62571429,22.43083333
43,F,*,*,11,Diego de Almagro FV,CenPotMax,EtaMes,11.0375,7.513635,8.40463,8.436844444,12.3755,16.155,15.77055556,14.14233333,18.09090909,16.5,16.80625,13.56969697
44,F,*,*,12,Diego de Almagro FV,CenPotMax,EtaMes,9.65,7.36767619,8.532965,8.251261364,12.09785714,16.48194444,16.31386364,14.4375,17.58333333,16.41136364,16.175,15.20333333
45,F,*,*,13,Diego de Almagro FV,CenPotMax,EtaMes,1.4125,0.501075,4.26,1.288888889,3.193,3.733333333,3.988333333,0.952,2.363636364,2.838888889,2.16875,1.136363636
46,F,*,*,14,Diego de Almagro FV,CenPotMax,EtaMes,1.279545455,0.523235714,4.493,1.2,3.474761905,3.4675,4.065227273,1.111,2.305,2.675,1.8675,1.57
47,F,*,*,15,Diego de Almagro FV,CenPotMax,EtaMes,0,0,0.1325,0,0.011666667,0,0,0,0,0,0,0
48,F,*,*,16,Diego de Almagro FV,CenPotMax,EtaMes,0,0,0.15125,0,0.014126984,0,0,0,0,0,0,0
49,F,*,*,1,San Andres FV,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
50,F,*,*,2,San Andres FV,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
51,F,*,*,3,San Andres FV,CenPotMax,EtaMes,0,0,0,0,0.02605,0,0,0,0,0,0,0
52,F,*,*,4,San Andres FV,CenPotMax,EtaMes,0,0,0,0,0.035698413,0,0,0,0,0,0,0
53,F,*,*,5,San Andres FV,CenPotMax,EtaMes,0.15,8.155,5.375,5.311111111,10.9572,4.527222222,8.451851852,2.69,2.55,1.2,0.39375,0.445454545
54,F,*,*,6,San Andres FV,CenPotMax,EtaMes,0.065909091,7.235719048,4.5525,5.047727273,10.82490476,5.846740741,7.578787879,3.707575,2.5475,1.102272727,0.315,0.48
55,F,*,*,7,San Andres FV,CenPotMax,EtaMes,24.5375,31.59333333,29.37,29.56388889,34.6625,35.42805556,40.5962963,33.68,33.47272727,20.68888889,20.18125,17.62727273
56,F,*,*,8,San Andres FV,CenPotMax,EtaMes,23.64431818,28.87142857,28.3575,29.31537727,32.9547619,37.27962963,38.85757576,35.17666667,30.01833333,21.46136364,19.7575,17.2875
57,F,*,*,9,San Andres FV,CenPotMax,EtaMes,35.70625,32.185,30.21666667,30.55555556,35.31,39.71875,41.81666667,39.328,44.05454545,36.36825397,37.81964286,37.94545455
58,F,*,*,10,San Andres FV,CenPotMax,EtaMes,35.65681818,30.79880952,30.095,31.2530303,34.53857143,39.27638889,40.14090909,40.986,44.098,40.51558442,38.15357143,38.35833333
59,F,*,*,11,San Andres FV,CenPotMax,EtaMes,33.3375,26.280595,28.31,23.92777778,27.2,37.82916667,39.25,35.27666667,40.29090909,33.47777778,36.03125,32.58787879
60,F,*,*,12,San Andres FV,CenPotMax,EtaMes,33.21363636,24.09507143,27.52,25.41590909,28.68333333,36.725,37.76590909,34.34166667,39.38666667,36.07954545,33.0025,32.795
61,F,*,*,13,San Andres FV,CenPotMax,EtaMes,6.61875,2.677425,17.54,5.255555556,7.78,9.879166667,13.62777778,4.055,8.668181818,7.972222222,6.4875,4.2
62,F,*,*,14,San Andres FV,CenPotMax,EtaMes,6.972727273,1.69797619,17.24,5,9.376190476,9.333333333,13.10454545,4.31785,7.65,9.575,5.895,4.565
63,F,*,*,15,San Andres FV,CenPotMax,EtaMes,0,0,0.6025,0,0.046666667,0,0,0,0,0,0,0
64,F,*,*,16,San Andres FV,CenPotMax,EtaMes,0,0,0.54,0.001136364,0.082539683,0,0,0,0,0,0.005,0
65,F,*,*,1,Llano de Llampos FV,CenPotMax,EtaMes,0.00625,0,0,0,0,0,0,0,0,0,0,0
66,F,*,*,2,Llano de Llampos FV,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
67,F,*,*,3,Llano de Llampos FV,CenPotMax,EtaMes,0.0125,0,0,0,0,0,0,0,0,0,0,0
68,F,*,*,4,Llano de Llampos FV,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0.001
69,F,*,*,5,Llano de Llampos FV,CenPotMax,EtaMes,0.00625,17.43,14.455,14.49444444,26.665,11.30833333,22.54074074,10.275,10.2,4.666666667,0.73125,0.109090909
70,F,*,*,6,Llano de Llampos FV,CenPotMax,EtaMes,0.177272727,18.31666667,12.49,14.06363636,23.53571429,15.91111111,21.31666667,11.06,10.9125,3.972727273,0.59025,1.13
71,F,*,*,7,Llano de Llampos FV,CenPotMax,EtaMes,51.725,61.45333333,58.1925,60.51666667,68.3725,76.05277778,81.68518519,77.15666667,77.87878788,65.81111111,55.675,42.88181818
72,F,*,*,8,Llano de Llampos FV,CenPotMax,EtaMes,52.10909091,58.60952381,57.43625,59.82159091,67.52380952,76.54259259,82.18181818,79.16,78.765,64.09545455,54.855,45.3625
73,F,*,*,9,Llano de Llampos FV,CenPotMax,EtaMes,70.896875,59.9825,59.5,61.45925926,69.19666667,78.65833333,83.38333333,87.02,86.94909091,83.31111111,83.60357143,78.08636364
74,F,*,*,10,Llano de Llampos FV,CenPotMax,EtaMes,71.03977273,61.18455952,58.87666667,62.42424242,68.31904762,77.96388889,84.14431818,87.034,87.384,84.57467532,82.26428571,78.39416667
