CenManINum,CenManFOpe,CenManFecIni,CenManFecFin,CenManIBlo,CenManFTip,CenManNom,CenBar,CenPotMax,CenPotMin,CenCosVar,CenRenTer,CenCosOpe,CenDisEne,CenFacCol,CenConPro%
1,T,SemNov01-2017,SemNov02-2017,*,F,Antilhue TG 01,*,14.37125143,*,*,*,*,*,*,*
2,T,SemJul01-2017,SemJul01-2017,*,F,Antilhue TG 01,*,35.92812857,*,*,*,*,*,*,*
3,T,SemNov02-2017,SemNov03-2017,*,F,Antilhue TG 02,*,14.56889143,*,*,*,*,*,*,*
4,T,SemJul01-2017,SemJul01-2017,*,F,Antilhue TG 02,*,36.42222857,*,*,*,*,*,*,*
5,T,SemDic01-2017,SemDic02-2017,*,F,Arauco 01,*,4.285714286,*,*,*,*,*,*,*
6,T,SemOct01-2017,SemNov02-2017,*,F,Arauco 01,*,0.952380952,*,*,*,*,*,*,*
7,T,SemAgo04-2017,SemSep01-2017,*,F,Arauco 01,*,0,*,*,*,*,*,*,*
8,T,SemDic01-2017,SemDic02-2017,*,F,Arauco 02,*,4.285714286,*,*,*,*,*,*,*
9,T,SemOct01-2017,SemNov02-2017,*,F,Arauco 02,*,0.952380952,*,*,*,*,*,*,*
10,T,SemAgo04-2017,SemSep01-2017,*,F,Arauco 02,*,0,*,*,*,*,*,*,*
11,T,SemDic01-2017,SemDic02-2017,*,F,Arauco 03,*,1.714285714,*,*,*,*,*,*,*
12,T,SemOct01-2017,SemNov02-2017,*,F,Arauco 03,*,0.380952381,*,*,*,*,*,*,*
13,T,SemAgo04-2017,SemSep01-2017,*,F,Arauco 03,*,0,*,*,*,*,*,*,*
14,T,SemOct01-2017,SemOct03-2017,*,F,Biomar,*,0.228571429,*,*,*,*,*,*,*
15,T,SemOct01-2017,SemOct03-2017,*,F,Bocamina 01,*,0,*,*,*,*,*,*,*
16,T,SemNov01-2017,SemDic01-2017,*,F,Bocamina 02,*,46.06857143,*,*,*,*,*,*,*
17,T,SemAgo01-2017,SemSep01-2017,*,F,Calle-Calle,*,0.411428571,*,*,*,*,*,*,*
18,T,SemAbr01-2018,SemAbr03-2018,*,F,Campiche,*,11.85660952,*,*,*,*,*,*,*
19,T,SemOct01-2017,SemOct02-2017,*,F,Candelaria CA 02 Diesel,*,18.27388571,*,*,*,*,*,*,*
20,T,SemOct01-2017,SemOct02-2017,*,F,Candelaria CA 02 GNL,*,18.27388571,*,*,*,*,*,*,*
21,T,SemOct02-2017,SemOct03-2017,*,F,Cardones,*,0,*,*,*,*,*,*,*
22,T,SemFeb02-2018,SemFeb02-2018,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
23,T,SemFeb01-2018,SemFeb01-2018,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
24,T,SemEne04-2018,SemEne04-2018,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
25,T,SemEne03-2018,SemEne03-2018,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
26,T,SemEne02-2018,SemEne02-2018,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
27,T,SemEne01-2018,SemEne01-2018,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
28,T,SemDic01-2017,SemDic01-2017,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
29,T,SemNov04-2017,SemNov04-2017,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
30,T,SemNov03-2017,SemNov03-2017,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
31,T,SemSep04-2017,SemOct02-2017,*,F,Chufken,*,0.152380952,*,*,*,*,*,*,*
32,T,SemJun01-2017,SemJul01-2017,*,F,Chuyaca,*,0.645714286,*,*,*,*,*,*,*
33,T,SemOct02-2017,SemOct04-2017,*,F,CMPC Santa Fe,*,13.21047619,*,*,*,*,*,*,*
34,T,SemMar01-2018,SemMar01-2018,*,F,CMPC Tissue,*,1.714285714,*,*,*,*,*,*,*
35,T,SemOct03-2017,SemOct03-2017,*,F,CMPC Tissue,*,1.142857143,*,*,*,*,*,*,*
36,T,SemDic01-2017,SemDic02-2017,*,F,Coelemu,*,1.682902857,*,*,*,*,*,*,*
