CenINum,CenNom,CenFOpe,CenFecOpeIni,CenFecOpeFin,CenEmiFMDL,CenEmiFDpz,CenEmiDpz [tCO2e/GWh],CenFERNC,CenUbc,CenBar,CenFDua,CenDua,CenPotMax,CenPotMin,CenKxxx/kWh,CenCosVar,CenCosTrp,CenRenTer,CenCosOpe,CenDisEne,CenEtaCVar,CenEtaCTrp,CenConPro%,CenFInv,CenFecInv,CenVI,CenCOMA,CenVidUti,CenEtaCOMA,CenEmp,CenCmr,CenAux
1,Eolica Ciruelos 01,T,MesEne-2025,*,F,F,0,T,SIC,Ciruelos 220,F,*,150,0,1,0,0,1,0,1,*,*,0,T,*,270,5.4,24,*,Plan de Obra,Plan de Obra,Eolica
2,Eolica Maitencillo 01,T,MesEne-2026,*,F,F,0,T,SIC,Maitencillo 220,F,*,200,0,1,0,0,1,0,1,*,*,0,T,*,360,7.2,24,*,Plan de Obra,Plan de Obra,Eolica
3,Eolica Puerto Montt 01,T,MesNov-2028,*,F,F,0,T,SIC,Puerto Montt 220,F,*,150,0,1,0,0,1,0,1,*,*,0,F,*,270,5.4,24,*,Plan de Obra,Plan de Obra,Eolica
4,Solar Polpaico 01,T,MesNov-2026,*,F,F,0,T,SIC,Polpaico 220,F,*,220,0,1,0,0,1,0,1,*,*,0,T,*,264,5.28,24,*,Plan de Obra,Plan de Obra,Solar
5,Eolica Maitencillo 02,T,MesFeb-2027,*,F,F,0,T,SIC,Maitencillo 220,F,*,130,0,1,0,0,1,0,1,*,*,0,F,*,234,4.68,24,*,Plan de Obra,Plan de Obra,Eolica
6,Solar Polpaico 03,T,MesEne-2030,*,F,F,0,T,SIC,Polpaico 220,F,*,260,0,1,0,0,1,0,1,*,*,0,T,*,312,6.24,24,*,Plan de Obra,Plan de Obra,Solar
7,Solar Cardones 03,T,MesEne-2029,*,F,F,0,T,SIC,Cardones 220,F,*,100,0,1,0,0,1,0,1,*,*,0,F,*,120,2.4,24,*,Plan de Obra,Plan de Obra,Solar
8,Solar Pan de Azucar 03,T,MesJun-2028,*,F,F,0,T,SIC,Pan de Azucar 220,F,*,100,0,1,0,0,1,0,1,*,*,0,T,*,120,2.4,24,*,Plan de Obra,Plan de Obra,Solar
9,Eolica Mulchen 01,T,MesMar-2030,*,F,F,0,T,SIC,Mulchen 220,F,*,150,0,1,0,0,1,0,1,*,*,0,T,*,270,5.4,24,*,Plan de Obra,Plan de Obra,Eolica
10,Solar Cardones 02,T,MesEne-2029,*,F,F,0,T,SIC,Cardones 220,F,*,100,0,1,0,0,1,0,1,*,*,0,F,*,120,2.4,24,*,Plan de Obra,Plan de Obra,Solar
11,Solar Pan de Azucar 02,T,MesMar-2029,*,F,F,0,T,SIC,Pan de Azucar 220,F,*,230,0,1,0,0,1,0,1,*,*,0,F,*,276,5.52,24,*,Plan de Obra,Plan de Obra,Solar
12,Eolica Charrua 01,T,MesJul-2029,*,F,F,0,T,SIC,Nueva Charrua 220,F,*,200,0,1,0,0,1,0,1,*,*,0,T,*,360,7.2,24,*,Plan de Obra,Plan de Obra,Eolica
13,Solar Carrera Pinto 01,T,MesMar-2029,*,F,F,0,T,SIC,Carrera Pinto 220,F,*,100,0,1,0,0,1,0,1,*,*,0,F,*,120,2.4,24,*,Plan de Obra,Plan de Obra,Solar
14,Solar Ovalle 04,T,MesJun-2029,*,F,F,0,T,SIC,Ovalle 110,F,*,80,0,1,0,0,1,0,1,*,*,0,F,*,96,1.92,24,*,Plan de Obra,Plan de Obra,Solar
15,Solar Cardones 04,T,MesSep-2029,*,F,F,0,T,SIC,Cardones 220,F,*,230,0,1,0,0,1,0,1,*,*,0,F,*,276,5.52,24,*,Plan de Obra,Plan de Obra,Solar
16,Solar Pan de Azucar 01,T,MesEne-2030,*,F,F,0,T,SIC,Pan de Azucar 220,F,*,175,0,1,0,0,1,0,1,*,*,0,T,*,210,4.2,24,*,Plan de Obra,Plan de Obra,Solar
17,Solar Diego de Almagro 01,T,MesJul-2030,*,F,F,0,T,SIC,Diego de Almagro 220,F,*,300,0,1,0,0,1,0,1,*,*,0,F,*,360,7.2,24,*,Plan de Obra,Plan de Obra,Solar
18,Solar Carrera Pinto 02,T,MesEne-2030,*,F,F,0,T,SIC,Carrera Pinto 220,F,*,80,0,1,0,0,1,0,1,*,*,0,T,*,96,1.92,24,*,Plan de Obra,Plan de Obra,Solar
19,Solar Diego de Almagro 02,T,MesJul-2030,*,F,F,0,T,SIC,Diego de Almagro 220,F,*,65,0,1,0,0,1,0,1,*,*,0,F,*,78,1.56,24,*,Plan de Obra,Plan de Obra,Solar
20,Solar Carrera Pinto 03,T,MesEne-2030,*,F,F,0,T,SIC,Carrera Pinto 220,F,*,95,0,1,0,0,1,0,1,*,*,0,T,*,114,2.28,24,*,Plan de Obra,Plan de Obra,Solar
21,Solar Ovalle 02,T,MesEne-2030,*,F,F,0,T,SIC,Ovalle 110,F,*,60,0,1,0,0,1,0,1,*,*,0,F,*,72,1.44,24,*,Plan de Obra,Plan de Obra,Solar
22,Solar Ovalle 03,T,MesEne-2032,*,F,F,0,T,SIC,Ovalle 110,F,*,90,0,1,0,0,1,0,1,*,*,0,F,*,108,2.16,24,*,Plan de Obra,Plan de Obra,Solar
23,Charrua CC I,T,MesMay-2032,*,F,T,463,F,SIC,Charrua 500,F,*,575,0,0.000190782,6.242904712,0,5.74,4,0.97,GNL CNE,*,0,F,*,690,13.8,24,*,Plan de Obra,Plan de Obra,GNL
