DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndSisGbl,DemIndSisPri,DemIndSisSec,DemIndSisCmr,DemIndIBlo,DemIndEtaTip,MesAbr,MesMay,MesJun,MesJul,MesAgo,MesSep,MesOct,MesNov,MesDic,MesEne,MesFeb,MesMar
1,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,0,0,0,0,0,0,0,0,0,1.025468126,1.028960094,1.012594533
2,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,0,0,0,0,0,0,0,0,0,1.037732182,1.031713363,1.026577621
3,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,0,0,0,0,0,0,0,0,0,1.021426347,1.028545353,1.01299405
4,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,0,0,0,0,0,0,0,0,0,1.043467375,1.032278019,1.02488407
5,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,0,0,0,0,0,0,0,0,0,0.98291331,1.018975879,1.010914836
6,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,0,0,0,0,0,0,0,0,0,1.039919246,1.009124076,1.006112982
7,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,0,0,0,0,0,0,0,0,0,0.927550597,0.976748433,0.98862745
8,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0,0,0,0,0,0,0,0,0,0.997315374,0.974541557,0.974299004
9,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,0,0,0,0,0,0,0,0,0,0.93187265,0.996236351,0.999604351
10,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0,0,0,0,0,0,0,0,0,0.978324766,0.95469619,0.956707315
