DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,Aconcagua 110,0,F,EtaMes,6.021325838,6.021325838,6.021325838,6.021325838,6.021325838,6.021325838,6.021325838,6.021325838,6.021325838,6.352297788,6.352297788,6.352297788
2,F,2018,2018,Aconcagua 110,0,F,EtaMes,6.352297788,6.352297788,6.352297788,6.352297788,6.352297788,6.352297788,6.352297788,6.352297788,6.352297788,6.562411647,6.562411647,6.562411647
3,F,2019,2019,Aconcagua 110,0,F,EtaMes,6.562411647,6.562411647,6.562411647,6.562411647,6.562411647,6.562411647,6.562411647,6.562411647,6.562411647,6.678351204,6.678351204,6.678351204
4,F,2020,2020,Aconcagua 110,0,F,EtaMes,6.678351204,6.678351204,6.678351204,6.678351204,6.678351204,6.678351204,6.678351204,6.678351204,6.678351204,6.722191582,6.722191582,6.722191582
5,F,2021,2021,Aconcagua 110,0,F,EtaMes,6.722191582,6.722191582,6.722191582,6.722191582,6.722191582,6.722191582,6.722191582,6.722191582,6.722191582,6.780590145,6.780590145,6.780590145
6,F,2022,2022,Aconcagua 110,0,F,EtaMes,6.780590145,6.780590145,6.780590145,6.780590145,6.780590145,6.780590145,6.780590145,6.780590145,6.780590145,6.830693743,6.830693743,6.830693743
7,F,2023,2023,Aconcagua 110,0,F,EtaMes,6.830693743,6.830693743,6.830693743,6.830693743,6.830693743,6.830693743,6.830693743,6.830693743,6.830693743,6.914796051,6.914796051,6.914796051
8,F,2024,2024,Aconcagua 110,0,F,EtaMes,6.914796051,6.914796051,6.914796051,6.914796051,6.914796051,6.914796051,6.914796051,6.914796051,6.914796051,7.049057787,7.049057787,7.049057787
9,F,2025,2025,Aconcagua 110,0,F,EtaMes,7.049057787,7.049057787,7.049057787,7.049057787,7.049057787,7.049057787,7.049057787,7.049057787,7.049057787,7.231645496,7.231645496,7.231645496
10,F,2026,2026,Aconcagua 110,0,F,EtaMes,7.231645496,7.231645496,7.231645496,7.231645496,7.231645496,7.231645496,7.231645496,7.231645496,7.231645496,7.391172779,7.391172779,7.391172779
11,F,2027,2027,Aconcagua 110,0,F,EtaMes,7.391172779,7.391172779,7.391172779,7.391172779,7.391172779,7.391172779,7.391172779,7.391172779,7.391172779,7.697709156,6.95276956,7.697709156
12,F,2028,2028,Aconcagua 110,0,F,EtaMes,7.449395957,7.697709156,7.449395957,7.697709156,7.697709156,7.449395957,7.697709156,7.449395957,7.697709156,7.851865037,7.09200713,7.851865037
13,F,2029,2029,Aconcagua 110,0,F,EtaMes,7.598579068,7.851865037,7.598579068,7.851865037,7.851865037,7.598579068,7.851865037,7.598579068,7.851865037,7.83123377,7.073372438,7.83123377
14,F,2030,2030,Aconcagua 110,0,F,EtaMes,7.578613326,7.83123377,7.578613326,7.83123377,7.83123377,7.578613326,7.83123377,7.578613326,7.83123377,7.778769172,7.025985058,7.778769172
15,F,2031,*,Aconcagua 110,0,F,EtaMes,7.527841134,7.778769172,7.527841134,7.778769172,7.778769172,7.527841134,7.778769172,7.527841134,7.778769172,7.832071195,7.074128821,7.832071195
16,F,2017,2017,Agua Santa 110,0,F,EtaMes,3.115837909,3.00846155,3.088015942,3.022080932,2.746503512,2.483300923,2.397268664,2.419730365,3.079929167,3.197241585,3.238693207,3.797548683
17,F,2018,2018,Agua Santa 110,0,F,EtaMes,3.297813111,3.184936191,3.268595716,3.199438036,2.908980757,2.630373852,2.540281947,2.564112143,3.26113525,3.261592256,3.307824702,3.881268503
18,F,2019,2019,Agua Santa 110,0,F,EtaMes,3.367925895,3.249854049,3.337254976,3.264348464,2.96330957,2.678896967,2.583389583,2.6075209,3.3256509,3.319697387,3.366706949,3.950327259
19,F,2020,2020,Agua Santa 110,0,F,EtaMes,3.4278813,3.30774046,3.396674181,3.32249662,3.016150545,2.726673479,2.62950709,2.65407041,3.384910445,3.347383917,3.39421667,3.982222935
20,F,2021,2021,Agua Santa 110,0,F,EtaMes,3.455931291,3.335209811,3.424588654,3.350132182,3.04191377,2.750051012,2.652593487,2.677387398,3.413302444,3.383541002,3.430197806,4.023978397
21,F,2022,2022,Agua Santa 110,0,F,EtaMes,3.492615084,3.371094619,3.461083419,3.386229885,3.075500362,2.780519262,2.682631372,2.707723936,3.450365224,3.41650226,3.462848347,4.061765658
22,F,2023,2023,Agua Santa 110,0,F,EtaMes,3.525914122,3.403776628,3.4942431,3.419117372,3.106279065,2.808462793,2.710319781,2.7356914,3.484194822,3.466456979,3.512723988,4.119757941
23,F,2024,2024,Agua Santa 110,0,F,EtaMes,3.576751886,3.453389033,3.544783733,3.469011474,3.152507005,2.850374186,2.751486876,2.777263697,3.535354263,3.542675818,3.589107237,4.208766502
24,F,2025,2025,Agua Santa 110,0,F,EtaMes,3.654588035,3.52914444,3.622104018,3.545175064,3.222734854,2.914001712,2.813718587,2.840100754,3.613330243,3.643190749,3.690104183,4.326637752
25,F,2026,2026,Agua Santa 110,0,F,EtaMes,3.757486998,3.629102969,3.724264519,3.645651779,3.315065491,2.997614738,2.895248803,2.922417285,3.716087109,3.733601069,3.780722328,4.432242799
26,F,2027,2027,Agua Santa 110,0,F,EtaMes,3.849827887,3.718966213,3.815990685,3.735998235,3.398355648,3.073074988,2.969041663,2.996927623,3.808578103,3.824209032,3.871625454,4.538239126
27,F,2028,2028,Agua Santa 110,0,F,EtaMes,3.94245293,3.809043844,3.907980609,3.826553546,3.481734979,3.148602933,3.042819268,3.071420346,3.901246611,3.911831311,3.9592883,4.640290573
28,F,2029,2029,Agua Santa 110,0,F,EtaMes,4.031793897,3.896102707,3.996761084,3.914092919,3.56262866,3.221916241,3.11466342,3.143967126,3.99093109,3.912838171,3.959241075,4.639516131
29,F,2030,2030,Agua Santa 110,0,F,EtaMes,4.031821698,3.896885355,3.997013706,3.914961066,3.564685842,3.223939277,3.117632119,3.146991598,3.99226119,3.89812023,3.943265554,4.620065125
30,F,2031,*,Agua Santa 110,0,F,EtaMes,4.015630419,3.8820038,3.981190863,3.90009366,3.552435558,3.213025084,3.108106341,3.137404373,3.977552139,3.936705307,3.981182102,4.663736841
31,F,2017,2017,Algarrobo 110,0,F,EtaMes,0.017875412,0.017875412,0.017875412,0.017875412,0.017875412,0.017875412,0.017875412,0.017875412,0.017875412,0.018857963,0.018857963,0.018857963
32,F,2018,2018,Algarrobo 110,0,F,EtaMes,0.018857963,0.018857963,0.018857963,0.018857963,0.018857963,0.018857963,0.018857963,0.018857963,0.018857963,0.019481724,0.019481724,0.019481724
33,F,2019,2019,Algarrobo 110,0,F,EtaMes,0.019481724,0.019481724,0.019481724,0.019481724,0.019481724,0.019481724,0.019481724,0.019481724,0.019481724,0.019825912,0.019825912,0.019825912
34,F,2020,2020,Algarrobo 110,0,F,EtaMes,0.019825912,0.019825912,0.019825912,0.019825912,0.019825912,0.019825912,0.019825912,0.019825912,0.019825912,0.01995606,0.01995606,0.01995606
35,F,2021,2021,Algarrobo 110,0,F,EtaMes,0.01995606,0.01995606,0.01995606,0.01995606,0.01995606,0.01995606,0.01995606,0.01995606,0.01995606,0.020129427,0.020129427,0.020129427
36,F,2022,2022,Algarrobo 110,0,F,EtaMes,0.020129427,0.020129427,0.020129427,0.020129427,0.020129427,0.020129427,0.020129427,0.020129427,0.020129427,0.020278169,0.020278169,0.020278169
37,F,2023,2023,Algarrobo 110,0,F,EtaMes,0.020278169,0.020278169,0.020278169,0.020278169,0.020278169,0.020278169,0.020278169,0.020278169,0.020278169,0.020527842,0.020527842,0.020527842
38,F,2024,2024,Algarrobo 110,0,F,EtaMes,0.020527842,0.020527842,0.020527842,0.020527842,0.020527842,0.020527842,0.020527842,0.020527842,0.020527842,0.020926423,0.020926423,0.020926423
39,F,2025,2025,Algarrobo 110,0,F,EtaMes,0.020926423,0.020926423,0.020926423,0.020926423,0.020926423,0.020926423,0.020926423,0.020926423,0.020926423,0.021468468,0.021468468,0.021468468
40,F,2026,2026,Algarrobo 110,0,F,EtaMes,0.021468468,0.021468468,0.021468468,0.021468468,0.021468468,0.021468468,0.021468468,0.021468468,0.021468468,0.021942054,0.021942054,0.021942054
41,F,2027,2027,Algarrobo 110,0,F,EtaMes,0.021942054,0.021942054,0.021942054,0.021942054,0.021942054,0.021942054,0.021942054,0.021942054,0.021942054,0.022422052,0.022422052,0.022422052
42,F,2028,2028,Algarrobo 110,0,F,EtaMes,0.022422052,0.022422052,0.022422052,0.022422052,0.022422052,0.022422052,0.022422052,0.022422052,0.022422052,0.02287108,0.02287108,0.02287108
43,F,2029,2029,Algarrobo 110,0,F,EtaMes,0.02287108,0.02287108,0.02287108,0.02287108,0.02287108,0.02287108,0.02287108,0.02287108,0.02287108,0.022810985,0.022810985,0.022810985
44,F,2030,2030,Algarrobo 110,0,F,EtaMes,0.022810985,0.022810985,0.022810985,0.022810985,0.022810985,0.022810985,0.022810985,0.022810985,0.022810985,0.022658165,0.022658165,0.022658165
45,F,2031,*,Algarrobo 110,0,F,EtaMes,0.022658165,0.022658165,0.022658165,0.022658165,0.022658165,0.022658165,0.022658165,0.022658165,0.022658165,0.022813424,0.022813424,0.022813424
46,F,2017,2017,Alonso de Cordova 110,0,F,EtaMes,5.089338899,4.867804404,5.091902728,5.01252296,5.196395551,5.15680358,5.584646367,5.614751542,6.11898891,6.529306305,5.386361192,5.848303371
47,F,2018,2018,Alonso de Cordova 110,0,F,EtaMes,5.261183682,5.032168933,5.26383408,5.181774004,5.371855171,5.330926351,5.773215524,5.804337219,6.325600484,5.414575372,4.351916221,4.706039506
48,F,2019,2019,Alonso de Cordova 110,0,F,EtaMes,4.195205068,3.918105051,4.183329903,4.055980556,4.220526275,4.280850671,4.658674999,4.675812833,5.148689826,4.227503546,3.263494013,3.506117452
49,F,2020,2020,Alonso de Cordova 110,0,F,EtaMes,3.079262096,2.76094164,3.053530533,2.884744466,3.021305437,3.178657552,3.486568451,3.489807984,3.906507815,4.2178397,3.256033841,3.498102656
50,F,2021,2021,Alonso de Cordova 110,0,F,EtaMes,3.072223068,2.754630277,3.046550326,2.878150096,3.014398896,3.171391312,3.478598343,3.481830471,3.897577749,4.180702982,3.227365514,3.467302991
51,F,2022,2022,Alonso de Cordova 110,0,F,EtaMes,3.045173135,2.730376646,3.019726433,2.852808913,2.987858086,3.143468235,3.447970407,3.451174077,3.863260834,4.125515927,3.184762917,3.421533118
52,F,2023,2023,Alonso de Cordova 110,0,F,EtaMes,3.004975556,2.694334514,2.979864761,2.815150623,2.94841709,3.101973118,3.402455733,3.405617113,3.81226415,4.040279759,3.118963393,3.350841749
53,F,2024,2024,Alonso de Cordova 110,0,F,EtaMes,2.94289057,2.638667598,2.918298582,2.756987558,2.887500642,3.037884091,3.332158516,3.335254579,3.733499992,3.988519528,3.079006193,3.307913943
54,F,2025,2025,Alonso de Cordova 110,0,F,EtaMes,2.905189048,2.604863492,2.880912109,2.721667649,2.850508724,2.998965603,3.289470062,3.292526462,3.685669932,3.966591859,3.062078753,3.289728038
