DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,Agua Santa 110,0,F,EtaMes,3.115837909,3.00846155,3.088015942,3.022080932,2.746503512,2.483300923,2.397268664,2.419730365,3.079929167,3.197241585,3.238693207,3.797548683
2,F,2018,2018,Agua Santa 110,0,F,EtaMes,3.297813111,3.184936191,3.268595716,3.199438036,2.908980757,2.630373852,2.540281947,2.564112143,3.26113525,3.261592256,3.307824702,3.881268503
3,F,2019,2019,Agua Santa 110,0,F,EtaMes,3.367925895,3.249854049,3.337254976,3.264348464,2.96330957,2.678896967,2.583389583,2.6075209,3.3256509,3.319697387,3.366706949,3.950327259
4,F,2020,2020,Agua Santa 110,0,F,EtaMes,3.4278813,3.30774046,3.396674181,3.32249662,3.016150545,2.726673479,2.62950709,2.65407041,3.384910445,3.347383917,3.39421667,3.982222935
5,F,2021,2021,Agua Santa 110,0,F,EtaMes,3.455931291,3.335209811,3.424588654,3.350132182,3.04191377,2.750051012,2.652593487,2.677387398,3.413302444,3.383541002,3.430197806,4.023978397
6,F,2022,2022,Agua Santa 110,0,F,EtaMes,3.492615084,3.371094619,3.461083419,3.386229885,3.075500362,2.780519262,2.682631372,2.707723936,3.450365224,3.41650226,3.462848347,4.061765658
7,F,2023,2023,Agua Santa 110,0,F,EtaMes,3.525914122,3.403776628,3.4942431,3.419117372,3.106279065,2.808462793,2.710319781,2.7356914,3.484194822,3.466456979,3.512723988,4.119757941
8,F,2024,2024,Agua Santa 110,0,F,EtaMes,3.576751886,3.453389033,3.544783733,3.469011474,3.152507005,2.850374186,2.751486876,2.777263697,3.535354263,3.542675818,3.589107237,4.208766502
9,F,2025,2025,Agua Santa 110,0,F,EtaMes,3.654588035,3.52914444,3.622104018,3.545175064,3.222734854,2.914001712,2.813718587,2.840100754,3.613330243,3.643190749,3.690104183,4.326637752
10,F,2026,2026,Agua Santa 110,0,F,EtaMes,3.757486998,3.629102969,3.724264519,3.645651779,3.315065491,2.997614738,2.895248803,2.922417285,3.716087109,3.733601069,3.780722328,4.432242799
11,F,2027,2027,Agua Santa 110,0,F,EtaMes,3.849827887,3.718966213,3.815990685,3.735998235,3.398355648,3.073074988,2.969041663,2.996927623,3.808578103,3.824209032,3.871625454,4.538239126
12,F,2028,2028,Agua Santa 110,0,F,EtaMes,3.94245293,3.809043844,3.907980609,3.826553546,3.481734979,3.148602933,3.042819268,3.071420346,3.901246611,3.911831311,3.9592883,4.640290573
13,F,2029,2029,Agua Santa 110,0,F,EtaMes,4.031793897,3.896102707,3.996761084,3.914092919,3.56262866,3.221916241,3.11466342,3.143967126,3.99093109,3.912838171,3.959241075,4.639516131
14,F,2030,2030,Agua Santa 110,0,F,EtaMes,4.031821698,3.896885355,3.997013706,3.914961066,3.564685842,3.223939277,3.117632119,3.146991598,3.99226119,3.89812023,3.943265554,4.620065125
15,F,2031,*,Agua Santa 110,0,F,EtaMes,4.015630419,3.8820038,3.981190863,3.90009366,3.552435558,3.213025084,3.108106341,3.137404373,3.977552139,3.936705307,3.981182102,4.663736841
16,F,2017,2017,Alto Jahuel 110,0,F,EtaMes,27.09589467,29.43813763,27.34415294,29.44076345,28.81872463,27.49537821,28.58622087,28.8096593,30.36640158,30.47110205,27.84262993,29.43342052
17,F,2018,2018,Alto Jahuel 110,0,F,EtaMes,28.68182709,31.1560374,28.95984622,31.16284957,30.50920559,29.10949911,30.27864283,30.50279077,32.14966369,30.83539315,28.16986871,29.7602927
18,F,2019,2019,Alto Jahuel 110,0,F,EtaMes,29.01479282,31.55143332,29.29822505,31.54309137,30.86380579,29.47238336,30.63962708,30.86209027,32.53625685,29.56706604,26.85924537,29.34720714
19,F,2020,2020,Alto Jahuel 110,0,F,EtaMes,27.44463388,29.97403605,28.38731702,29.97046083,29.36740579,28.3471854,29.90435942,29.54462738,31.17511149,29.78935441,27.01113991,29.56942355
20,F,2021,2021,Alto Jahuel 110,0,F,EtaMes,27.65214237,30.19868343,28.60205869,30.19652801,29.58874617,28.55997152,30.13021648,29.76739437,31.40942628,29.07570645,26.35352127,28.84373308
21,F,2022,2022,Alto Jahuel 110,0,F,EtaMes,26.9779679,29.51177298,27.92561271,29.49955332,28.86201253,27.90468503,29.43293442,29.05447264,30.66450443,29.40625256,26.65451602,29.17539799
22,F,2023,2023,Alto Jahuel 110,0,F,EtaMes,27.28714993,29.84315699,28.24418925,29.83377711,29.19245049,28.21885972,29.76696816,29.38589318,31.01270057,29.87859974,27.13579848,29.6477108
23,F,2024,2024,Alto Jahuel 110,0,F,EtaMes,27.72773588,30.31852019,28.69892971,30.3119291,29.6636232,28.66907848,30.24459714,29.85915372,31.51068497,30.59276676,27.73296161,30.36056674
