DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,Agua Santa 110,0,EtaMes,0.045531342,0.045883712,0.044918029,0.046082816,0.046579217,0.047524435,0.046985779,0.044565784,0.044173435,0.046813471,0.04559782,0.045431258
2,F,2018,2018,Agua Santa 110,0,EtaMes,0.047499881,0.047680417,0.046706634,0.048453353,0.049040533,0.050225389,0.049531748,0.046912936,0.046257756,0.048288656,0.046966589,0.046187052
3,F,2019,2019,Agua Santa 110,0,EtaMes,0.048129344,0.047923704,0.046914021,0.048104919,0.04882744,0.050258182,0.049508351,0.046805698,0.046241714,0.048404041,0.047080309,0.046281107
4,F,2020,2020,Agua Santa 110,0,EtaMes,0.048245954,0.048059039,0.04705267,0.048256012,0.048967844,0.050391265,0.049627902,0.046912575,0.046332178,0.048405748,0.047088862,0.046265496
5,F,2021,2021,Agua Santa 110,0,EtaMes,0.048240166,0.048064167,0.047055798,0.048270144,0.048974556,0.05039649,0.049623975,0.046901846,0.046310991,0.048307744,0.046988674,0.046179517
6,F,2022,2022,Agua Santa 110,0,EtaMes,0.048139313,0.047963329,0.04694871,0.048159722,0.048869868,0.050287442,0.049526591,0.046812836,0.046219114,0.048194537,0.046874674,0.046078924
7,F,2023,2023,Agua Santa 110,0,EtaMes,0.04802035,0.047843036,0.046820099,0.048028701,0.048744713,0.050158985,0.049411179,0.04670796,0.046113019,0.04806015,0.04673967,0.04595682
8,F,2024,2024,Agua Santa 110,0,EtaMes,0.047877766,0.047698862,0.046667724,0.047873415,0.048594931,0.050005821,0.049272479,0.046582001,0.045986599,0.047966093,0.046645146,0.045872056
9,F,2025,2025,Agua Santa 110,0,EtaMes,0.047777295,0.047596679,0.046558951,0.047762613,0.048488287,0.049897333,0.049175301,0.046494494,0.045898901,0.047874526,0.046553983,0.04578804
10,F,2026,2026,Agua Santa 110,0,EtaMes,0.047679963,0.047497708,0.046455261,0.047656635,0.048385312,0.049792628,0.049079148,0.046406915,0.045812607,0.047771511,0.046451695,0.045693015
