DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegSisGbl,DemVegSisPri,DemVegSisSec,DemVegSisCmr,DemVegIBlo,DemVegEtaTip,MesAbr,MesMay,MesJun,MesJul,MesAgo,MesSep,MesOct,MesNov,MesDic,MesEne,MesFeb,MesMar
1,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,0,0,0,0,0,0,0,0,0,1.025492438,1.028937555,1.012605279
2,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,0,0,0,0,0,0,0,0,0,1.03773418,1.031712904,1.026575927
3,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,0,0,0,0,0,0,0,0,0,1.021413611,1.028539179,1.012997438
4,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,0,0,0,0,0,0,0,0,0,1.04347373,1.032283909,1.024878977
5,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,0,0,0,0,0,0,0,0,0,0.982910637,1.018978167,1.010904003
6,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,0,0,0,0,0,0,0,0,0,1.039911659,1.009111733,1.006133221
7,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,0,0,0,0,0,0,0,0,0,0.927542723,0.976750362,0.988628821
8,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0,0,0,0,0,0,0,0,0,0.997308819,0.974532739,0.974303499
9,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,0,0,0,0,0,0,0,0,0,0.931873636,0.996242307,0.999600609
10,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0,0,0,0,0,0,0,0,0,0.978323506,0.954697432,0.956707547
11,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,0,0,0,0,0,0,0,0,0,0.963933964,1.012803346,1.000033137
12,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0,0,0,0,0,0,0,0,0,0.982397825,0.977162017,0.966500698
13,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,0,0,0,0,0,0,0,0,0,0.976025807,1.013467306,1.024658387
14,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0,0,0,0,0,0,0,0,0,0.989853322,0.979764737,0.978966149
15,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,0,0,0,0,0,0,0,0,0,1.031297295,1.058350947,1.046371284
16,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0,0,0,0,0,0,0,0,0,1.035533034,1.032500802,1.027860535
17,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066241147,1.053779687,1.027157032,1.058997285,1.032172453,1.082299423,1.016598738,1.050038566,1.135723703,1.025487554,1.028988254,1.012598461
18,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015494348,0.985456206,1.025879996,1.004395236,1.009590467,0.981730787,1.026007786,1.028505316,0.970974084,1.037721642,1.031722637,1.026577449
19,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.050999788,1.039270898,1.029455695,1.057319395,1.047323074,1.093980296,1.030825372,1.031744831,1.128054443,1.021433249,1.028538942,1.012994356
20,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046390672,1.027270357,1.032257661,1.020258925,1.034208492,1.034047645,1.021953237,1.02365421,0.963460139,1.043463758,1.032274649,1.024884581
21,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.024981422,1.027174983,1.014251463,1.021835125,1.02501597,1.045822432,1.011156438,0.991400614,1.101536592,0.98293133,1.018975019,1.010869906
22,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026465232,0.993964724,1.003659582,0.997759943,1.015877212,1.019358237,1.006801204,1.016745058,0.964936979,1.03991783,1.009128671,1.006106623
23,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008545777,1.036873793,1.001428527,1.006920545,0.992429389,1.030449251,0.986666086,0.969749399,1.082030866,0.927569095,0.976739708,0.988621735
24,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.971962378,0.968784615,0.956176406,0.967710455,0.966346336,0.966969859,0.966741761,0.961419216,0.924295279,0.997320936,0.974544499,0.974296339
25,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034279789,1.050901585,1.003899966,1.017837189,0.997245902,1.057481,0.995308612,0.995788932,1.094968436,0.931875046,0.996243509,0.999606421
26,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.962480474,0.965949694,0.951691759,0.982142005,0.959799451,0.918450513,0.96594214,0.949629921,0.918873333,0.978323258,0.954697754,0.956708295
27,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.050459516,1.049647836,1.004470875,1.025998778,1.007807633,1.04407236,1.001862368,1.019585306,1.104084999,0.963973959,1.012813028,1.0000525
28,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0.946515305,0.943634545,0.967016182,0.979226883,0.971367061,0.899780821,0.969140624,0.967281197,0.93157644,0.982382283,0.977163345,0.966499024
29,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,1.020488633,1.062185323,0.992211337,1.034326085,1.013052079,1.049785831,0.998298045,1.037461623,1.11115322,0.97599707,1.013454902,1.024586824
30,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0.913571634,0.917883696,0.973326239,0.958685439,0.93786088,0.85594504,0.983086954,0.994286233,0.950443347,0.989863048,0.979756516,0.978965527
31,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,1.050402645,1.066585271,1.001000344,1.038272234,1.019680475,1.104295426,1.021293681,1.063432192,1.145099915,1.031266104,1.058321897,1.046388916
32,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0.951168366,0.932212252,0.987242167,0.950435813,0.960146306,0.915157615,1.016365298,1.036617716,0.984971619,1.03553308,1.032492886,1.027865501
33,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066251171,1.053786007,1.027160829,1.05900071,1.03216603,1.08230299,1.016577417,1.05007566,1.135719872,1.025467668,1.028956269,1.012588583
34,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015493491,0.985454447,1.025882615,1.004411919,1.00959593,0.981733708,1.026006913,1.028522555,0.970983718,1.037732865,1.031710408,1.026574323
35,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.050993878,1.039270797,1.029455803,1.057319375,1.047317511,1.093967896,1.030844391,1.031748942,1.128059278,1.021415291,1.028553073,1.012987367
36,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046392947,1.027274983,1.032259158,1.020256316,1.034207344,1.034048303,1.02194925,1.023654028,0.96345554,1.043468821,1.032281085,1.024887842
37,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.024960261,1.027210364,1.014262491,1.02189125,1.025021429,1.045796278,1.011132856,0.991390162,1.101545412,0.982890687,1.018969413,1.010918
38,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026469746,0.993978286,1.003651866,0.997754816,1.015880765,1.019359059,1.006809531,1.016732823,0.964949372,1.039921149,1.00913143,1.006108339
39,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008548361,1.036861759,1.001429517,1.00693938,0.992421989,1.030444227,0.986650848,0.969740564,1.082026001,0.927562225,0.976726875,0.98860764
40,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.971958346,0.968784317,0.956176398,0.967711875,0.966343694,0.966971517,0.966748063,0.961424593,0.924287622,0.997304872,0.974543414,0.974297888
41,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034279581,1.050904311,1.003920581,1.017808008,0.997217318,1.057476105,0.995299182,0.995790259,1.094964582,0.931877042,0.996239791,0.999601151
42,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.96248158,0.965945458,0.951688126,0.982139692,0.959803275,0.91845689,0.965941227,0.949631352,0.91887294,0.978323956,0.954697308,0.956706923
43,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.050471556,1.049623557,1.004414437,1.025974491,1.007811036,1.044072073,1.001854879,1.019566219,1.104086033,0.963979592,1.012828428,1.000059214
44,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0.946517027,0.943641172,0.967026689,0.979232839,0.971384132,0.89978339,0.969157206,0.967266826,0.931576049,0.982384754,0.977173492,0.966495324
45,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,1.02050678,1.062156649,0.992213307,1.03426107,1.012984713,1.04979179,0.998299247,1.037496436,1.111165693,0.976028661,1.013448729,1.024659889
46,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0.91356827,0.917895405,0.973345131,0.958671971,0.93789853,0.855957535,0.983089324,0.994284962,0.950431534,0.989855865,0.979753947,0.978988318
47,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,1.050416575,1.066547805,1.000993763,1.038284264,1.019671778,1.104303175,1.021299741,1.063391741,1.145092287,1.031285082,1.05831721,1.046377462
48,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0.951155445,0.93220587,0.98723481,0.950430428,0.960155226,0.915159873,1.016362766,1.036627996,0.984977792,1.035537213,1.032496123,1.027863635
49,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066254519,1.053796814,1.027156959,1.058962083,1.032161877,1.082301981,1.01659286,1.050047257,1.135717217,1.025458346,1.028946287,1.012584505
50,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015489235,0.985457748,1.025879645,1.004413533,1.009593186,0.981723746,1.026012202,1.028508217,0.970974437,1.037742581,1.031703891,1.026572874
51,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.050979047,1.039268799,1.029444895,1.057318843,1.04732423,1.093978827,1.030832459,1.031737802,1.128053768,1.021437964,1.028556625,1.012990757
52,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046392783,1.027275082,1.032259196,1.020254546,1.034208131,1.034044521,1.021952062,1.023651126,0.963458526,1.043466997,1.032279392,1.024879895
53,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.024970895,1.027186676,1.014243455,1.021844183,1.025039651,1.045823851,1.011154622,0.991406141,1.101560984,0.982904957,1.01899493,1.010943869
54,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026473084,0.993975574,1.003652978,0.997770273,1.015882503,1.019363257,1.006809235,1.01673422,0.964944602,1.039921277,1.009115511,1.00611962
55,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008553084,1.036881843,1.001442242,1.006939027,0.992428693,1.030451153,0.98664677,0.969756905,1.082013201,0.927559446,0.976731639,0.988639041
56,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.971959573,0.968786945,0.956174796,0.967709519,0.966332885,0.966964608,0.966749386,0.961432884,0.924289547,0.997308555,0.974537545,0.97430106
57,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034269009,1.050901525,1.003912651,1.017803745,0.99724767,1.057473473,0.995305018,0.995790238,1.09496922,0.931878186,0.996231844,0.999602652
58,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.962482743,0.965948839,0.951683142,0.982142793,0.959796691,0.91845043,0.965948043,0.949630067,0.918869823,0.978325832,0.954699918,0.956705246
59,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.050474292,1.049641743,1.004474108,1.026019947,1.007803523,1.044094422,1.001852371,1.019565405,1.104075553,0.96395173,1.012820293,1.000058384
60,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0.946504478,0.943626382,0.967038983,0.979216595,0.971371624,0.899788278,0.969142439,0.967281738,0.931573815,0.982378083,0.977175253,0.966502183
61,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,1.020507801,1.06215116,0.992262425,1.034313478,1.013055953,1.049811144,0.998256694,1.037484936,1.111170231,0.976012875,1.01347972,1.02461583
62,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0.913581911,0.917883463,0.973313261,0.95866994,0.937860978,0.855955862,0.983083617,0.994279708,0.95044734,0.989853999,0.979765004,0.978963199
63,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,1.05042116,1.066571448,1.001000095,1.038286253,1.019685233,1.104288142,1.021279763,1.063423331,1.145116917,1.031271365,1.058320773,1.046386801
64,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0.95116078,0.932196778,0.987240897,0.950437042,0.960152842,0.915140748,1.016366809,1.036620323,0.984979904,1.035535406,1.032495204,1.027861945
65,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.0662378,1.053779507,1.027153014,1.058964372,1.032163443,1.082303375,1.016574746,1.050068191,1.13571756,1.025486305,1.028931675,1.012593154
66,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.01548991,0.985454838,1.025877991,1.004405381,1.009596777,0.981730233,1.026006734,1.028517367,0.970976366,1.037731164,1.031701764,1.026574845
67,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.050988227,1.039269855,1.029445342,1.057321177,1.047318654,1.093971513,1.030834579,1.031746305,1.128059623,1.021425323,1.028554989,1.012995976
68,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046390483,1.027277135,1.032259888,1.02025593,1.034210409,1.03404572,1.021954623,1.02364693,0.963466154,1.043468362,1.032281281,1.024882742
69,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.025007474,1.027180852,1.01425358,1.021880452,1.025020955,1.045801775,1.011148682,0.991436189,1.101528018,0.98290905,1.01896399,1.010881161
70,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026477818,0.993971181,1.003653257,0.997759608,1.015875286,1.019356838,1.006806575,1.016722161,0.964943403,1.039918729,1.009123799,1.00612283
71,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008551285,1.036863446,1.001435531,1.006923645,0.992436431,1.030458729,0.986644994,0.969762499,1.082032459,0.927568708,0.976775183,0.988637848
72,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.971958379,0.968788299,0.95617561,0.967716134,0.966335269,0.966973297,0.966752045,0.961423943,0.924296664,0.997323129,0.974538249,0.97430243
73,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034275312,1.050888968,1.003904192,1.01780981,0.997222719,1.057486927,0.995302503,0.995790586,1.094967792,0.931871115,0.996238661,0.999602153
74,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.962482825,0.965950648,0.951696074,0.982138224,0.959806557,0.918444648,0.965953217,0.949632014,0.918869753,0.978324926,0.954698914,0.956709819
75,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.050474773,1.049650166,1.004446755,1.026025785,1.007780466,1.044100429,1.001834516,1.019564478,1.104073433,0.963940984,1.012821114,1.000055327
76,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0.94650975,0.943625759,0.967050605,0.979220195,0.971378405,0.899788048,0.9691556,0.9672724,0.931569276,0.982381649,0.977157664,0.966492723
77,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,1.020489082,1.062166343,0.992239089,1.034316449,1.01305113,1.049807671,0.998257461,1.037486638,1.111160097,0.975997813,1.013458583,1.024627453
78,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0.913574033,0.917893655,0.973317207,0.95868705,0.937882598,0.855947054,0.983089147,0.994286697,0.950439501,0.989873027,0.979753899,0.978955021
79,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,1.050423428,1.066566227,1.001008263,1.038265719,1.019684613,1.104281669,1.02127503,1.063386944,1.145089312,1.031270892,1.0583518,1.046379827
80,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0.951158839,0.932214131,0.987233946,0.950437125,0.960150585,0.915153887,1.016364238,1.036626571,0.984984409,1.035529841,1.032497634,1.027862615
81,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066263206,1.053795118,1.027159911,1.058997807,1.032179152,1.082316902,1.016598333,1.050071259,1.135721001,1.02547881,1.028960345,1.012588802
82,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015488768,0.985458626,1.025875011,1.00441123,1.009590365,0.981735209,1.026006811,1.028503563,0.970980262,1.037728496,1.03171799,1.026576369
83,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.050976279,1.039260013,1.029454376,1.057320037,1.047314395,1.093966416,1.030844937,1.031733967,1.128067612,1.021429583,1.028539972,1.012993039
84,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046396517,1.027275893,1.032260179,1.020256565,1.034211387,1.034050588,1.021951967,1.023648456,0.96345834,1.043466379,1.032278487,1.024883445
85,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.024968649,1.027202483,1.014258462,1.021870373,1.025008156,1.045796365,1.011154835,0.991401425,1.101542853,0.982937538,1.018983499,1.010932893
86,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026462147,0.993979386,1.003658033,0.99776903,1.015883495,1.019367815,1.006811877,1.016745843,0.964936099,1.03992386,1.009118752,1.006111273
87,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008564981,1.036865024,1.00143568,1.006932805,0.992429308,1.030464912,0.986642396,0.969754553,1.082014479,0.927565586,0.976722027,0.988614639
88,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.971956218,0.968784155,0.956172439,0.967713079,0.966339258,0.966976307,0.966741598,0.961425178,0.924291094,0.997313845,0.974547299,0.974308674
89,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034274814,1.050904614,1.003926813,1.017811252,0.997244346,1.057489213,0.995308578,0.995800475,1.094975616,0.931865711,0.996227322,0.999609392
90,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.96248085,0.965949364,0.951691676,0.982145102,0.959804375,0.918443221,0.965949209,0.949634204,0.918869985,0.978322523,0.954696097,0.956709763
91,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.05047995,1.049624534,1.00442504,1.025983617,1.007778729,1.044062984,1.001820739,1.019572447,1.104073014,0.963959838,1.012818032,1.000047721
