DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegSis,DemVegFPot,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,SIC,F,EtaMes,2451.595385,2561.20638,2626.69023,2673.814299,2541.749039,2347.452446,2444.21796,2509.749037,2639.41504,2656.441741,2529.624748,2651.894567
2,F,2018,2018,SIC,F,EtaMes,2415.229488,2533.018064,2595.627205,2613.32534,2481.157092,2283.009167,2383.400407,2450.753885,2590.8949,2657.417374,2534.589826,2690.911869
3,F,2019,2019,SIC,F,EtaMes,2458.753199,2599.493601,2665.326703,2715.178756,2570.410815,2353.529449,2459.759498,2533.85715,2673.660508,2744.856053,2618.461848,2779.255131
4,F,2020,2020,SIC,F,EtaMes,2538.241,2682.344305,2749.661255,2800.940542,2652.164712,2429.245382,2539.408959,2616.221249,2761.626043,2854.228112,2723.041744,2889.724353
5,F,2021,2021,SIC,F,EtaMes,2638.268168,2787.294883,2857.045727,2910.105849,2755.823782,2524.619083,2639.513696,2719.70658,2871.683001,2976.215237,2839.422261,3013.080676
6,F,2022,2022,SIC,F,EtaMes,2750.657168,2905.769894,2978.49793,3033.769627,2872.964758,2632.024044,2752.02041,2835.866841,2994.648896,3099.533076,2957.011833,3137.730003
7,F,2023,2023,SIC,F,EtaMes,2864.23924,3025.513723,3101.365146,3158.768943,2991.363991,2740.545244,2865.728942,2953.300946,3118.934132,3226.164821,3077.78571,3265.769588
8,F,2024,2024,SIC,F,EtaMes,2980.872671,3148.438335,3227.499149,3287.069275,3112.897905,2851.943339,2982.45634,3073.877762,3246.564129,3332.651845,3179.337268,3373.395115
9,F,2025,2025,SIC,F,EtaMes,3078.915039,3251.786983,3333.559345,3394.94849,3215.082458,2945.595478,3080.563803,3175.220447,3353.832178,3406.967145,3250.179923,3448.547393
10,F,2026,2026,SIC,F,EtaMes,3147.440224,3324.043989,3407.768713,3470.41984,3286.544975,3011.063145,3149.156478,3246.083475,3428.767838,3489.307649,3328.671466,3531.822992
11,F,2027,2027,SIC,F,EtaMes,3223.354247,3404.092051,3489.978056,3554.038837,3365.722389,3083.60213,3225.165719,3324.596697,3511.790587,3571.124879,3406.67132,3614.579328
12,F,2028,2028,SIC,F,EtaMes,3298.768582,3483.598351,3571.635245,3637.078131,3444.355073,3155.647076,3300.66708,3402.601841,3594.293322,3656.523404,3488.092324,3700.963671
13,F,2029,2029,SIC,F,EtaMes,3377.477619,3566.567067,3656.844436,3723.726683,3526.409407,3230.832021,3379.457083,3484.008243,3680.400895,3741.616264,3569.229132,3787.043424
14,F,2030,2030,SIC,F,EtaMes,3455.881923,3649.197169,3741.703228,3810.008546,3608.123892,3305.709303,3457.924438,3565.095873,3766.195493,3843.086004,3665.999177,3889.692102
15,F,2031,*,SIC,F,EtaMes,3549.363303,3747.729075,3842.852151,3912.870384,3705.546969,3394.982694,3551.437907,3661.716225,3868.442429,3942.2663,3760.591435,3990.036345
