DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,Abanico 154,0,EtaMes,0.000226506,0.000230519,0.000224417,0.000116434,0.000040271,0.000054881,0.00003523,0.000157148,0.000226933,0.000247558,0.000243689,0.000237736
2,F,2018,2018,Abanico 154,0,EtaMes,0.000239797,0.0002431,0.000236862,0.000124248,0.000043027,0.000058855,0.000037681,0.000167846,0.000241118,0.00025598,0.000251578,0.000242349
3,F,2019,2019,Abanico 154,0,EtaMes,0.000243655,0.000245032,0.000238603,0.000123701,0.000042962,0.000059055,0.000037767,0.000167926,0.000241691,0.000257058,0.000252592,0.000243386
4,F,2020,2020,Abanico 154,0,EtaMes,0.000244818,0.00024631,0.000239901,0.000124381,0.000043189,0.000059346,0.000037946,0.000168698,0.00024271,0.000257422,0.000252927,0.000243755
5,F,2021,2021,Abanico 154,0,EtaMes,0.000245268,0.00024683,0.000240424,0.000124662,0.000043282,0.000059464,0.000038015,0.000168985,0.000243052,0.000257898,0.000253394,0.000244217
6,F,2022,2022,Abanico 154,0,EtaMes,0.000245754,0.000247342,0.000240921,0.000124921,0.000043371,0.000059585,0.000038089,0.000169301,0.000243482,0.000258318,0.000253812,0.00024463
7,F,2023,2023,Abanico 154,0,EtaMes,0.000246188,0.000247798,0.000241356,0.000125153,0.000043451,0.000059694,0.000038156,0.000169581,0.000243863,0.000258652,0.000254144,0.000244958
8,F,2024,2024,Abanico 154,0,EtaMes,0.000246538,0.000248173,0.000241711,0.000125343,0.000043517,0.000059783,0.00003821,0.000169805,0.000244163,0.000258886,0.000254376,0.000245191
9,F,2025,2025,Abanico 154,0,EtaMes,0.000246788,0.00024844,0.000241964,0.000125479,0.000043564,0.000059846,0.000038248,0.000169964,0.000244376,0.000259116,0.000254606,0.000245414
10,F,2026,2026,Abanico 154,0,EtaMes,0.000247018,0.00024868,0.000242188,0.000125599,0.000043605,0.000059904,0.000038283,0.000170112,0.000244582,0.000259323,0.000254814,0.000245615
11,F,2027,2027,Abanico 154,0,EtaMes,0.000247228,0.0002489,0.000242392,0.000125708,0.000043644,0.000059956,0.000038315,0.000170245,0.000244767,0.000259499,0.000254991,0.000245786
12,F,2028,2028,Abanico 154,0,EtaMes,0.000247408,0.000249092,0.000242569,0.000125804,0.000043677,0.000060002,0.000038343,0.000170359,0.000244923,0.000259649,0.000255141,0.000245931
13,F,2029,2029,Abanico 154,0,EtaMes,0.000247563,0.000249259,0.000242722,0.000125888,0.000043706,0.000060042,0.000038366,0.000170455,0.000245053,0.000259752,0.000255246,0.000246033
14,F,2030,2030,Abanico 154,0,EtaMes,0.000247676,0.000249384,0.000242834,0.00012595,0.000043728,0.000060071,0.000038384,0.000170523,0.000245142,0.000259787,0.000255282,0.000246069
15,F,2031,*,Abanico 154,0,EtaMes,0.000247726,0.000249446,0.000242887,0.000125982,0.000043739,0.000060086,0.000038392,0.000170548,0.000245167,0.00025981,0.000255306,0.000246093
16,F,2017,2017,Agua Santa 110,0,EtaMes,0.020304827,0.020234481,0.019541236,0.020069034,0.020520648,0.020990641,0.02105926,0.020171111,0.020181173,0.021730544,0.021246307,0.020830348
17,F,2018,2018,Agua Santa 110,0,EtaMes,0.021321678,0.021164638,0.020455524,0.021243388,0.021745345,0.022330308,0.022341801,0.021369431,0.02127027,0.022469815,0.021940512,0.021222216
18,F,2019,2019,Agua Santa 110,0,EtaMes,0.021650976,0.02131839,0.020590887,0.021138093,0.021696856,0.022394835,0.022378507,0.021365591,0.021308728,0.022598391,0.022071521,0.021327042
19,F,2020,2020,Agua Santa 110,0,EtaMes,0.021767183,0.021441017,0.020712394,0.021269459,0.021821992,0.022522424,0.02249682,0.021475435,0.021412607,0.022687175,0.022166656,0.021393002
20,F,2021,2021,Agua Santa 110,0,EtaMes,0.021840697,0.02151797,0.020786504,0.02135331,0.02190011,0.022606082,0.022571552,0.02154315,0.021476637,0.02270614,0.022179754,0.021418518
