EmbNum,EmbNom,EmbFun,EmbFTip,EmbCnv01,EmbCnv02,EmbCnv03,EmbCnv04
1,Lago Laja,Cot2Vol,EscPol,1300,1,1,
2,Lago Laja,Cot2Vol,DatPol,0,57.95726,,
3,Lago Laja,Cot2Vol,DatPol,1,31.95127,,
4,Lago Laja,Cot2Vol,DatPol,2,1.4632272,,
5,Lago Laja,Cot2Vol,DatPol,3,-0.025854262,,
6,Lago Laja,Cot2Vol,DatPol,4,0.000315314,,
7,Lago Laja,Cot2Vol,DatPol,5,-1.40E-06,,
8,Lago Laja,Vol2Cot,EscPol,0.5,0.001,1,
9,Lago Laja,Vol2Cot,DatPol,0,1310.040706,,
10,Lago Laja,Vol2Cot,DatPol,1,17.54931379,,
11,Lago Laja,Vol2Cot,DatPol,2,-2.883438426,,
12,Lago Laja,Vol2Cot,DatPol,3,0.740946971,,
13,Lago Laja,Vol2Cot,DatPol,4,-0.122189724,,
14,Lago Laja,Vol2Cot,DatPol,5,0.008144203,,
15,Lago Laja,Vol2Fil,EscTra,0,1,1,
16,Lago Laja,Vol2Fil,DatTra,0,0,0.005523884,15.31563332
17,Lago Laja,Vol2Fil,DatTra,1,3300,0.006746471,33.5444521
18,Lago Laja,Vol2Are,EscTra,0,1.00E+00,1.00E+06,
19,Lago Laja,Vol2Are,DatTra,0,0,0.001689791,31.7058178
20,Lago Rapel,Cot2Vol,EscPol,0,1,1,
21,Lago Rapel,Cot2Vol,DatPol,0,-39532.8,,
22,Lago Rapel,Cot2Vol,DatPol,1,1376.6,,
23,Lago Rapel,Cot2Vol,DatPol,2,-16.11014,,
24,Lago Rapel,Cot2Vol,DatPol,3,0.06309246,,
25,Lago Rapel,Vol2Cot,EscPol,0,1,1,
26,Lago Rapel,Vol2Cot,DatPol,0,97.39999385,,
27,Lago Rapel,Vol2Cot,DatPol,1,0.023465353,,
28,Lago Rapel,Vol2Cot,DatPol,2,-1.36E-05,,
29,Lago Chapo,Cot2Vol,EscTra,0,1,1,
30,Lago Chapo,Cot2Vol,DatTra,0,0,44.9739,-9894.258
31,Lago Chapo,Cot2Vol,DatTra,1,230,46.3472,449.739
32,Lago Chapo,Cot2Vol,DatTra,2,240,50.7525,913.211
33,Lago Chapo,Vol2Cot,EscTra,0,1,1,
34,Lago Chapo,Vol2Cot,DatTra,0,0,0.022235119,220
35,Lago Chapo,Vol2Cot,DatTra,1,449.739,0.021576276,230.0000028
36,Lago Chapo,Vol2Cot,DatTra,2,913.211,0.019715117,240.0000017
37,Laguna Invernada,Cot2Vol,EscPol,0,1,1,
38,Laguna Invernada,Cot2Vol,DatPol,0,134744.8898,,
39,Laguna Invernada,Cot2Vol,DatPol,1,-211.9102542,,
40,Laguna Invernada,Cot2Vol,DatPol,2,0.083313268,,
41,Laguna Invernada,Vol2Cot,EscPol,0,1,1,
42,Laguna Invernada,Vol2Cot,DatPol,0,1281,,
43,Laguna Invernada,Vol2Cot,DatPol,1,0.4319,,
44,Laguna Invernada,Vol2Cot,DatPol,2,-0.0022,,
45,Laguna Invernada,Vol2Cot,DatPol,3,5.45E-06,,
46,Laguna Invernada,Vol2Fil,EscTra,0,1,1,
47,Laguna Invernada,Vol2Fil,DatTra,0,0,0.039489864,10.56252134
48,Laguna Invernada,Vol2Fil,DatTra,1,97.994,0.075367073,14.27951618
49,Laguna Del Maule,Cot2Vol,EscPol,2152,1,1,
50,Laguna Del Maule,Cot2Vol,DatPol,0,-9.09,,
51,Laguna Del Maule,Cot2Vol,DatPol,1,42.4449,,
52,Laguna Del Maule,Cot2Vol,DatPol,2,2.87E-01,,
53,Laguna Del Maule,Vol2Cot,EscPol,0,1,1,
54,Laguna Del Maule,Vol2Cot,DatPol,0,2152.298,,
55,Laguna Del Maule,Vol2Cot,DatPol,1,0.0227,,
56,Laguna Del Maule,Vol2Cot,DatPol,2,-0.000002117,,
57,Embalse Colbun,Cot2Vol,EscPol,0,1,1,
58,Embalse Colbun,Cot2Vol,DatPol,0,-264712.9721,,
59,Embalse Colbun,Cot2Vol,DatPol,1,2033.927515,,
60,Embalse Colbun,Cot2Vol,DatPol,2,-5.240615651,,
61,Embalse Colbun,Cot2Vol,DatPol,3,0.004532342,,
62,Embalse Colbun,Vol2Cot,EscPol,0,1,1,
63,Embalse Colbun,Vol2Cot,DatPol,0,364.8333431,,
64,Embalse Colbun,Vol2Cot,DatPol,1,0.111382266,,
65,Embalse Colbun,Vol2Cot,DatPol,2,-0.00008523,,
66,Embalse Colbun,Vol2Cot,DatPol,3,0.000000044,,
67,Embalse Colbun,Vol2Cot,DatPol,4,-1.32E-11,,
68,Embalse Colbun,Vol2Cot,DatPol,5,1.87E-15,,
69,Embalse Colbun,Vol2Fil,EscTra,0,1,1,
70,Embalse Colbun,Vol2Fil,DatTra,0,0,0,0
71,Embalse Colbun,Vol2Fil,DatTra,1,658,0.0120514,0
72,Embalse Colbun,Vol2Fil,DatTra,2,1000,0.012051462,4.12157727
73,Embalse Ralco,Cot2Vol,EscPol,598,1,1,
74,Embalse Ralco,Cot2Vol,DatPol,0,0,,
75,Embalse Ralco,Cot2Vol,DatPol,1,1.656211304,,
76,Embalse Ralco,Cot2Vol,DatPol,2,-0.059597543,,
77,Embalse Ralco,Cot2Vol,DatPol,3,0.000939103,,
78,Embalse Ralco,Vol2Cot,EscPol,0,1,1,
79,Embalse Ralco,Vol2Cot,DatPol,0,658.931,,
80,Embalse Ralco,Vol2Cot,DatPol,1,0.10166,
81,Embalse Ralco,Vol2Cot,DatPol,2,-0.0000599,
82,Embalse Ralco,Vol2Cot,DatPol,3,1.88E-08,
83,Embalse Machicura,Cot2Vol,EscPol,254,1,1
84,Embalse Machicura,Cot2Vol,DatPol,0,0.220082,
85,Embalse Machicura,Cot2Vol,DatPol,1,3.869693,
86,Embalse Machicura,Cot2Vol,DatPol,2,0.854351,
87,Embalse Machicura,Cot2Vol,DatPol,3,-0.346473,
88,Embalse Machicura,Cot2Vol,DatPol,4,0.080443,
89,Embalse Machicura,Cot2Vol,DatPol,5,-0.007131,
90,Embalse Machicura,Vol2Cot,EscPol,0,1,1
91,Embalse Machicura,Vol2Cot,DatPol,0,253.9619,
92,Embalse Machicura,Vol2Cot,DatPol,1,0.243919,
93,Embalse Machicura,Vol2Cot,DatPol,2,-0.006546,
94,Embalse Machicura,Vol2Cot,DatPol,3,0.000503,
95,Embalse Machicura,Vol2Cot,DatPol,4,-0.000022,
96,Embalse Machicura,Vol2Cot,DatPol,5,0.000000382,
97,Poza Polcura,Cot2Vol,EscPol,730,1,0.001
98,Poza Polcura,Cot2Vol,DatPol,0,0.697636583,
99,Poza Polcura,Cot2Vol,DatPol,1,90.8592933,
100,Poza Polcura,Cot2Vol,DatPol,2,40.08341237,
101,Poza Polcura,Cot2Vol,DatPol,3,-13.97255935,
102,Poza Polcura,Cot2Vol,DatPol,4,2.586443019,
103,Poza Polcura,Cot2Vol,DatPol,5,-0.159930272,
104,Poza Polcura,Vol2Cot,EscPol,0,1,1
105,Poza Polcura,Vol2Cot,DatPol,0,730.02173,
106,Poza Polcura,Vol2Cot,DatPol,1,8.94574,
107,Poza Polcura,Vol2Cot,DatPol,2,-8.50159,
108,Poza Polcura,Vol2Cot,DatPol,3,13.99204,
109,Poza Polcura,Vol2Cot,DatPol,4,-13.87739,
110,Poza Polcura,Vol2Cot,DatPol,5,5.10665,
111,Embalse Melado,Cot2Vol,EscPol,641,1,1
112,Embalse Melado,Cot2Vol,DatPol,0,106.58,
113,Embalse Melado,Cot2Vol,DatPol,1,3.616693968,
114,Embalse Melado,Cot2Vol,DatPol,2,0.035608708,
115,Embalse Melado,Vol2Cot,EscPol,0,1,1
116,Embalse Melado,Vol2Cot,DatPol,0,540.0779542,
117,Embalse Melado,Vol2Cot,DatPol,1,1.495952611,
118,Embalse Melado,Vol2Cot,DatPol,2,-0.005194145,
119,Embalse Pangue,Cot2Vol,EscPol,500,1,1
120,Embalse Pangue,Cot2Vol,DatPol,0,26.60008939,
121,Embalse Pangue,Cot2Vol,DatPol,1,4.169963166,
122,Embalse Pangue,Cot2Vol,DatPol,2,0.036603076,
123,Embalse Pangue,Vol2Cot,EscPol,0,1,1
124,Embalse Pangue,Vol2Cot,DatPol,0,493.3770856,
125,Embalse Pangue,Vol2Cot,DatPol,1,0.259718219,
126,Embalse Pangue,Vol2Cot,DatPol,2,-0.000400559,
