EmbINum,EmbAñoFRlt,EmbAñoIni,EmbAñoFin,EmbNom,EmbDatTip,EmbDatIHid,EmbEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2009,2009,Lago Laja,EmbQExtCnv,1,EtaMes,43,41.5,42.6,42.8,42.3,42.1,46,61.2,67.8,87.9,53.5,52.1
2,F,2009,2009,Lago Laja,EmbQExtCnv,2,EtaMes,43.2,42.2,42,44.9,50.4,50.4,42,44.6,69.5,91,91.9,83.2
3,F,2009,2009,Lago Laja,EmbQExtCnv,3,EtaMes,58,55.4,51.1,50.4,45.8,42.1,41.8,45.6,39.5,63.4,61.8,60
4,F,2009,2009,Lago Laja,EmbQExtCnv,4,EtaMes,49.4,47.7,47.2,48.7,49.2,50.3,48.7,41.5,46.6,76.6,83.8,80.4
5,F,2009,2009,Lago Laja,EmbQExtCnv,5,EtaMes,73.8,54.3,41.3,40.8,40.2,41.3,44.7,45.9,47.6,56.5,54.8,52.9
6,F,2009,2009,Lago Laja,EmbQExtCnv,6,EtaMes,45.3,47,48.9,52.2,51.7,59,39.5,41.7,44.2,72.2,71,66.6
7,F,2009,2009,Lago Laja,EmbQExtCnv,7,EtaMes,52.9,51.6,48.9,45.3,51,46.4,43.3,44.2,45.9,69.7,70.8,64.5
8,F,2009,2009,Lago Laja,EmbQExtCnv,8,EtaMes,56.2,51.9,41,38.8,42,43.3,51.6,48.7,55.9,106.4,64.7,61.8
9,F,2009,2009,Lago Laja,EmbQExtCnv,9,EtaMes,51,50.2,47.1,46.6,47,46.9,47.2,47.4,46,48.2,46.7,45.4
10,F,2009,2009,Lago Laja,EmbQExtCnv,10,EtaMes,36.9,38,41.2,49.2,50.9,48.4,50.7,55.7,58.3,112.3,87.2,47.6
11,F,2009,2009,Lago Laja,EmbQExtCnv,11,EtaMes,41.7,41.2,41.8,41.8,42,42.3,45,66.5,67.2,63.8,53.9,48
12,F,2009,2009,Lago Laja,EmbQExtCnv,12,EtaMes,37.8,39.6,39.1,43.5,53.7,49,54.2,54.3,58,82.6,48.3,47.3
13,F,2009,2009,Lago Laja,EmbQExtCnv,13,EtaMes,38.4,46.9,45.8,56.5,43.6,47.6,47.5,45.1,57.6,67,65.7,61.9
14,F,2009,2009,Lago Laja,EmbQExtCnv,14,EtaMes,51.3,50.7,49.2,48.1,47.7,46.8,45.6,45.3,44.8,83.1,111.9,43.9
15,F,2009,2009,Lago Laja,EmbQExtCnv,15,EtaMes,40.7,40.3,41.1,41.1,41.1,41.5,54.2,61.8,67.4,72.9,48.4,47
16,F,2009,2009,Lago Laja,EmbQExtCnv,16,EtaMes,39.8,41,42.4,46.3,50.2,42,59.2,47.7,60.3,90.9,97.7,46.7
17,F,2009,2009,Lago Laja,EmbQExtCnv,17,EtaMes,59.5,40.3,39.4,39.4,39.5,40.8,50.5,59.8,60.4,66.4,56.3,54.5
