LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux,LinAux,LinAux,LinAux
1,Paposo 220->Diego de Almagro 220,T,*,*,Paposo 220,Diego de Almagro 220,BarA,F,F,101,F,F,620,620,F,F,F,285,285,220,3.6784,36.1064,T,3,1,F,TxA,Cmn,F,F,*,58.974,1.284,30,Otro,SIC,TxA,Ln,220
2,Paposo 220->Diego de Almagro 220 II,F,MesEne-2027,*,Paposo 220,Diego de Almagro 220,BarA,F,F,101,F,F,620,620,F,F,F,340,340,220,3.6784,36.1064,T,3,1,F,TxA,Cmn,F,F,*,58.974,1.284,30,Otro,SIC,TxA,Ln,220
3,Diego de Almagro 220->Diego de Almagro 110,T,*,*,Diego de Almagro 220,Diego de Almagro 110,BarB,F,F,101,F,F,240,240,F,F,F,120,120,220,0,53.8692,T,3,1,F,STx,Cmn,F,F,*,3.221,0.1,30,Transelec,SIC,STx B,Tr,220/110
4,Diego de Almagro 220->Carrera Pinto 220,T,*,MesAbr-2017,Diego de Almagro 220 Aux,Carrera Pinto 220,*,F,F,101,F,F,197,197,T,T,F,197,197,220,7.193,28.369,T,5,1,T,TxT,Iny,F,F,*,11.341,0.311,30,Transelec,SIC,TxT,Ln,220
5,Carrera Pinto 220->Cardones 220,F,*,MesDic-2016,Carrera Pinto 220,Cardones 220,*,F,F,101,F,F,197,197,T,T,T,197,197,220,6.9696,28.314,T,5,1,T,TxT,Iny,F,F,*,10.179,0.275,30,Transelec,SIC,TxT,Ln,220
6,Carrera Pinto 220->Carrera Pinto 220 Aux II,T,MesOct-2017,MesNov-2017,Carrera Pinto 220,Carrera Pinto 220 Aux,*,F,F,101,F,F,591,591,T,T,T,394,394,220,0,0.0001,F,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC,TxT,Ln,220
7,Carrera Pinto 220->Carrera Pinto 220 Aux III,T,MesDic-2017,MesDic-2017,Carrera Pinto 220,Carrera Pinto 220 Aux,*,F,F,101,F,F,684,684,T,T,T,342,342,220,0,0.0001,F,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC,TxT,Ln,220
8,Carrera Pinto 220->Carrera Pinto 220 Aux,T,*,MesSep-2017,Carrera Pinto 220,Carrera Pinto 220 Aux,*,F,F,101,F,F,394,394,T,T,T,197,197,220,0,0.0001,F,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC,TxT,Ln,220
9,Cardones 220->Cardones 110,T,*,*,Cardones 220,Cardones 110,BarB,F,F,101,F,F,225,225,F,F,F,150,150,220,2.5168,74.3424,T,3,1,F,STx,Cmn,F,F,*,2.659,0.082,30,Transelec,SIC,STx B,Tr,220/110
10,Cardones 220->Diego de Almagro 220,T,MesNov-2015,MesSep-2017,Cardones 220,Diego de Almagro 220 Aux,*,F,F,101,F,F,342,342,T,T,T,342,342,220,14.7157,58.7005,T,3,1,T,TxT,Iny,F,F,*,26.609,0.649,30,CNE,SIC,TxT,Ln,220
