LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux
1,Diego de Almagro 220->Carrera Pinto 220,T,*,MesAbr-2017,Diego de Almagro 220 Aux,Carrera Pinto 220,*,F,F,101,F,F,197,197,T,T,F,197,197,220,7.193,28.369,T,5,1,T,TxT,Iny,F,F,*,11.341,0.311,30,Transelec,SIC
2,Carrera Pinto 220->Carrera Pinto 220 Aux II,T,MesOct-2017,MesNov-2017,Carrera Pinto 220,Carrera Pinto 220 Aux,*,F,F,101,F,F,591,591,T,T,T,394,394,220,0,0.0001,F,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
3,Carrera Pinto 220->Carrera Pinto 220 Aux III,T,MesDic-2017,MesDic-2017,Carrera Pinto 220,Carrera Pinto 220 Aux,*,F,F,101,F,F,684,684,T,T,T,342,342,220,0,0.0001,F,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
4,Carrera Pinto 220->Carrera Pinto 220 Aux,T,*,MesSep-2017,Carrera Pinto 220,Carrera Pinto 220 Aux,*,F,F,101,F,F,394,394,T,T,T,197,197,220,0,0.0001,F,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
5,Cardones 220->Diego de Almagro 220,T,MesNov-2015,MesSep-2017,Cardones 220,Diego de Almagro 220 Aux,*,F,F,101,F,F,342,342,T,T,T,342,342,220,14.7157,58.7005,T,3,1,T,TxT,Iny,F,F,*,26.609,0.649,30,CNE,SIC
6,Diego de Almagro 220->Carrera Pinto 220 I,T,MesJul-2017,*,Diego de Almagro 220 Aux,Carrera Pinto 220,*,F,F,101,F,F,400,400,T,T,T,400,400,220,7.1833,28.7122,T,5,1,T,TxT,Iny,F,F,*,11.341,0.311,30,CNE,SIC
7,Carrera Pinto 220->Carrera Pinto 220 Aux IV,T,MesEne-2018,*,Carrera Pinto 220,Carrera Pinto 220 Aux,*,F,F,101,F,F,1026,1026,T,T,T,684,684,220,0,0.0001,F,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
8,Diego de Almagro 220->Carrera Pinto 220 III,T,MesNov-2016,*,Diego de Almagro 220 Aux,Carrera Pinto 220,*,F,F,101,F,F,342,342,T,T,T,342,342,220,7.5324,29.9883,T,5,1,T,TxT,Iny,F,F,*,11.341,0.311,30,CNE,SIC
9,Carrera Pinto 220 Aux->Cardones 220 III,T,MesNov-2016,MesAbr-2019,Carrera Pinto 220 Aux,Cardones 220,*,F,F,101,F,F,342,342,T,T,T,342,342,220,7.1833,28.7122,T,5,1,T,TxT,Iny,F,F,*,10.179,0.275,30,CNE,SIC
10,Diego de Almagro 220->Carrera Pinto 220 IV,T,MesOct-2017,*,Diego de Almagro 220 Aux,Carrera Pinto 220,*,F,F,101,F,F,342,342,T,T,T,342,342,220,7.5324,29.9883,T,5,1,T,TxT,Iny,F,F,*,11.341,0.311,30,CNE,SIC
11,Carrera Pinto 220 Aux->Cardones 220 IV,T,MesOct-2017,MesAbr-2019,Carrera Pinto 220 Aux,Cardones 220,*,F,F,101,F,F,342,342,T,T,T,342,342,220,7.1833,28.7122,T,5,1,T,TxT,Iny,F,F,*,10.179,0.275,30,CNE,SIC
12,Diego de Almagro 220->Diego de Almagro 220 Aux,T,*,MesJun-2017,Diego de Almagro 220,Diego de Almagro 220 Aux,*,F,F,101,F,F,684,684,T,T,T,342,342,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
13,Diego de Almagro 220->Diego de Almagro 220 Aux II,T,MesJul-2017,*,Diego de Almagro 220,Diego de Almagro 220 Aux,*,F,F,101,F,F,1026,1026,T,T,T,684,684,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
14,Pan de Azucar 500->Polpaico 500,T,MesEne-2018,*,Pan de Azucar 500,Polpaico 500,*,F,F,101,F,F,3400,3400,T,T,T,1700,1700,500,4.5,25.21,T,5,1,T,TxT,Ret,F,F,*,100,10,30,Plan de Obra,SIC
15,Pan de Azucar 500->Pan de Azucar 220,T,MesEne-2018,*,Pan de Azucar 500,Pan de Azucar 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.5,48.75,T,5,1,T,TxT,Ret,F,F,*,19.488,0.53,30,Transelec,SIC
16,Pan de Azucar 500->Maitencillo 500,T,MesDic-2017,*,Pan de Azucar 500,Maitencillo 500,*,F,F,101,F,F,3400,3400,T,T,T,1700,1700,500,2.34,12.754,T,5,1,T,TxT,Ret,F,F,*,100,10,30,Plan de Obra,SIC
17,Maitencillo 500->Maitencillo 220,T,MesEne-2018,*,Maitencillo 500,Maitencillo 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.5,48.75,T,5,1,T,TxT,Ret,F,F,*,19.488,0.53,30,Transelec,SIC
18,Maitencillo 500->Cardones 500,T,MesDic-2017,*,Maitencillo 500,Cardones 500,*,F,F,101,F,F,3400,3400,T,T,T,1700,1700,500,1.484,17.905,T,5,1,T,TxT,Ret,F,F,*,100,10,30,Plan de Obra,SIC
19,Cardones 500->Cardones 220,T,MesEne-2018,*,Cardones 500,Cardones 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.5,48.75,T,5,1,T,TxT,Ret,F,F,*,19.488,0.53,30,Transelec,SIC
