BarINum,BarNom,BarFOpe,BarFecOpeIni,BarFecOpeFin,BarFacPen,BarVtjOpe,BarVtjBas,BarSis,BarTip,BarSTxPNdEne,BarSTxPNdPot,BarEmp,BarAux,CenFalFBarAlt,CenFalBarAlt,BarFPri,BarPriAso,BarCliTip,BarFOpt,BarOptAso
1,A 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,A 110,F,Crucero 220,CliLib,T,A 110
2,Alto Hospicio 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Alto Hospicio 110,F,Condores 220,CliReg,T,Alto Hospicio 110
3,Alto Norte 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Alto Norte 110,F,Atacama 220,CliLib,T,Alto Norte 110
4,Andes 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Andes 220,F,Laberinto 220,CliLib,T,Andes 220
5,Andes 345,T,*,*,1,345,345,SING,TxT,50,6,SING,CNE,F,Andes 345,F,Laberinto 220,CliLib,T,Andes 345
6,Antofagasta 013,T,*,*,1,13,13,SING,TxT,50,6,SING,CNE,F,Antofagasta 013,F,Atacama 220,CliCmn,T,Antofagasta 013
7,Antofagasta 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Antofagasta 110,F,Atacama 220,CliCmn,T,Antofagasta 110
8,Arica 066,T,*,*,1,66,66,SING,TxT,50,6,SING,CNE,F,Arica 066,F,Pozo Almonte 220,CliCmn,T,Arica 066
9,Arica 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Arica 110,F,Pozo Almonte 220,CliCmn,T,Arica 110
10,Barril 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Barril 110,F,Crucero 220,CliLib,T,Barril 110
11,Barril 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Barril 220,F,Crucero 220,CliLib,T,Barril 220
12,Calama 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Calama 110,F,Calama 220,CliCmn,T,Calama 110
13,Capricornio 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Capricornio 110,F,Atacama 220,CliLib,T,Capricornio 110
14,Capricornio 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Capricornio 220,F,Atacama 220,CliLib,T,Capricornio 220
15,Cavancha 066,T,*,*,1,66,66,SING,TxT,50,6,SING,CNE,F,Cavancha 066,F,Pozo Almonte 220,CliLib,T,Cavancha 066
16,CD Antofagasta 013,T,*,*,1,13,13,SING,TxT,50,6,SING,CNE,F,CD Antofagasta 013,F,Atacama 220,CliLib,T,CD Antofagasta 013
17,CD Arica 066,T,*,*,1,66,66,SING,TxT,50,6,SING,CNE,F,CD Arica 066,F,Pozo Almonte 220,CliCmn,T,CD Arica 066
18,CD Iquique 066,T,*,*,1,66,66,SING,TxT,50,6,SING,CNE,F,CD Iquique 066,F,Pozo Almonte 220,CliCmn,T,CD Iquique 066
19,Atacama 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Atacama 220,T,Atacama 220,CliCmn,T,Atacama 220
20,Centro 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Centro 110,F,Atacama 220,CliReg,T,Centro 110
21,Cerro Colorado 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Cerro Colorado 110,F,Pozo Almonte 220,CliReg,T,Cerro Colorado 110
22,Cerro Dragon 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Cerro Dragon 110,F,Condores 220,CliReg,T,Cerro Dragon 110
23,Chacaya 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Chacaya 220,F,Encuentro 220,CliLib,T,Chacaya 220
24,Chapiquiña 066,T,*,*,1,66,66,SING,TxT,50,6,SING,CNE,F,Chapiquiña 066,F,Pozo Almonte 220,CliLib,T,Chapiquiña 066
25,Chinchorro 066,T,*,*,1,66,66,SING,TxT,50,6,SING,CNE,F,Chinchorro 066,F,Parinacota 220,CliReg,T,Chinchorro 066
26,Chuquicamata 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Chuquicamata 110,F,Chuquicamata 220,CliLib,T,Chuquicamata 110
27,Chuquicamata 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Chuquicamata 220,T,Chuquicamata 220,CliLib,T,Chuquicamata 220
28,Collahuasi 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Collahuasi 220,F,Lagunas 220,CliLib,T,Collahuasi 220
29,Condores 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Condores 110,F,Condores 220,CliCmn,T,Condores 110
30,Condores 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Condores 220,T,Condores 220,CliCmn,T,Condores 220
31,Crucero 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Crucero 220,T,Crucero 220,CliCmn,T,Crucero 220
32,Desalant 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Desalant 110,F,Atacama 220,CliCmn,T,Desalant 110
33,Dolores 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Dolores 110,F,Pozo Almonte 220,CliCmn,T,Dolores 110
34,Domeyko 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Domeyko 220,F,Atacama 220,CliLib,T,Domeyko 220
35,El Abra 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,El Abra 220,F,Crucero 220,CliLib,T,El Abra 220
36,El Aguila 066,T,*,*,1,66,66,SING,TxT,50,6,SING,CNE,F,El Aguila 066,F,Pozo Almonte 220,CliLib,T,El Aguila 066
37,El Cobre 220,T,MesJul-2010,*,1,220,220,SING,TxT,50,6,SING,CNE,F,El Cobre 220,T,El Cobre 220,CliLib,T,El Cobre 220
38,El Loa 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,El Loa 220,F,Crucero 220,CliLib,T,El Loa 220
39,El Negro 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,El Negro 110,F,Atacama 220,CliLib,T,El Negro 110
40,El Tesoro 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,El Tesoro 220,T,El Tesoro 220,CliLib,T,El Tesoro 220
41,Enaex 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Enaex 110,F,Atacama 220,CliLib,T,Enaex 110
42,Encuentro 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Encuentro 220,T,Encuentro 220,CliLib,T,Encuentro 220
43,Escondida 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Escondida 220,F,Crucero 220,CliLib,T,Escondida 220
44,Esmeralda 110,T,*,*,1,110,110,SING,TxT,50,6,SING,CNE,F,Esmeralda 110,F,Atacama 220,CliCmn,T,Esmeralda 110
45,Esmeralda 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Esmeralda 220,F,Atacama 220,CliLib,T,Esmeralda 220
46,Esperanza SING 220,T,*,*,1,220,220,SING,TxT,50,6,SING,CNE,F,Esperanza SING 220,T,Esperanza SING 220,CliLib,T,Esperanza SING 220
