CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,1,2,3,4,5,6,7,8,9,10,11,12
1,F,2016,2016,*,CARBON_ANGAMOS,CenCosVar,EtaMes,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96
2,F,2017,2017,*,CARBON_ANGAMOS,CenCosVar,EtaMes,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96
3,F,2018,2018,*,CARBON_ANGAMOS,CenCosVar,EtaMes,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96
4,F,2019,2019,*,CARBON_ANGAMOS,CenCosVar,EtaMes,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,95.96,96.92,96.92,96.92
5,F,2020,2020,*,CARBON_ANGAMOS,CenCosVar,EtaMes,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92
6,F,2021,2021,*,CARBON_ANGAMOS,CenCosVar,EtaMes,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,85.14,85.14,85.14
7,F,2022,2022,*,CARBON_ANGAMOS,CenCosVar,EtaMes,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.42,85.42,85.42
8,F,2023,2023,*,CARBON_ANGAMOS,CenCosVar,EtaMes,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.51,85.51,85.51
9,F,2024,2024,*,CARBON_ANGAMOS,CenCosVar,EtaMes,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.87,85.87,85.87
10,F,2025,2025,*,CARBON_ANGAMOS,CenCosVar,EtaMes,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,86.07,86.07,86.07
11,F,2026,2026,*,CARBON_ANGAMOS,CenCosVar,EtaMes,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,85.80,85.80,85.80
12,F,2027,2027,*,CARBON_ANGAMOS,CenCosVar,EtaMes,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.16,85.16,85.16
13,F,2028,2028,*,CARBON_ANGAMOS,CenCosVar,EtaMes,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,84.55,84.55,84.55
14,F,2029,2029,*,CARBON_ANGAMOS,CenCosVar,EtaMes,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,83.95,83.95,83.95
15,F,2030,2030,*,CARBON_ANGAMOS,CenCosVar,EtaMes,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.93,83.93,83.93
16,F,2031,*,*,CARBON_ANGAMOS,CenCosVar,EtaMes,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93
17,F,2016,2016,*,CARBON_CNE,CenCosVar,EtaMes,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64
18,F,2017,2017,*,CARBON_CNE,CenCosVar,EtaMes,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64
19,F,2018,2018,*,CARBON_CNE,CenCosVar,EtaMes,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64
20,F,2019,2019,*,CARBON_CNE,CenCosVar,EtaMes,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,84.64,85.49,85.49,85.49
21,F,2020,2020,*,CARBON_CNE,CenCosVar,EtaMes,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49
22,F,2021,2021,*,CARBON_CNE,CenCosVar,EtaMes,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.14,85.14,85.14
23,F,2022,2022,*,CARBON_CNE,CenCosVar,EtaMes,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.42,85.42,85.42
24,F,2023,2023,*,CARBON_CNE,CenCosVar,EtaMes,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.51,85.51,85.51
25,F,2024,2024,*,CARBON_CNE,CenCosVar,EtaMes,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.87,85.87,85.87
26,F,2025,2025,*,CARBON_CNE,CenCosVar,EtaMes,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,86.07,86.07,86.07
27,F,2026,2026,*,CARBON_CNE,CenCosVar,EtaMes,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,85.80,85.80,85.80
28,F,2027,2027,*,CARBON_CNE,CenCosVar,EtaMes,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.16,85.16,85.16
29,F,2028,2028,*,CARBON_CNE,CenCosVar,EtaMes,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,84.55,84.55,84.55
30,F,2029,2029,*,CARBON_CNE,CenCosVar,EtaMes,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,83.95,83.95,83.95
31,F,2030,2030,*,CARBON_CNE,CenCosVar,EtaMes,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.93,83.93,83.93
32,F,2031,*,*,CARBON_CNE,CenCosVar,EtaMes,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93
33,F,2016,2016,*,CARBON_COCHRANE,CenCosVar,EtaMes,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98
34,F,2017,2017,*,CARBON_COCHRANE,CenCosVar,EtaMes,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98
35,F,2018,2018,*,CARBON_COCHRANE,CenCosVar,EtaMes,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98
36,F,2019,2019,*,CARBON_COCHRANE,CenCosVar,EtaMes,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,107.98,109.06,109.06,109.06
37,F,2020,2020,*,CARBON_COCHRANE,CenCosVar,EtaMes,109.06,109.06,109.06,109.06,109.06,109.06,109.06,109.06,109.06,109.06,109.06,109.06
38,F,2021,2021,*,CARBON_COCHRANE,CenCosVar,EtaMes,109.06,109.06,109.06,109.06,109.06,109.06,109.06,109.06,109.06,85.14,85.14,85.14
39,F,2022,2022,*,CARBON_COCHRANE,CenCosVar,EtaMes,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.42,85.42,85.42
40,F,2023,2023,*,CARBON_COCHRANE,CenCosVar,EtaMes,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.51,85.51,85.51
41,F,2024,2024,*,CARBON_COCHRANE,CenCosVar,EtaMes,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.87,85.87,85.87
42,F,2025,2025,*,CARBON_COCHRANE,CenCosVar,EtaMes,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,86.07,86.07,86.07
43,F,2026,2026,*,CARBON_COCHRANE,CenCosVar,EtaMes,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,85.80,85.80,85.80
44,F,2027,2027,*,CARBON_COCHRANE,CenCosVar,EtaMes,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.16,85.16,85.16
45,F,2028,2028,*,CARBON_COCHRANE,CenCosVar,EtaMes,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,84.55,84.55,84.55
46,F,2029,2029,*,CARBON_COCHRANE,CenCosVar,EtaMes,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,83.95,83.95,83.95
47,F,2030,2030,*,CARBON_COCHRANE,CenCosVar,EtaMes,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.93,83.93,83.93
48,F,2031,*,*,CARBON_COCHRANE,CenCosVar,EtaMes,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93
49,F,2016,2016,*,CARBON_CTA,CenCosVar,EtaMes,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72
50,F,2017,2017,*,CARBON_CTA,CenCosVar,EtaMes,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72
51,F,2018,2018,*,CARBON_CTA,CenCosVar,EtaMes,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72
52,F,2019,2019,*,CARBON_CTA,CenCosVar,EtaMes,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,95.72,96.67,96.67,96.67
