CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,abr,may,jun,jul,ago,sep,oct,nov,dic,ene,feb,mar
1,F,*,*,1,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,1.2,2.9,6.1,13.6,7.6,4.8,2.1,11,1.9,2.5,7.4,0.5
1,F,*,*,2,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,1.2,2.9,6.1,13.6,7.6,4.8,2.1,11,1.9,2.5,7.4,0.5
1,F,*,*,3,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,3.2,25.9,8.3,30.6,22.9,27.5,8.7,3,5.8,6.2,0.5,12.9
1,F,*,*,4,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,3.2,25.9,8.3,30.6,22.9,27.5,8.7,3,5.8,6.2,0.5,12.9
1,F,*,*,5,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,7.8,44.4,5.4,37.8,25.3,53.1,10.9,0.8,8.6,10.9,0.5,26
1,F,*,*,6,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,7.8,44.4,5.4,37.8,25.3,53.1,10.9,0.8,8.6,10.9,0.5,26
1,F,*,*,7,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,2.6,27.7,21.8,21.5,11,17.9,4,1.7,2.9,9.4,0,30.2
1,F,*,*,8,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,2.6,27.7,21.8,21.5,11,17.9,4,1.7,2.9,9.4,0,30.2
1,F,*,*,9,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,55.4,1,73.4,20.8,29.5,1.8,55.8,56.1,34.1,49.1,39.1,35.9
1,F,*,*,10,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,55.4,1,73.4,20.8,29.5,1.8,55.8,56.1,34.1,49.1,39.1,35.9
1,F,*,*,11,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,75,27.8,82.7,50.3,81,36.8,63.4,75.3,70.7,84,81,79.1
1,F,*,*,12,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,75,27.8,82.7,50.3,81,36.8,63.4,75.3,70.7,84,81,79.1
1,F,*,*,13,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,56,51.3,71.8,31.7,82.2,68.1,63.2,48.8,78.3,51.4,79,60.9
1,F,*,*,14,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,56,51.3,71.8,31.7,82.2,68.1,63.2,48.8,78.3,51.4,79,60.9
1,F,*,*,15,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,13.8,17.8,13.3,6.7,14.2,20.4,33.2,15.4,43,9.5,32.3,6.5
1,F,*,*,16,VALLE DE LOS VIENTOS,CenPotMax,EtaMes,13.8,17.8,13.3,6.7,14.2,20.4,33.2,15.4,43,9.5,32.3,6.5
2,F,*,*,1,SIERRA GORDA,CenPotMax,EtaMes,20.4,40,64.8,93.6,29.6,48.2,41.2,29.7,17.3,20.1,4.9,13.5
2,F,*,*,2,SIERRA GORDA,CenPotMax,EtaMes,20.39593285,40.03927599,64.82252637,93.61353912,29.63911092,48.24436124,41.15356606,29.71996862,17.25837906,20.14883251,4.85869587,13.45740332
2,F,*,*,3,SIERRA GORDA,CenPotMax,EtaMes,67.20291587,96.83701072,27.53972013,88.25737044,31.9674887,90.55757152,50.75287832,63.71464929,55.83371771,36.24708232,7.461220804,71.35356749
2,F,*,*,4,SIERRA GORDA,CenPotMax,EtaMes,67.20291587,96.83701072,27.53972013,88.25737044,31.9674887,90.55757152,50.75287832,63.71464929,55.83371771,36.24708232,7.461220804,71.35356749
2,F,*,*,5,SIERRA GORDA,CenPotMax,EtaMes,90.9493046,105.1090962,42.70414744,103.9558235,55.21206906,101.5744047,61.64713191,95.0919172,81.22456375,58.240594,17.90576501,75.96244378
2,F,*,*,6,SIERRA GORDA,CenPotMax,EtaMes,90.9493046,105.1090962,42.70414744,103.9558235,55.21206906,101.5744047,61.64713191,95.0919172,81.22456375,58.240594,17.90576501,75.96244378
2,F,*,*,7,SIERRA GORDA,CenPotMax,EtaMes,37.45572737,60.56754019,79.92530462,35.54404826,39.6470317,30.8003596,29.60660874,27.38757735,14.0717492,5.273789881,3.861623133,12.4638051
2,F,*,*,8,SIERRA GORDA,CenPotMax,EtaMes,37.45572737,60.56754019,79.92530462,35.54404826,39.6470317,30.8003596,29.60660874,27.38757735,14.0717492,5.273789881,3.861623133,12.4638051
2,F,*,*,9,SIERRA GORDA,CenPotMax,EtaMes,35.90546656,10.753918,81.32972182,8.178021465,105.7105643,21.71132945,54.45577473,20.15618982,26.98943168,35.60537432,37.02333795,33.10893813
2,F,*,*,10,SIERRA GORDA,CenPotMax,EtaMes,35.90546656,10.753918,81.32972182,8.178021465,105.7105643,21.71132945,54.45577473,20.15618982,26.98943168,35.60537432,37.02333795,33.10893813
2,F,*,*,11,SIERRA GORDA,CenPotMax,EtaMes,35.49079336,14.89748241,77.69481186,11.20398567,103.1341235,44.72128217,58.18411098,69.7447128,61.80835951,63.33114916,60.975032,44.30491015
2,F,*,*,12,SIERRA GORDA,CenPotMax,EtaMes,35.49079336,14.89748241,77.69481186,11.20398567,103.1341235,44.72128217,58.18411098,69.7447128,61.80835951,63.33114916,60.975032,44.30491015
2,F,*,*,13,SIERRA GORDA,CenPotMax,EtaMes,35.42139266,23.22684892,67.46210342,15.80401748,97.81506351,63.97965325,64.97867769,21.76948791,15.5463506,18.88098962,10.85197041,18.97763309
2,F,*,*,14,SIERRA GORDA,CenPotMax,EtaMes,35.42139266,23.22684892,67.46210342,15.80401748,97.81506351,63.97965325,64.97867769,21.76948791,15.5463506,18.88098962,10.85197041,18.97763309
2,F,*,*,15,SIERRA GORDA,CenPotMax,EtaMes,2.091979139,5.18606421,31.14871369,48.58880684,46.92917589,21.10467455,24.65633792,7.993798301,1.444417198,5.007847194,12.79157075,1.550291017
2,F,*,*,16,SIERRA GORDA,CenPotMax,EtaMes,2.091979139,5.18606421,31.14871369,48.58880684,46.92917589,21.10467455,24.65633792,7.993798301,1.444417198,5.007847194,12.79157075,1.550291017
3,F,*,*,1,EOLICO SING III,CenPotMax,EtaMes,54.63196298,107.2480607,173.6317671,250.7505512,79.39047569,129.2259676,110.2327662,79.60705881,46.22780104,53.97008709,13.01436394,36.04661604
3,F,*,*,2,EOLICO SING III,CenPotMax,EtaMes,54.63196298,107.2480607,173.6317671,250.7505512,79.39047569,129.2259676,110.2327662,79.60705881,46.22780104,53.97008709,13.01436394,36.04661604
3,F,*,*,3,EOLICO SING III,CenPotMax,EtaMes,180.0078104,259.3848501,73.76710748,236.4036708,85.62720188,242.5649237,135.9452098,170.6642392,149.554601,97.09039907,19.98541287,191.1256272
3,F,*,*,4,EOLICO SING III,CenPotMax,EtaMes,180.0078104,259.3848501,73.76710748,236.4036708,85.62720188,242.5649237,135.9452098,170.6642392,149.554601,97.09039907,19.98541287,191.1256272
3,F,*,*,5,EOLICO SING III,CenPotMax,EtaMes,243.6142088,281.5422218,114.3861092,278.4530987,147.8894707,272.0742983,165.1262462,254.7104925,217.5657958,156.0015911,47.96187055,203.4708315
3,F,*,*,6,EOLICO SING III,CenPotMax,EtaMes,243.6142088,281.5422218,114.3861092,278.4530987,147.8894707,272.0742983,165.1262462,254.7104925,217.5657958,156.0015911,47.96187055,203.4708315
3,F,*,*,7,EOLICO SING III,CenPotMax,EtaMes,100.3278412,162.2344826,214.0856374,95.20727213,106.1974063,82.50096323,79.30341628,73.35958218,37.69218535,14.12622289,10.34363339,33.38519223
3,F,*,*,8,EOLICO SING III,CenPotMax,EtaMes,100.3278412,162.2344826,214.0856374,95.20727213,106.1974063,82.50096323,79.30341628,73.35958218,37.69218535,14.12622289,10.34363339,33.38519223
