CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,abr,may,jun,jul,ago,sep,oct,nov,dic,ene,feb,mar
1,F,*,*,1,EL AGUILA,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
1,F,*,*,2,EL AGUILA,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
1,F,*,*,3,EL AGUILA,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
1,F,*,*,4,EL AGUILA,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
1,F,*,*,5,EL AGUILA,CenPotMax,EtaMes,0,0.020987172,0.004571963,0.000418241,0.057894691,0.240496612,0.420397674,0.270869368,0.229130283,0.032907402,0.000429501,0
1,F,*,*,6,EL AGUILA,CenPotMax,EtaMes,0,0.020987172,0.004571963,0.000418241,0.057894691,0.240496612,0.420397674,0.270869368,0.229130283,0.032907402,0.000429501,0
1,F,*,*,7,EL AGUILA,CenPotMax,EtaMes,1.10151888,1.181307271,1.09296883,1.103437717,1.317854143,1.568005085,1.660958022,1.642694832,1.563720407,1.334856713,1.135930937,1.056411256
1,F,*,*,8,EL AGUILA,CenPotMax,EtaMes,1.10151888,1.181307271,1.09296883,1.103437717,1.317854143,1.568005085,1.660958022,1.642694832,1.563720407,1.334856713,1.135930937,1.056411256
1,F,*,*,9,EL AGUILA,CenPotMax,EtaMes,1.40119501,1.250434716,1.172048202,1.199245926,1.374650028,1.549848763,1.681512529,1.734692774,1.723451542,1.664113002,1.628458677,1.560731923
1,F,*,*,10,EL AGUILA,CenPotMax,EtaMes,1.40119501,1.250434716,1.172048202,1.199245926,1.374650028,1.549848763,1.681512529,1.734692774,1.723451542,1.664113002,1.628458677,1.560731923
1,F,*,*,11,EL AGUILA,CenPotMax,EtaMes,1.37417685,1.200564529,1.178514238,1.168547913,1.35123572,1.473458045,1.580927049,1.502885208,1.53591648,1.431149243,1.441173892,1.330723601
1,F,*,*,12,EL AGUILA,CenPotMax,EtaMes,1.37417685,1.200564529,1.178514238,1.168547913,1.35123572,1.473458045,1.580927049,1.502885208,1.53591648,1.431149243,1.441173892,1.330723601
1,F,*,*,13,EL AGUILA,CenPotMax,EtaMes,0.318955057,0.105579935,0.923163311,0.317359658,0.594988656,0.708464955,0.890646186,0.061424482,0.271355687,0.301248747,0.25848185,0.074570391
1,F,*,*,14,EL AGUILA,CenPotMax,EtaMes,0.318955057,0.105579935,0.923163311,0.317359658,0.594988656,0.708464955,0.890646186,0.061424482,0.271355687,0.301248747,0.25848185,0.074570391
1,F,*,*,15,EL AGUILA,CenPotMax,EtaMes,0,0,0.014582919,0,0,0,0.001583341,0,0,0,0,0
1,F,*,*,16,EL AGUILA,CenPotMax,EtaMes,0,0,0.014582919,0,0,0,0.001583341,0,0,0,0,0
2,F,*,*,1,POZO ALMONTE 2,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
2,F,*,*,2,POZO ALMONTE 2,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
2,F,*,*,3,POZO ALMONTE 2,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
2,F,*,*,4,POZO ALMONTE 2,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
2,F,*,*,5,POZO ALMONTE 2,CenPotMax,EtaMes,0,0.078077275,0.017008789,0.001555955,0.215382034,0.894704655,1.563979442,1.007698541,0.85241921,0.122423368,0.001597848,0
2,F,*,*,6,POZO ALMONTE 2,CenPotMax,EtaMes,0,0.078077275,0.017008789,0.001555955,0.215382034,0.894704655,1.563979442,1.007698541,0.85241921,0.122423368,0.001597848,0
2,F,*,*,7,POZO ALMONTE 2,CenPotMax,EtaMes,4.097912501,4.394744314,4.066104279,4.10505103,4.902731187,5.833352252,6.179159308,6.111215893,5.817412228,4.965984793,4.225933544,3.930101399
2,F,*,*,8,POZO ALMONTE 2,CenPotMax,EtaMes,4.097912501,4.394744314,4.066104279,4.10505103,4.902731187,5.833352252,6.179159308,6.111215893,5.817412228,4.965984793,4.225933544,3.930101399
2,F,*,*,9,POZO ALMONTE 2,CenPotMax,EtaMes,5.212779054,4.651914866,4.36029837,4.46148038,5.114025402,5.765806411,6.255626966,6.453470143,6.411650081,6.190896584,6.058254009,5.806294358
2,F,*,*,10,POZO ALMONTE 2,CenPotMax,EtaMes,5.212779054,4.651914866,4.36029837,4.46148038,5.114025402,5.765806411,6.255626966,6.453470143,6.411650081,6.190896584,6.058254009,5.806294358
2,F,*,*,11,POZO ALMONTE 2,CenPotMax,EtaMes,5.112265067,4.466385896,4.384353564,4.347276462,5.0269186,5.481614748,5.881425035,5.591090801,5.713974999,5.324215933,5.361510017,4.950608635
2,F,*,*,12,POZO ALMONTE 2,CenPotMax,EtaMes,5.112265067,4.466385896,4.384353564,4.347276462,5.0269186,5.481614748,5.881425035,5.591090801,5.713974999,5.324215933,5.361510017,4.950608635
2,F,*,*,13,POZO ALMONTE 2,CenPotMax,EtaMes,1.186588755,0.392782495,3.434387315,1.180653488,2.213499464,2.635658315,3.313415868,0.228513699,1.009507765,1.120717063,0.961614025,0.277419609
2,F,*,*,14,POZO ALMONTE 2,CenPotMax,EtaMes,1.186588755,0.392782495,3.434387315,1.180653488,2.213499464,2.635658315,3.313415868,0.228513699,1.009507765,1.120717063,0.961614025,0.277419609
2,F,*,*,15,POZO ALMONTE 2,CenPotMax,EtaMes,0,0,0.05425193,0,0,0,0.005890407,0,0,0,0,0
2,F,*,*,16,POZO ALMONTE 2,CenPotMax,EtaMes,0,0,0.05425193,0,0,0,0.005890407,0,0,0,0,0
3,F,*,*,1,LA HUAYCA,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
3,F,*,*,2,LA HUAYCA,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
3,F,*,*,3,LA HUAYCA,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
3,F,*,*,4,LA HUAYCA,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
3,F,*,*,5,LA HUAYCA,CenPotMax,EtaMes,0,0.260153481,0.056673286,0.005184442,0.717652937,2.981155912,5.2111795,3.357651538,2.840260808,0.407914661,0.00532403,0
3,F,*,*,6,LA HUAYCA,CenPotMax,EtaMes,0,0.260153481,0.056673286,0.005184442,0.717652937,2.981155912,5.2111795,3.357651538,2.840260808,0.407914661,0.00532403,0
