CenManINum,CenManFOpe,CenManFecIni,CenManFecFin,CenManFTip,CenManNom,CenBar,CenPotMax,CenPotMin,CenCosVar,CenRenTer,CenCosOpe,CenDisEne,CenFacCol,CenConPro%
1,T,SemJun02-2017,SemJun03-2017,F,CHAP,*,7.754857143,*,*,*,*,*,*,*
2,T,SemMar01-2018,SemMar01-2018,F,CC1 GNL,*,291.1885714,*,*,*,*,*,*,*
3,T,SemFeb01-2019,SemFeb01-2019,F,CC1 GNL,*,291.1885714,*,*,*,*,*,*,*
4,T,SemAgo01-2017,SemAgo02-2017,F,CC1 GNL,*,138.4285714,*,*,*,*,*,*,*
5,T,SemAbr01-2018,SemAbr01-2018,F,CC1 GNL,*,250.7428571,*,*,*,*,*,*,*
6,T,SemMar01-2019,SemMar01-2019,F,CC1 GNL,*,250.7428571,*,*,*,*,*,*,*
7,T,SemJul01-2018,SemJul01-2018,F,CC2 GNL,*,290.5257143,*,*,*,*,*,*,*
8,T,SemEne03-2019,SemEne03-2019,F,CC2 GNL,*,290.5257143,*,*,*,*,*,*,*
9,T,SemAgo01-2018,SemAgo01-2018,F,CC2 GNL,*,290.1571429,*,*,*,*,*,*,*
10,T,SemFeb03-2019,SemFeb03-2019,F,CC2 GNL,*,290.1571429,*,*,*,*,*,*,*
11,T,SemAgo01-2018,SemAgo01-2018,F,CTM3d,*,165.4541429,*,*,*,*,*,*,*
12,T,SemFeb03-2019,SemFeb03-2019,F,CTM3d,*,162.2398571,*,*,*,*,*,*,*
13,T,SemFeb01-2018,SemFeb03-2018,F,NTO1,*,5.982857143,*,*,*,*,*,*,*
14,T,SemMay02-2018,SemMay04-2018,F,NTO2,*,5.991904762,*,*,*,*,*,*,*
16,T,SemJun01-2017,SemJun02-2017,F,CTM1,*,9.857142857,*,*,*,*,*,*,*
17,T,SemFeb03-2018,SemAbr03-2018,F,CTM1,*,0,*,*,*,*,*,*,*
18,T,SemOct01-2017,SemNov03-2017,F,CTM2,*,8.755102041,*,*,*,*,*,*,*
19,T,SemAgo01-2017,SemOct01-2017,F,CTM3d,*,9.56652381,*,*,*,*,*,*,*
20,T,SemJun03-2017,SemJun04-2017,F,CTTAR,*,0,*,*,*,*,*,*,*
21,T,SemAbr01-2018,SemAbr02-2018,F,CTTAR,*,27.96857143,*,*,*,*,*,*,*
22,T,SemJul01-2017,SemJul03-2017,F,TGTAR,*,5.4,*,*,*,*,*,*,*
23,T,SemMar01-2018,SemMar03-2018,F,TGTAR,*,4.5,*,*,*,*,*,*,*
24,T,SemFeb01-2019,SemFeb01-2019,F,TGTAR,*,8.1,*,*,*,*,*,*,*
25,T,SemJul01-2017,SemJul02-2017,F,U14,*,0,*,*,*,*,*,*,*
26,T,SemJul03-2017,SemJul04-2017,F,U15,*,0,*,*,*,*,*,*,*
27,T,SemOct01-2017,SemOct02-2017,F,U16 GNL,*,94.82857143,*,*,*,*,*,*,*
28,T,SemMay01-2018,SemMay03-2018,F,U16 GNL,*,94.82857143,*,*,*,*,*,*,*
29,T,SemMar01-2018,SemMar03-2018,F,CTA,*,42.40285714,*,*,*,*,*,*,*
30,T,SemFeb01-2019,SemMar03-2019,F,CTA,*,6.05755102,*,*,*,*,*,*,*
31,T,SemDic01-2017,SemDic02-2017,F,CTH,*,20.25714286,*,*,*,*,*,*,*
32,T,SemJun01-2018,SemJul01-2018,F,CTH,*,8.102857143,*,*,*,*,*,*,*
33,T,SemJun03-2018,SemAgo02-2018,F,ANG I,*,25.62589286,*,*,*,*,*,*,*
34,T,SemAgo04-2018,SemSep02-2018,F,ANG II,*,11.58452381,*,*,*,*,*,*,*
35,T,SemFeb02-2018,SemFeb04-2018,F,COCHRANE 1,*,10.8067619,*,*,*,*,*,*,*
36,T,SemJun02-2017,SemJun04-2017,F,COCHRANE 2,*,10.8067619,*,*,*,*,*,*,*
37,T,SemNov02-2018,SemNov04-2018,F,COCHRANE 2,*,10.8067619,*,*,*,*,*,*,*
40,T,SemOct02-2018,SemOct02-2018,F,KELAR_GNL,*,366.2078571,*,*,*,*,*,*,*
41,T,SemOct02-2018,SemOct02-2018,F,KELAR_D,*,315.2978571,*,*,*,*,*,*,*
42,T,SemSep02-2017,SemSep02-2017,F,KELAR_GNL,*,308.5957143,*,*,*,*,*,*,*
43,T,SemSep02-2017,SemSep02-2017,F,KELAR_D,*,257.6857143,*,*,*,*,*,*,*
44,T,SemOct03-2018,SemOct04-2018,F,KELAR_GNL,*,360.7535714,*,*,*,*,*,*,*
45,T,SemOct03-2018,SemOct04-2018,F,KELAR_D,*,309.8435714,*,*,*,*,*,*,*
46,T,SemOct01-2017,SemOct01-2017,F,UJINA 1,*,3.626285714,*,*,*,*,*,*,*
47,T,SemFeb01-2018,SemFeb01-2018,F,UJINA 1,*,4.532857143,*,*,*,*,*,*,*
48,T,SemJun01-2017,SemJun01-2017,F,UJINA 2,*,4.532857143,*,*,*,*,*,*,*
49,T,SemOct02-2017,SemOct02-2017,F,UJINA 2,*,3.626285714,*,*,*,*,*,*,*
50,T,SemFeb02-2018,SemFeb02-2018,F,UJINA 2,*,4.532857143,*,*,*,*,*,*,*
51,T,SemSep03-2017,SemSep03-2017,F,UJINA 3,*,3.626285714,*,*,*,*,*,*,*
