CenINum,CenNom,CenFOpe,CenFecOpeIni,CenFecOpeFin,CenEmiDpz [tCO2e/GWh],CenFERNC,CenUbc,CenBar,CenPotMax,CenPotMin,CenCosVar,CenRenTer,CenCosOpe,CenDisEne,CenEtaCVar,CenConPro%,CenFInv,CenFecInv,CenVI,CenCOMA,CenVidUti,CenEmp,CenAux,CenCmr
1,CAVA,T,*,*,0,F,SING,Cavancha 066,2.592,0,0,1,0,0.975,*,0,F,*,0,0,24,EECSA,Pasada,EECSA
2,MHAH,T,*,*,0,T,SING,Alto Hospicio 110,1.1,0,0,1,0,0.975,*,0,F,*,0,0,24,CNE,Pasada,CNE
3,MHT2,T,*,*,0,T,SING,Alto Hospicio 110,1.1,0,0,1,0,0.975,*,0,F,*,0,0,24,CNE,Pasada,CNE
4,CHAP,T,*,*,0,F,SING,Chapiquiña 066,10.832,0,0,1,0,0.975,*,0,F,*,0,0,24,ECL,Pasada,ECL
5,MHSR,T,*,*,0,T,SING,Alto Hospicio 110,1.25,0,0,1,0,0.975,*,0,F,*,0,0,24,CNE,Pasada,CNE
6,GMAR,T,*,*,0,F,SING,CD Arica 066,7.956,4,451.363088,0.294823529,9.2,0.958,DIESEL_ARICA,0,F,*,0,0,24,ECL,Petróleo Diesel,ECL
7,M1AR,T,*,*,0,F,SING,CD Arica 066,2.922,0,451.363088,0.301647059,9.2,0.972,DIESEL_ARICA,0,F,*,0,0,24,ECL,Petróleo Diesel,ECL
8,M2AR,T,*,*,0,F,SING,CD Arica 066,2.924,0,451.363088,0.300705882,9.2,0.892,DIESEL_ARICA,0,F,*,0,0,24,ECL,Petróleo Diesel,ECL
9,MIIQ,T,*,*,0,F,SING,CD Iquique 066,2.89,0,438.0293107,0.301529412,9.9,0.979,DIESEL_IQUIQUE,0,F,*,0,0,24,ECL,Petróleo Diesel,ECL
10,SUIQ,T,*,*,0,F,SING,CD Iquique 066,3.86,0,438.0293107,0.326,9.9,0.97,DIESEL_IQUIQUE,0,F,*,0,0,24,ECL,Petróleo Diesel,ECL
11,TGIQ,T,*,*,0,F,SING,CD Iquique 066,18.81,0,438.0293107,0.380705882,1.7,0.96,DIESEL_IQUIQUE,0,F,*,0,0,24,ECL,Petróleo Diesel,ECL
12,MAIQ,T,*,*,0,F,SING,CD Iquique 066,5.7,0,438.0293107,0.257,7.9,0.929,DIESEL-FUEL_MAIQ_IQUIQUE,0,F,*,0,0,24,ECL,Petróleo IFO-180,ECL
13,MSIQ,T,*,*,0,F,SING,CD Iquique 066,5.7,0,438.0293107,0.2276,4.7,0.922,DIESEL-FUEL_MSIQ_IQUIQUE,0,F,*,0,0,24,ECL,Petróleo IFO-180,ECL
14,CTM1,T,*,*,0,F,SING,Chacaya 220,138,0,101.1288889,0.471833137,7.696351518,0.95,CARBON_MEJILLONES,0,F,*,0,0,24,ECL,Carbón,ECL
15,CTM2,T,*,*,0,F,SING,Chacaya 220,143,0,101.1288889,0.420528199,7.124291619,0.95,CARBON_MEJILLONES,0,F,*,0,0,24,ECL,Carbón,ECL
16,MIMB,T,*,*,0,F,SING,Mantos Blancos 220,27.92,0,516.3979787,0.298941176,22.99,0.93,DIESEL-FUEL_MANTOS BLANCOS,0,F,*,0,0,24,MANTOS BLANCOS,Petróleo IFO-180,MANTOS BLANCOS
17,U10,F,*,*,0,F,SING,Tocopilla 110,31.5,0,306.8947573,0.297,1.19,0.94,FUEL_TOCOPILLA,0,F,*,0,0,24,ECL,Petróleo IFO-180,ECL
18,U11,F,*,*,0,F,SING,Tocopilla 110,31.5,0,306.8947573,0.297,1.19,0.94,FUEL_TOCOPILLA,0,F,*,0,0,24,ECL,Petróleo IFO-180,ECL
19,U12,T,*,*,0,F,SING,Tocopilla 110,71.28,0,102.2222222,0.475043949,11.76693644,0.94,CARBON_TOCOPILLA,0,F,*,0,0,24,ECL,Carbón,ECL
20,U13,T,*,*,0,F,SING,Tocopilla 110,74.27,0,102.2222222,0.492725729,11.18970075,0.94,CARBON_TOCOPILLA,0,F,*,0,0,24,ECL,Carbón,ECL
21,U14,T,*,*,0,F,SING,Tocopilla 220,117.38,0,102.2222222,0.432965895,7.746035644,0.94,CARBON_TOCOPILLA,0,F,*,0,0,24,ECL,Carbón,ECL
22,U15,T,*,*,0,F,SING,Tocopilla 220,112.76,0,102.2222222,0.417375835,7.184304059,0.94,CARBON_TOCOPILLA,0,F,*,0,0,24,ECL,Carbón,ECL
23,TG1,T,*,*,0,F,SING,Tocopilla 110,12.423,0,443.6800731,0.452778048,0.99,0.98,DIESEL_TOCOPILLA,0,F,*,0,0,24,ECL,Petróleo Diesel,ECL
24,TG2,T,*,*,0,F,SING,Tocopilla 110,12.423,0,443.6800731,0.452778048,0.99,0.98,DIESEL_TOCOPILLA,0,F,*,0,0,24,ECL,Petróleo Diesel,ECL
25,TG3d,T,*,*,0,F,SING,Tocopilla 220,25.93,0,443.6800731,0.340116592,0.99,0.97,DIESEL_TOCOPILLA,0,F,*,0,0,24,ECL,Petróleo Diesel,ECL
26,NTO1,T,*,*,0,F,SING,Norgener 220,125.64,0,94.66555556,0.41965062,2.147514258,0.95,CARBON_NORGENER,0,F,*,0,0,24,NORGENER,Carbón,AES GENER
27,NTO2,T,*,*,0,F,SING,Norgener 220,125.83,0,94.11222222,0.407389459,2.088975218,0.95,CARBON_NORGENER,0,F,*,0,0,24,NORGENER,Carbón,AES GENER
28,CTTAR,T,*,*,0,F,SING,Tarapaca 220,130.52,0,96.82,0.433576631,1.4,0.959,CARBON_TARAPACA,0,F,*,0,0,24,CELTA,Carbón,ENDESA
29,TGTAR,T,*,*,0,F,SING,Tarapaca 220,18.9,0,452.3121157,0.470528855,0.41,0.985,DIESEL_TARAPACA,0,F,*,0,0,24,CELTA,Petróleo Diesel,ENDESA
30,CUMMINS,T,*,*,0,F,SING,Enaex 110,1,0,461.4037709,0.352941176,14,0.95,DIESEL_ENAEX,0,F,*,0,0,24,ENAEX,Petróleo Diesel,ENAEX
31,DEUTZ,T,*,*,0,F,SING,Enaex 110,2,0,461.4037709,0.388235294,15,0.95,DIESEL_ENAEX,0,F,*,0,0,24,ENAEX,Petróleo Diesel,ENAEX
32,CC SALTA,F,*,*,0,F,SING,Salta 345,109,0,2.004764329,0,0.54,0.975,*,0,F,*,0,0,24,AES GENER,Gas Natural,AES GENER
33,ZOFRI_1,T,*,*,0,F,SING,Iquique 066,0.45,0,477.9487628,0.262823529,19.39,0.975,DIESEL_ENOR,0,F,*,0,0,24,ENOR CHILE,Petróleo Diesel,ENOR CHILE
