DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndIBlo,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2015,2015,Alto Norte 110,1,EtaMes,0,0,0,0,0,0,0,0,0,1.019284777,0.976778371,1.003842703
2,F,2015,2015,Alto Norte 110,2,EtaMes,0,0,0,0,0,0,0,0,0,0.987689754,0.987709131,0.97015403
3,F,2015,2015,Alto Norte 110,3,EtaMes,0,0,0,0,0,0,0,0,0,1.015412503,1.000586787,1.016916373
4,F,2015,2015,Alto Norte 110,4,EtaMes,0,0,0,0,0,0,0,0,0,0.978955959,0.977432027,0.986317904
5,F,2015,2015,Alto Norte 110,5,EtaMes,0,0,0,0,0,0,0,0,0,1.001559286,0.999093385,1.006462114
6,F,2015,2015,Alto Norte 110,6,EtaMes,0,0,0,0,0,0,0,0,0,0.966940989,0.976825284,0.980444575
7,F,2015,2015,Alto Norte 110,7,EtaMes,0,0,0,0,0,0,0,0,0,1.01134696,1.026568844,1.021476955
8,F,2015,2015,Alto Norte 110,8,EtaMes,0,0,0,0,0,0,0,0,0,0.971227411,0.993032208,0.984747309
9,F,2015,2015,Alto Norte 110,9,EtaMes,0,0,0,0,0,0,0,0,0,1.076766408,1.027929325,1.06978405
10,F,2015,2015,Alto Norte 110,10,EtaMes,0,0,0,0,0,0,0,0,0,0.974215723,0.985461769,0.950668453
11,F,2015,2015,Alto Norte 110,11,EtaMes,0,0,0,0,0,0,0,0,0,1.048813458,1.060252475,1.069140891
12,F,2015,2015,Alto Norte 110,12,EtaMes,0,0,0,0,0,0,0,0,0,0.983589699,1.001420277,0.967144045
13,F,2015,2015,Alto Norte 110,13,EtaMes,0,0,0,0,0,0,0,0,0,1.07254408,1.08508516,1.082962964
14,F,2015,2015,Alto Norte 110,14,EtaMes,0,0,0,0,0,0,0,0,0,1.034473304,1.039382385,1.021735388
15,F,2015,2015,Alto Norte 110,15,EtaMes,0,0,0,0,0,0,0,0,0,1.039398516,1.02459328,1.057852474
16,F,2015,2015,Alto Norte 110,16,EtaMes,0,0,0,0,0,0,0,0,0,0.985929629,0.98947515,1.00511187
17,F,2016,2016,Alto Norte 110,1,EtaMes,1.023515467,1.012495481,0.994531909,1.003978496,1.008894113,1.065818409,0.996131389,0.960459577,1.087754354,1.019281021,0.976776014,1.00384345
18,F,2016,2016,Alto Norte 110,2,EtaMes,0.983365032,0.989073357,0.988417914,0.981403486,0.972583525,0.924435809,1.010426225,0.965938494,0.930667073,0.987690322,0.987713049,0.970152839
19,F,2016,2016,Alto Norte 110,3,EtaMes,1.007426809,0.990141963,0.995171501,0.998913618,1.040967408,1.078122751,1.00958573,0.982711107,1.089951176,1.015413442,1.000585488,1.016916843
20,F,2016,2016,Alto Norte 110,4,EtaMes,0.987789771,1.005449707,0.985981574,1.009126312,0.988925088,0.927818017,0.988366366,0.99050603,0.918330813,0.978957378,0.977433546,0.98631607
21,F,2016,2016,Alto Norte 110,5,EtaMes,0.998159875,1.022114628,0.991477016,1.018094543,1.027482286,1.087210796,1.001278303,1.009957091,1.139543277,1.001565015,0.999090422,1.006468808
22,F,2016,2016,Alto Norte 110,6,EtaMes,0.963423566,0.99636222,0.990826904,1.007552551,1.008526882,0.950519378,1.001448935,1.015762206,0.95881734,0.966936485,0.976829569,0.980439941
23,F,2016,2016,Alto Norte 110,7,EtaMes,1.049782832,1.025630155,0.999915843,1.037677691,1.035238671,1.103850146,1.018220605,1.033097008,1.128870771,1.011348873,1.026566896,1.021475621
24,F,2016,2016,Alto Norte 110,8,EtaMes,0.969982307,0.986925578,0.980620783,0.9810174,0.982775287,0.956729137,0.981044657,1.025666944,0.9578547,0.971229085,0.993032804,0.984747308
25,F,2016,2016,Alto Norte 110,9,EtaMes,1.065846623,1.042310081,1.030786677,1.038906835,1.042889006,1.140126458,1.039970614,1.046119151,1.130727942,1.076764705,1.027929138,1.069785174
26,F,2016,2016,Alto Norte 110,10,EtaMes,0.972553358,0.953591582,0.964879245,0.951279572,0.955591533,0.930388263,0.965659113,0.974517499,0.925162775,0.974213874,0.985462057,0.950667714
27,F,2016,2016,Alto Norte 110,11,EtaMes,1.047064089,1.037274594,1.052423401,1.051544314,1.022061089,1.146162592,1.043118463,1.06990502,1.138709731,1.048816453,1.060246776,1.069143667
28,F,2016,2016,Alto Norte 110,12,EtaMes,1.006212116,0.960867234,1.001083519,0.957455112,0.961174731,0.93001038,0.977784561,0.952224086,0.947812825,0.98359113,1.001423022,0.967146656
29,F,2016,2016,Alto Norte 110,13,EtaMes,1.037647956,1.071268588,1.044167615,1.044263831,1.026260608,1.156505469,1.040431936,1.083122077,1.178758897,1.072547233,1.085075274,1.082982419
30,F,2016,2016,Alto Norte 110,14,EtaMes,1.023772421,1.010998452,1.014338222,0.979566819,0.99081982,0.926011933,1.009484461,1.004973512,0.972233093,1.034473759,1.039381317,1.021739269
31,F,2016,2016,Alto Norte 110,15,EtaMes,1.063641789,1.038725195,1.058192353,1.058689972,1.040394747,1.152499975,1.016646681,1.01803955,1.146180486,1.03940031,1.024588352,1.057848695
32,F,2016,2016,Alto Norte 110,16,EtaMes,1.019335626,1.010137831,1.031294774,1.00345728,1.015019068,0.954207768,1.028029263,0.984851932,0.948589985,0.985929944,0.9894744,1.005109406
33,F,2017,2017,Alto Norte 110,1,EtaMes,1.023512571,1.012495899,0.994533966,1.003972303,1.008894705,1.065817037,0.996134473,0.960458806,1.087754467,1.019283673,0.976779044,1.003841012
34,F,2017,2017,Alto Norte 110,2,EtaMes,0.983364493,0.989073092,0.988417452,0.981406313,0.972585462,0.924437032,1.010425581,0.965935288,0.930666362,0.987689127,0.98770798,0.970151237
35,F,2017,2017,Alto Norte 110,3,EtaMes,1.007426673,0.990141192,0.995170436,0.998914626,1.040967946,1.078123716,1.009584238,0.982709527,1.089953632,1.015410341,1.000586951,1.016915727
36,F,2017,2017,Alto Norte 110,4,EtaMes,0.987788831,1.005449199,0.985981654,1.009127728,0.988924929,0.927818419,0.988366184,0.990506474,0.918331738,0.97895705,0.977433907,0.986318629
37,F,2017,2017,Alto Norte 110,5,EtaMes,0.998161512,1.022114191,0.991475709,1.018093609,1.027485724,1.087215035,1.001271715,1.009959764,1.139537654,1.001567836,0.999088043,1.006460018
38,F,2017,2017,Alto Norte 110,6,EtaMes,0.963427728,0.996366124,0.99082723,1.007551892,1.008529214,0.950516401,1.001448902,1.015758054,0.9588187,0.966940261,0.976828523,0.980433919
39,F,2017,2017,Alto Norte 110,7,EtaMes,1.049786205,1.025631975,0.999917939,1.037678745,1.035239717,1.103850847,1.018223754,1.033103119,1.128869762,1.011357153,1.026577735,1.021477586
40,F,2017,2017,Alto Norte 110,8,EtaMes,0.969982516,0.986925759,0.980619697,0.981018038,0.982771927,0.956731042,0.981045438,1.025670888,0.957853527,0.97122878,0.993034198,0.984743308
41,F,2017,2017,Alto Norte 110,9,EtaMes,1.065840562,1.042304688,1.030784719,1.038905756,1.042888789,1.140128025,1.03996883,1.046119485,1.130731362,1.076762414,1.02792696,1.069784097
42,F,2017,2017,Alto Norte 110,10,EtaMes,0.97255454,0.953590927,0.964880082,0.951280043,0.955590726,0.930386413,0.965660994,0.974517216,0.925161878,0.974214677,0.985461072,0.950669207
43,F,2017,2017,Alto Norte 110,11,EtaMes,1.047050025,1.037271203,1.052432695,1.051543534,1.022062166,1.146162134,1.043118295,1.069904157,1.138703935,1.048818632,1.060252244,1.069142042
44,F,2017,2017,Alto Norte 110,12,EtaMes,1.006214496,0.960870493,1.001082799,0.957453961,0.961176852,0.930008496,0.977782151,0.952222055,0.947813615,0.983589807,1.001422265,0.967146635
