DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,A 110,0,F,EtaMes,31.27903723,32.39040356,31.09273599,32.03391375,32.44585516,30.93340245,32.75221716,30.92491952,30.51991221,34.73173153,30.31716049,31.5664303
2,F,2018,2018,A 110,0,F,EtaMes,33.17413497,34.43895691,33.04451379,34.09935884,34.39843403,32.78353501,34.69633764,32.89649616,32.38346231,36.74482829,32.23035691,33.61532856
3,F,2019,2019,A 110,0,F,EtaMes,35.16621292,36.6066894,35.10749427,36.29125916,36.44873371,34.72434481,36.73324515,34.98528041,34.34478447,37.23937759,34.01099604,34.31244559
4,F,2020,2020,A 110,0,F,EtaMes,35.71680715,37.29088032,35.74480505,37.02014009,37.00237209,35.23704434,37.25649919,35.65931566,34.9011432,38.59529411,34.03386919,35.5617901
5,F,2021,2021,A 110,0,F,EtaMes,37.01728562,38.64867209,37.04630294,38.36807398,38.34965904,36.52005425,38.61303912,36.95770082,36.17192267,39.26041701,34.62038385,36.17463582
6,F,2022,2022,A 110,0,F,EtaMes,37.65521428,39.31471487,37.68473167,39.02928114,39.01054884,37.14941399,39.27846782,37.59460264,36.79528297,40.42080209,35.64362761,37.24381722
7,F,2023,2023,A 110,0,F,EtaMes,38.76815582,40.47670478,38.79854562,40.18283474,40.16354879,38.24740604,40.43938641,38.70575273,37.88280828,40.51146187,36.99941456,37.32735134
8,F,2024,2024,A 110,0,F,EtaMes,38.85510888,40.56748994,38.88556685,40.27296078,40.25363158,38.33319111,40.53008787,38.79256583,37.9677756,44.50518296,34.92289901,34.93080283
9,F,2025,2025,A 110,0,F,EtaMes,40.76614852,39.81116166,38.62653675,38.27237607,42.65560229,40.98613869,43.80894416,37.57153479,39.37364285,46.18044894,36.23746826,36.24566959
10,F,2026,2026,A 110,0,F,EtaMes,42.30066961,41.3097351,40.08051848,39.71302647,44.26124628,42.52894066,45.45800229,38.9858041,40.85574719,47.4941951,37.26835548,37.27679012
11,F,2027,2027,A 110,0,F,EtaMes,43.50404341,42.48491869,41.22073319,40.84278673,45.52039477,43.73880833,46.75119622,40.09487626,42.01801568,48.65730259,39.54464609,38.18967881
12,F,2028,2028,A 110,0,F,EtaMes,44.56943421,43.52535167,42.23020694,41.84300477,46.63516493,44.8099484,47.89610805,41.07677838,43.04701446,50.02907432,39.25745709,39.26634191
13,F,2029,2029,A 110,0,F,EtaMes,45.82595865,44.7524408,43.42078269,43.02266432,47.94992752,46.07325355,49.2464198,42.23483607,44.26061806,50.15800546,39.35862843,39.36753615
14,F,2030,2030,A 110,0,F,EtaMes,45.94405784,44.8677734,43.53268344,43.13353907,48.07350044,46.19199004,49.37333394,42.34368049,44.37468317,50.13847742,39.34330491,39.35220916
15,F,2031,2031,A 110,0,F,EtaMes,45.92617042,44.850305,43.51573484,43.11674586,48.05478396,46.17400609,49.35411139,42.3271948,44.35740675,50.93852746,39.97109847,39.9801448
16,F,2032,*,A 110,0,F,EtaMes,46.65900549,45.5659727,44.21010705,43.80475149,48.82158491,46.91079583,50.14164546,43.00260171,45.06520936,52.20906486,40.96808009,40.97735206
