DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,Alto Hospicio 110,0,EtaMes,0.056216576,0.056480283,0.056728923,0.055566579,0.056616265,0.056236265,0.055374607,0.05423349,0.054052073,0.052635577,0.052751332,0.053234914
2,F,2018,2018,Alto Hospicio 110,0,EtaMes,0.055421008,0.055679906,0.055918753,0.054773616,0.055805249,0.055432051,0.05458709,0.053458349,0.053278335,0.052183681,0.052300319,0.052777551
3,F,2019,2019,Alto Hospicio 110,0,EtaMes,0.054942428,0.055198007,0.05543031,0.054295935,0.055317024,0.054948454,0.054113337,0.052993692,0.05281507,0.051683086,0.051800504,0.052270676
4,F,2020,2020,Alto Hospicio 110,0,EtaMes,0.054411997,0.054663949,0.054889174,0.053766467,0.054775744,0.054412004,0.053587631,0.052477903,0.052300769,0.051257654,0.051375409,0.05183963
5,F,2021,2021,Alto Hospicio 110,0,EtaMes,0.053960875,0.054210067,0.054429796,0.053316571,0.054315615,0.053955476,0.053140063,0.052038607,0.051862789,0.050818334,0.050936564,0.051394903
6,F,2022,2022,Alto Hospicio 110,0,EtaMes,0.053495628,0.053742156,0.053956434,0.052853184,0.053841939,0.053485754,0.052679722,0.051587012,0.051412713,0.050425163,0.050543805,0.050996778
7,F,2023,2023,Alto Hospicio 110,0,EtaMes,0.053079084,0.053323052,0.053532286,0.052437941,0.05341745,0.053064782,0.052267034,0.05118215,0.051009138,0.050024065,0.050142972,0.050590698
8,F,2024,2024,Alto Hospicio 110,0,EtaMes,0.052654335,0.052896103,0.053100758,0.052015331,0.052985436,0.052636151,0.051846875,0.050769946,0.050598384,0.049732218,0.049851292,0.050295171
9,F,2025,2025,Alto Hospicio 110,0,EtaMes,0.052345173,0.052585303,0.052786608,0.051707598,0.052670846,0.052323964,0.051540773,0.050469695,0.05029921,0.049542218,0.049661417,0.050102818
10,F,2026,2026,Alto Hospicio 110,0,EtaMes,0.052143912,0.052383,0.05258215,0.051507269,0.052466093,0.052120769,0.051341508,0.050274369,0.050104667,0.049359059,0.049478326,0.04991738
