DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegIBlo,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2015,2015,La Negra 110,1,EtaMes,0,0,0,0,0,0,0,0,0,1.066104482,1.050178275,1.064634664
2,F,2015,2015,La Negra 110,2,EtaMes,0,0,0,0,0,0,0,0,0,1.010433851,1.026243682,1.036174205
3,F,2015,2015,La Negra 110,3,EtaMes,0,0,0,0,0,0,0,0,0,0.972652028,0.969360168,0.937408643
4,F,2015,2015,La Negra 110,4,EtaMes,0,0,0,0,0,0,0,0,0,0.947201464,0.953415962,0.943173356
5,F,2015,2015,La Negra 110,5,EtaMes,0,0,0,0,0,0,0,0,0,0.936547776,0.928493999,0.923203831
6,F,2015,2015,La Negra 110,6,EtaMes,0,0,0,0,0,0,0,0,0,0.96211409,0.965831233,1.035535134
7,F,2015,2015,La Negra 110,7,EtaMes,0,0,0,0,0,0,0,0,0,0.922664209,0.88451944,0.890524049
8,F,2015,2015,La Negra 110,8,EtaMes,0,0,0,0,0,0,0,0,0,0.95868918,0.955006726,0.968822083
9,F,2015,2015,La Negra 110,9,EtaMes,0,0,0,0,0,0,0,0,0,0.95157751,0.939517024,0.952125438
10,F,2015,2015,La Negra 110,10,EtaMes,0,0,0,0,0,0,0,0,0,1.008619465,0.99451722,0.976071548
11,F,2015,2015,La Negra 110,11,EtaMes,0,0,0,0,0,0,0,0,0,0.922106076,0.941201823,0.97668974
12,F,2015,2015,La Negra 110,12,EtaMes,0,0,0,0,0,0,0,0,0,0.985260768,0.998999569,0.989801595
13,F,2015,2015,La Negra 110,13,EtaMes,0,0,0,0,0,0,0,0,0,0.990756479,1.010317761,1.029413121
14,F,2015,2015,La Negra 110,14,EtaMes,0,0,0,0,0,0,0,0,0,1.039745366,1.061679314,0.997250769
15,F,2015,2015,La Negra 110,15,EtaMes,0,0,0,0,0,0,0,0,0,1.121243407,1.111401343,1.185223058
16,F,2015,2015,La Negra 110,16,EtaMes,0,0,0,0,0,0,0,0,0,1.135129089,1.147373324,1.160713222
17,F,2016,2016,La Negra 110,1,EtaMes,1.08608242,1.058629218,1.070803669,1.096510013,1.074727987,1.152139295,1.104327593,1.08001666,1.166966377,1.066076784,1.050200269,1.064620338
18,F,2016,2016,La Negra 110,2,EtaMes,1.033861185,1.057661033,1.067930981,1.051824652,1.063793207,1.026069214,1.086670401,1.099295235,1.00188742,1.010454936,1.026256055,1.036177898
19,F,2016,2016,La Negra 110,3,EtaMes,0.956886811,0.907168025,0.921144101,0.97007887,0.949610161,1.046651476,0.960049266,0.961524832,1.046249644,0.972629635,0.969388546,0.937409956
20,F,2016,2016,La Negra 110,4,EtaMes,0.912180782,0.91883339,0.927225245,0.910994573,0.930766458,0.913871466,0.931737358,0.966035066,0.90820903,0.947203595,0.953402262,0.943169773
21,F,2016,2016,La Negra 110,5,EtaMes,0.914188294,0.863705744,0.876356288,0.885545347,0.869217439,0.996681269,0.845211622,0.921920453,0.98964944,0.936554065,0.928454504,0.923186113
22,F,2016,2016,La Negra 110,6,EtaMes,0.987903239,0.964024444,0.978765739,0.90950602,0.963301109,0.940964553,0.953964948,0.954973687,0.915923296,0.962112938,0.965832126,1.035581741
23,F,2016,2016,La Negra 110,7,EtaMes,0.919281151,0.930127074,0.92087362,0.958200407,0.927147193,1.00568491,0.820663339,0.908631724,0.967745807,0.922647839,0.884527435,0.890511136
24,F,2016,2016,La Negra 110,8,EtaMes,0.976761919,0.994982809,0.989132598,0.936494137,0.998116629,0.926188416,0.988663567,0.933047284,0.919692304,0.958705088,0.955022018,0.968831431
25,F,2016,2016,La Negra 110,9,EtaMes,0.938674752,0.967307028,0.916723146,0.961984113,0.925630918,1.037170424,0.881602618,0.926823399,1.034633506,0.951573556,0.939508582,0.952137297
26,F,2016,2016,La Negra 110,10,EtaMes,0.988288444,0.989344126,0.975333437,0.951422816,0.981987973,0.954432276,1.025643365,0.967689216,0.960972437,1.00862145,0.994519911,0.976071849
27,F,2016,2016,La Negra 110,11,EtaMes,0.949227153,0.987067802,0.912619307,0.957528041,0.903860818,1.02744976,0.976279607,0.952861374,1.040973032,0.9221104,0.941130853,0.976682866
28,F,2016,2016,La Negra 110,12,EtaMes,1.002659562,0.968674998,0.98844707,0.980018139,0.972051611,0.910308799,1.025630128,0.980371027,0.953242807,0.985253337,0.999001905,0.989812298
29,F,2016,2016,La Negra 110,13,EtaMes,1.005941214,1.162801623,0.935339655,1.102679958,1.005320731,1.10385364,1.02002646,1.091917015,1.124146102,0.990768191,1.010322589,1.029340453
30,F,2016,2016,La Negra 110,14,EtaMes,1.053299233,1.152195097,0.993987253,1.116285479,1.072725413,0.959776277,1.045723912,1.134639287,1.033603129,1.03975145,1.061679407,0.997216178
31,F,2016,2016,La Negra 110,15,EtaMes,1.178446484,1.194613043,1.135709622,1.206540703,1.163254372,1.284707016,1.190289727,1.16932882,1.251012555,1.121231428,1.1114106,1.185215305
32,F,2016,2016,La Negra 110,16,EtaMes,1.188624791,1.173598523,1.188033577,1.198188266,1.201582525,1.110953179,1.20647418,1.218507034,1.134905401,1.135125439,1.147373871,1.160716939
