LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux,LinAux,LinAux
1,Chapiquiña 066->El Aguila 066,T,*,*,Chapiquiña 066,El Aguila 066,BarB,F,F,101,F,F,48,48,F,F,F,48,48,66,8.6913,14.8333,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,66
2,El Aguila 066->Arica 066,T,*,*,El Aguila 066,Arica 066,BarA,F,F,101,F,F,48,48,F,F,F,48,48,66,11.0403,18.8423,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,66
3,CD Arica 066->Arica 066,T,*,*,CD Arica 066,Arica 066,BarA,F,F,101,F,F,17,17,F,F,F,17,17,66,3.398,4.2704,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,66
4,Arica 110->Arica 066,T,*,*,Arica 110,Arica 066,*,F,F,101,F,F,30,30,F,F,F,30,30,110,0,23.837,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,66
5,Arica 110->Dolores 110,T,*,*,Arica 110,Dolores 110,*,F,F,101,F,F,29,29,T,F,F,29,29,110,40.4561,51.8271,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163 (a través de tapoff),110
6,Dolores 110->Pozo Almonte 110,T,*,*,Dolores 110,Pozo Almonte 110,*,F,F,101,F,F,29,29,T,F,F,29,29,110,23.3287,29.8857,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163 (a través de tapoff),110
7,Pozo Almonte 066->Tamarugal 066,T,*,*,Pozo Almonte 066,Tamarugal 066,*,F,F,101,F,F,10,10,F,F,F,10,10,66,6.2733,9.2789,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,66
8,Iquique 066->Pozo Almonte 066,T,*,*,Iquique 066,Pozo Almonte 066,BarA,F,F,101,F,F,46,46,F,F,F,46,46,66,9.3398,16.3631,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,66
9,Iquique 066->Cavancha 066,T,*,*,Iquique 066,Cavancha 066,*,F,F,101,F,F,41,41,F,F,F,41,41,66,0.9951,1.4541,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,66
10,Cavancha 066->Pozo Almonte 066,T,*,*,Cavancha 066,Pozo Almonte 066,BarA,F,F,101,F,F,41,41,F,F,F,41,41,66,13.069,19.0972,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,66
11,CD Iquique 066->Iquique 066,T,*,*,CD Iquique 066,Iquique 066,*,F,F,101,F,F,48,48,F,F,F,48,48,66,0.4792,0.6099,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,66
12,Pozo Almonte 220->Pozo Almonte1 110,T,*,*,Pozo Almonte 220,Pozo Almonte1 110,BarB,F,F,101,F,F,100,100,T,F,F,100,100,220,0,64.251,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),220/110
13,Pozo Almonte1 110->Cerro Colorado 110,T,*,*,Pozo Almonte1 110,Cerro Colorado 110,BarB,F,F,101,F,F,164,164,F,F,F,164,164,110,6.0878,24.3451,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
14,Lagunas 220->Pozo Almonte 220,T,*,MesMay-2019,Lagunas 220,Pozo Almonte 220,*,F,F,101,F,F,183,183,T,T,T,183,183,220,6.993,29.218,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT Decreto23T,220
15,Lagunas 220->Lagunas 023,T,*,*,Lagunas 220,Lagunas 023,BarB,F,F,101,F,F,24,24,T,F,F,24,24,220,0,385.0489,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,220/23
16,Tarapaca 220->Lagunas 220,T,*,*,Tarapaca 220,Lagunas 220,*,F,F,101,F,F,366,366,T,T,T,183,183,220,1.3692,10.9592,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
17,Tarapaca 220->Condores 220,T,*,*,Tarapaca 220,Condores 220,*,F,F,101,F,F,182.9,182.9,T,F,T,182.9,182.9,220,6.2453,28.6098,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT Decreto23T,220
18,Condores 220->Condores 110,T,*,*,Condores 220,Condores 110,BarB,F,F,101,F,F,195,195,T,F,F,195,195,220,0,34.364,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,220/110
19,Condores 110->Pacifico 110,T,*,*,Condores 110,Pacifico 110,*,F,F,101,F,F,98,98,T,F,F,98,98,110,1.3597,3.2608,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),110
20,Condores 110->Palafitos 110,T,*,*,Condores 110,Palafitos 110,*,F,F,101,F,F,98,98,T,F,F,98,98,110,1.2279,3.106,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
21,Condores 110->Alto Hospicio 110,T,*,*,Condores 110,Alto Hospicio 110,*,F,F,101,F,F,98,98,T,F,F,98,98,110,0.3822,0.9667,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),110
22,Alto Hospicio 110->Cerro Dragon 110,T,*,*,Alto Hospicio 110,Cerro Dragon 110,*,F,F,101,F,F,98,98,T,F,F,98,98,110,0.318,0.8044,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),110
23,Condores 220->Parinacota 220,T,*,*,Condores 220,Parinacota 220 Aux,*,F,F,101,F,F,91.45,91.45,T,F,T,91.45,91.45,220,19.8851,91.0938,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT Decreto23T,220
24,Parinacota 220->Parinacota 066,T,*,*,Parinacota 220,Parinacota 066,BarB,F,F,101,F,F,120,120,T,F,F,120,120,220,0,53.1896,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,220/66
25,Parinacota 066->Pukara 066,T,*,*,Parinacota 066,Pukara 066,*,F,F,101,F,F,59,59,F,F,F,59,59,66,0.3536,0.8958,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),66
26,Parinacota 066->Chinchorro 066,T,*,*,Parinacota 066,Chinchorro 066,*,F,F,101,F,F,59,59,F,F,F,59,59,66,0.4977,1.2588,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,66
27,Parinacota 066->Quiani 066,T,*,*,Parinacota 066,Quiani 066,*,F,F,101,F,F,59,59,F,F,F,59,59,66,0.559,1.4908,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),66
28,Lagunas 220->Collahuasi 220,T,*,*,Lagunas 220,Collahuasi 220,BarB,F,F,101,F,F,218,218,T,F,F,218,218,220,4.72,23.7416,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
29,Collahuasi 220->Quebrada Blanca 220,T,*,MesDic-2018,Collahuasi 220,Quebrada Blanca 220,*,F,F,101,F,F,180,180,F,F,F,180,180,220,1.503,9.747,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
30,Encuentro 220->Collahuasi 220,F,*,MesAbr-2012,Encuentro 220,Collahuasi 220,BarB,F,F,101,F,F,129,129,T,F,F,129,129,220,17.9895,82.1085,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
31,Crucero 220->Lagunas 220 AUX,F,*,MesAgo-2013,Crucero 220,Lagunas AUX 220,*,F,F,101,F,F,122,122,T,T,T,122,122,220,15.5014,68.6218,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
32,Crucero 220->Nueva Victoria 220,F,*,MesAgo-2013,Crucero 220,Nueva Victoria 220,*,F,F,101,F,F,122,122,T,T,T,122,122,220,15.38,64.0731,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
33,Nueva Victoria 220->Lagunas 220,F,*,MesAgo-2013,Nueva Victoria 220,Lagunas 220,*,F,F,101,F,F,122,122,T,T,T,122,122,220,1.62,6.7489,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
34,La Cruz 220->Crucero 220,T,*,*,La Cruz 220,Crucero 220,BarA,F,F,101,F,F,750,750,F,F,F,750,750,220,0.29,2.32,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
35,Barril 220->La Cruz 220,T,*,*,Barril 220,La Cruz 220,*,F,F,101,F,F,750,750,F,F,F,750,750,220,1.0243,8.2174,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
36,Barril 220->Barril 110,T,*,*,Barril 220,Barril 110,*,F,F,101,F,F,30,30,F,F,F,30,30,220,0,193.6,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220/110
37,Norgener 220->Barril 220,T,*,*,Norgener 220,Barril 220,*,F,F,101,F,F,750,750,F,F,F,750,750,220,0.42,3.38,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
38,Barril 110->Mantos de la Luna 110,T,*,*,Barril 110,Mantos de la Luna 110,*,F,F,101,F,F,70,70,F,F,F,70,70,110,7.3008,10.638,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
39,Tocopilla 220->El Loa 220,T,*,*,Tocopilla 220,El Loa 220,*,F,F,101,F,F,714,714,F,F,F,357,357,220,1.956,12.7432,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
40,El Loa 220->Crucero 220,T,*,MesAbr-2019,El Loa 220,Crucero 220,BarA,F,F,101,F,F,714,714,F,F,F,357,357,220,0.3,1.98,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
41,Tocopilla 220->Tocopilla 110,T,*,*,Tocopilla 220,Tocopilla 110,*,F,F,101,F,F,200,200,F,F,F,200,200,220,0,34.6544,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220/110
42,Tocopilla 110->Tocopilla 005,T,*,*,Tocopilla 110,Tocopilla 005,BarA,F,F,101,F,F,30,30,F,F,F,30,30,110,0,2.6217,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110/5
43,Tocopilla 110->Salar 110,T,*,*,Tocopilla 110,Salar 110,BarA,F,F,101,F,F,90,90,F,F,F,90,90,110,17.7536,53.3824,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
44,Tocopilla 110->A 110,T,*,*,Tocopilla 110,A 110,*,F,F,101,F,F,270,270,F,F,F,270,270,110,5.8546,16.5173,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
45,Crucero 220->Radomiro Tomic 220,T,*,*,Crucero 220,Radomiro Tomic 220,BarB,F,F,101,F,F,218.3,218.3,F,F,F,218.3,218.3,220,4.2148,32.6442,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
46,Crucero 220->El Abra 220,T,*,*,Crucero 220,El Abra 220,BarB,F,F,101,F,F,218.3,218.3,F,F,F,218.3,218.3,220,5.1813,40.4303,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
47,Crucero 220->Chuquicamata 220,T,*,MesAbr-2019,Crucero 220,Chuquicamata 220,*,F,F,101,F,F,356.7,356.7,T,F,T,356.7,356.7,220,3.8896,28.0772,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
48,Chuquicamata 220->Chuquicamata 110,T,*,*,Chuquicamata 220,Chuquicamata 110,BarB,F,F,101,F,F,240,240,F,F,F,240,240,220,0,28.2333,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220/110
49,Chuquicamata 110->A 110,T,*,*,Chuquicamata 110,A 110,*,F,F,101,F,F,200,200,F,F,F,200,200,110,0.2502,0.7502,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
50,Chuquicamata 110->KM6 110,T,*,*,Chuquicamata 110,KM6 110,*,F,F,101,F,F,100,100,F,F,F,100,100,110,0.4803,2.0143,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
51,Salar 220->Chuquicamata 220,T,*,*,Salar 220,Chuquicamata 220,*,F,F,101,F,F,458,458,T,F,T,458,458,220,1.1,7.53,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
52,Crucero 220->Salar 220,T,*,MesAbr-2019,Crucero 220,Salar 220,*,F,F,101,F,F,356.7,356.7,T,F,T,356.7,356.7,220,4.31,29.48,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
53,Salar 220->Salar 110,T,*,*,Salar 220,Salar 110,BarB,F,F,101,F,F,120,120,T,F,F,120,120,220,0,34.2833,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,220/110
54,Salar 110->KM6 110,T,*,*,Salar 110,KM6 110,BarB,F,F,101,F,F,62,62,F,F,F,62,62,110,0.58,1.74,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
55,Salar 110->Calama 110,F,*,*,Salar 110,Calama 110,*,F,F,101,F,F,44,44,T,F,F,44,44,110,2.745,4.543,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
