INum,SecFOpe,SecIIni,SecIFin,SecFecIni,SecFecFin,SecIBlo,EstFPri,EstFDep,EleTip,EleNom,EleFOpe,EleOpePro,EleOpePotMax,EleOpeCosVar,EleOpeCenRen,EleOpeCosOpe
1,T,1,1,*,*,*,T,F,SecOpeBas,Caso Base,T,*,*,*,*,*
2,T,1,1,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,F,1,*,*,*,*
3,T,2,2,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Antofagasta-Esmeralda Edelnor,T,0.000153056,*,*,*,*
4,T,2,2,*,*,*,F,T,LinSis,Esmeralda 220 -> Atacama 220,F,1,*,*,*,*
5,T,2,2,*,*,*,F,T,LinSis,Capricornio 110 -> Negro 110,T,1,*,*,*,*
6,T,2,2,*,*,*,F,T,LinSis,Noranda 110 -> Negro 110,T,1,*,*,*,*
7,T,2,2,*,*,*,F,T,LinSis,Noranda 110 -> La Negra 110,T,1,*,*,*,*
8,T,2,2,*,*,*,F,T,LinSis,Antofagasta 110 -> La Negra 110,T,1,*,*,*,*
9,T,2,2,*,*,*,F,T,LinSis,Chacaya 220-2 -> Mejillones 220,T,1,*,*,*,*
10,T,2,2,*,*,*,F,T,LinSis,Pampa 110 -> Mejillones 110,T,1,*,*,*,*
11,T,2,2,*,*,*,F,T,LinSis,Desalant 110 -> Pampa 110,T,1,*,*,*,*
12,T,2,2,*,*,*,F,T,LinSis,Desalant 110 -> Antofagasta 110,T,1,*,*,*,*
13,T,2,2,*,*,*,F,T,LinSis,Capricornio 110 -> Salar del Carmen 110,T,1,*,*,*,*
14,T,2,2,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Antofagasta 110,T,1,*,*,*,*
15,T,2,2,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Esmeralda 110,T,1,*,*,*,*
16,T,2,2,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
17,T,3,3,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Antofagasta-Esmeralda Edelnor,T,0.000221416,*,*,*,*
18,T,3,3,*,*,*,F,T,LinSis,Esmeralda 220 -> Atacama 220,T,1,*,*,*,*
19,T,3,3,*,*,*,F,T,LinSis,Capricornio 110 -> Negro 110,F,1,*,*,*,*
20,T,3,3,*,*,*,F,T,LinSis,Noranda 110 -> Negro 110,T,1,*,*,*,*
21,T,3,3,*,*,*,F,T,LinSis,Noranda 110 -> La Negra 110,T,1,*,*,*,*
22,T,3,3,*,*,*,F,T,LinSis,Antofagasta 110 -> La Negra 110,T,1,*,*,*,*
23,T,3,3,*,*,*,F,T,LinSis,Chacaya 220-2 -> Mejillones 220,T,1,*,*,*,*
24,T,3,3,*,*,*,F,T,LinSis,Pampa 110 -> Mejillones 110,T,1,*,*,*,*
25,T,3,3,*,*,*,F,T,LinSis,Desalant 110 -> Pampa 110,T,1,*,*,*,*
26,T,3,3,*,*,*,F,T,LinSis,Desalant 110 -> Antofagasta 110,T,1,*,*,*,*
27,T,3,3,*,*,*,F,T,LinSis,Capricornio 110 -> Salar del Carmen 110,T,1,*,*,*,*
28,T,3,3,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Antofagasta 110,T,1,*,*,*,*
29,T,3,3,*,*,*,F,T,LinSis,Salar del Carmen 110 -> Esmeralda 110,T,1,*,*,*,*
30,T,3,3,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
