month,week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,1,6,8,12,16,6,8,6,8,21,28,6,8,6,8,9,12
1,2,4,10,8,20,4,10,4,10,14,35,4,10,4,10,6,15
1,3,4,10,8,20,4,10,4,10,14,35,4,10,4,10,6,15
1,4,4,16,8,32,4,16,4,16,14,56,4,16,4,16,6,24
2,1,4,10,8,20,4,10,4,10,14,35,4,10,4,10,6,15
2,2,4,10,8,20,4,10,4,10,14,35,4,10,4,10,6,15
2,3,4,10,8,20,4,10,4,10,14,35,4,10,4,10,6,15
2,4,4,10,8,20,4,10,4,10,14,35,4,10,4,10,6,15
3,1,6,15,10,25,2,5,4,10,12,30,6,15,2,5,6,15
3,2,6,15,10,25,2,5,4,10,12,30,6,15,2,5,6,15
3,3,6,15,10,25,2,5,4,10,12,30,6,15,2,5,6,15
3,4,15,15,25,25,5,5,10,10,30,30,15,15,5,5,15,15
4,1,8,20,8,20,4,10,8,20,8,20,4,10,4,10,4,10
4,2,8,20,8,20,4,10,8,20,8,20,4,10,4,10,4,10
4,3,8,20,8,20,4,10,8,20,8,20,4,10,4,10,4,10
4,4,8,28,8,28,4,14,8,28,8,28,4,14,4,14,4,14
5,1,9,12,18,24,6,8,9,12,12,16,6,8,6,8,6,8
5,2,6,15,12,30,4,10,6,15,8,20,4,10,4,10,4,10
5,3,9,12,18,24,6,8,9,12,12,16,6,8,6,8,6,8
5,4,6,24,12,48,4,16,6,24,8,32,4,16,4,16,4,16
6,1,6,15,12,30,4,10,8,20,6,15,2,5,2,5,8,20
6,2,6,15,12,30,4,10,8,20,6,15,2,5,2,5,8,20
6,3,6,15,12,30,4,10,8,20,6,15,2,5,2,5,8,20
6,4,12,15,24,30,8,10,16,20,12,15,4,5,4,5,16,20
7,1,4,10,12,30,4,10,8,20,6,15,4,10,2,5,8,20
7,2,4,10,12,30,4,10,8,20,6,15,4,10,2,5,8,20
7,3,6,8,18,24,6,8,12,16,9,12,6,8,3,4,12,16
7,4,4,16,12,48,4,16,8,32,6,24,4,16,2,8,8,32
8,1,6,15,12,30,4,10,8,20,6,15,4,10,2,5,6,15
8,2,6,15,12,30,4,10,8,20,6,15,4,10,2,5,6,15
8,3,9,12,18,24,6,8,12,16,9,12,6,8,3,4,9,12
8,4,9,21,18,42,6,14,12,28,9,21,6,14,3,7,9,21
9,1,6,15,10,25,6,15,6,15,8,20,4,10,4,10,4,10
9,2,6,15,10,25,6,15,6,15,8,20,4,10,4,10,4,10
9,3,15,6,25,10,15,6,15,6,20,8,10,4,10,4,10,4
9,4,9,18,15,30,9,18,9,18,12,24,6,12,6,12,6,12
10,1,6,15,10,25,6,15,6,15,8,20,4,10,4,10,4,10
10,2,6,15,10,25,6,15,6,15,8,20,4,10,4,10,4,10
10,3,6,15,10,25,6,15,6,15,8,20,4,10,4,10,4,10
10,4,9,21,15,35,9,21,9,21,12,28,6,14,6,14,6,14
11,1,6,8,15,20,6,8,9,12,15,20,9,12,6,8,6,8
11,2,4,10,10,25,4,10,6,15,10,25,6,15,4,10,4,10
11,3,4,10,10,25,4,10,6,15,10,25,6,15,4,10,4,10
11,4,6,12,15,30,6,12,9,18,15,30,9,18,6,12,6,12
12,1,6,15,8,20,4,10,6,15,10,25,6,15,4,10,4,10
12,2,6,15,8,20,4,10,6,15,10,25,6,15,4,10,4,10
12,3,6,15,8,20,4,10,6,15,10,25,6,15,4,10,4,10
12,4,15,15,20,20,10,10,15,15,25,25,15,15,10,10,10,10
