mes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,18,44,36,88,18,44,18,44,63,154,18,44,18,44,27,66
2,16,40,32,80,16,40,16,40,56,140,16,40,16,40,24,60
3,33,60,55,100,11,20,22,40,66,120,33,60,11,20,33,60
4,32,88,32,88,16,44,32,88,32,88,16,44,16,44,16,44
5,30,63,60,126,20,42,30,63,40,84,20,42,20,42,20,42
6,30,60,60,120,20,40,40,80,30,60,10,20,10,20,40,80
7,18,44,54,132,18,44,36,88,27,66,18,44,9,22,36,88
8,30,63,60,126,20,42,40,84,30,63,20,42,10,21,30,63
9,36,54,60,90,36,54,36,54,48,72,24,36,24,36,24,36
10,27,66,45,110,27,66,27,66,36,88,18,44,18,44,18,44
11,20,40,50,100,20,40,30,60,50,100,30,60,20,40,20,40
12,33,60,44,80,22,40,33,60,55,100,33,60,22,40,22,40
