name,start_time,end_time,voltage
A 110,1970-01-01-00:00,3000-01-01-00:00,110
Alto Hospicio 110,1970-01-01-00:00,3000-01-01-00:00,110
Alto Norte 110,1970-01-01-00:00,3000-01-01-00:00,110
Andes 220,1970-01-01-00:00,3000-01-01-00:00,220
Andes 345,1970-01-01-00:00,3000-01-01-00:00,345
Antofagasta 013,1970-01-01-00:00,3000-01-01-00:00,13
Antofagasta 110,1970-01-01-00:00,3000-01-01-00:00,110
Arica 066,1970-01-01-00:00,3000-01-01-00:00,66
Arica 110,1970-01-01-00:00,3000-01-01-00:00,110
Barril 110,1970-01-01-00:00,3000-01-01-00:00,110
Barril 220,1970-01-01-00:00,3000-01-01-00:00,220
Calama 110,1970-01-01-00:00,3000-01-01-00:00,110
Capricornio 110,1970-01-01-00:00,3000-01-01-00:00,110
Capricornio 220,1970-01-01-00:00,3000-01-01-00:00,220
Cavancha 066,1970-01-01-00:00,3000-01-01-00:00,66
CD Antofagasta 013,1970-01-01-00:00,3000-01-01-00:00,13
CD Arica 066,1970-01-01-00:00,3000-01-01-00:00,66
CD Iquique 066,1970-01-01-00:00,3000-01-01-00:00,66
Atacama 220,1970-01-01-00:00,3000-01-01-00:00,220
Centro 110,1970-01-01-00:00,3000-01-01-00:00,110
Cerro Colorado 110,1970-01-01-00:00,3000-01-01-00:00,110
Cerro Dragon 110,1970-01-01-00:00,3000-01-01-00:00,110
Chacaya 220,1970-01-01-00:00,3000-01-01-00:00,220
Chapiquina 066,1970-01-01-00:00,3000-01-01-00:00,66
Chinchorro 066,1970-01-01-00:00,3000-01-01-00:00,66
Chuquicamata 110,1970-01-01-00:00,3000-01-01-00:00,110
Chuquicamata 220,1970-01-01-00:00,3000-01-01-00:00,220
Collahuasi 220,1970-01-01-00:00,3000-01-01-00:00,220
Condores 110,1970-01-01-00:00,3000-01-01-00:00,110
Condores 220,1970-01-01-00:00,3000-01-01-00:00,220
Crucero 220,1970-01-01-00:00,3000-01-01-00:00,220
Desalant 110,1970-01-01-00:00,3000-01-01-00:00,110
Dolores 110,1970-01-01-00:00,3000-01-01-00:00,110
Domeyko 220,1970-01-01-00:00,3000-01-01-00:00,220
El Abra 220,1970-01-01-00:00,3000-01-01-00:00,220
El Aguila 066,1970-01-01-00:00,3000-01-01-00:00,66
El Cobre 220,1970-01-01-00:00,3000-01-01-00:00,220
El Loa 220,1970-01-01-00:00,3000-01-01-00:00,220
El Negro 110,1970-01-01-00:00,3000-01-01-00:00,110
El Tesoro 220,1970-01-01-00:00,3000-01-01-00:00,220
Enaex 110,1970-01-01-00:00,3000-01-01-00:00,110
Encuentro 220,1970-01-01-00:00,3000-01-01-00:00,220
Escondida 220,1970-01-01-00:00,3000-01-01-00:00,220
Esmeralda 110,1970-01-01-00:00,3000-01-01-00:00,110
Esmeralda 220,1970-01-01-00:00,3000-01-01-00:00,220
Esperanza SING 220,1970-01-01-00:00,3000-01-01-00:00,220
Gaby 220,1970-01-01-00:00,3000-01-01-00:00,220
Iquique 066,1970-01-01-00:00,3000-01-01-00:00,66
KM6 110,1970-01-01-00:00,3000-01-01-00:00,110
La Cruz 220,1970-01-01-00:00,3000-01-01-00:00,220
La Negra 110,1970-01-01-00:00,3000-01-01-00:00,110
La Portada 110,1970-01-01-00:00,3000-01-01-00:00,110
Laberinto 220,1970-01-01-00:00,3000-01-01-00:00,220
Lagunas 023,1970-01-01-00:00,3000-01-01-00:00,23
Lagunas 220,1970-01-01-00:00,3000-01-01-00:00,220
Lince 110,1970-01-01-00:00,3000-01-01-00:00,110
Lomas Bayas 220,1970-01-01-00:00,3000-01-01-00:00,220
Mantos Blancos 220,1970-01-01-00:00,3000-01-01-00:00,220
Mantos de la Luna 110,1970-01-01-00:00,3000-01-01-00:00,110
Mejillones 110,1970-01-01-00:00,3000-01-01-00:00,110
Mejillones 220,1970-01-01-00:00,3000-01-01-00:00,220
Minsal 023,1970-01-01-00:00,3000-01-01-00:00,23
Minsal 110,1970-01-01-00:00,3000-01-01-00:00,110
Norgener 220,1970-01-01-00:00,3000-01-01-00:00,220
Nueva Victoria 220,1970-01-01-00:00,3000-01-01-00:00,220
Nueva Zaldivar 220,1970-01-01-00:00,3000-01-01-00:00,220
Oeste 110,1970-01-01-00:00,3000-01-01-00:00,110
Oeste 220,1970-01-01-00:00,3000-01-01-00:00,220
Ohiggins 220,1970-01-01-00:00,3000-01-01-00:00,220
Pacifico 110,1970-01-01-00:00,3000-01-01-00:00,110
Palafitos 110,1970-01-01-00:00,3000-01-01-00:00,110
Palestina 220,1970-01-01-00:00,3000-01-01-00:00,220
Pampa 110,1970-01-01-00:00,3000-01-01-00:00,110
Parinacota 066,1970-01-01-00:00,3000-01-01-00:00,66
Parinacota 220,1970-01-01-00:00,3000-01-01-00:00,220
Pozo Almonte 066,1970-01-01-00:00,3000-01-01-00:00,66
